,AS,ICI,SDI,ARG,OCI,ff3_adj_return,log_aum,TO_calc
AS,1.0,0.15655207480401306,0.12016923155677388,0.048616628711548156,0.0545883108805612,-0.05725887704077526,0.08509799646732323,-0.10466618451715569
ICI,0.15655207480401306,1.0,-0.12105574386350576,0.1410122194557496,0.04888801540917357,-0.00871107845267331,0.03142105342522729,0.06467728670340127
SDI,0.12016923155677388,-0.12105574386350576,1.0,-0.023825667571958288,0.012850457515301303,-0.010715102322222229,0.013846011140274268,-0.09812434348734295
ARG,0.048616628711548156,0.1410122194557496,-0.023825667571958288,1.0,0.6148930845135352,-0.09615634184353812,0.13958588424694238,0.05462130966792373
OCI,0.0545883108805612,0.04888801540917357,0.012850457515301303,0.6148930845135352,1.0,-0.2621036850360304,0.08819246585519655,-0.008804252061368173
ff3_adj_return,-0.05725887704077526,-0.00871107845267331,-0.010715102322222229,-0.09615634184353812,-0.2621036850360304,1.0,-0.09613710179634924,0.009830571547522851
log_aum,0.08509799646732323,0.03142105342522729,0.013846011140274268,0.13958588424694238,0.08819246585519655,-0.09613710179634924,1.0,-0.22335880919132395
TO_calc,-0.10466618451715569,0.06467728670340127,-0.09812434348734295,0.05462130966792373,-0.008804252061368173,0.009830571547522851,-0.22335880919132395,1.0
