date,stock_code,monthly_return
2020-02-28,002007,0.16580516898608355
2020-03-31,002007,0.16814461118690316
2020-04-30,002007,0.06773722627737233
2020-05-29,002007,0.06316652994257588
2020-06-30,002007,0.22968106995884763
2020-07-31,002007,0.30997699226103315
2020-08-31,002007,-0.11703656394699036
2020-09-30,002007,-0.01103074141048821
2020-10-30,002007,-0.10586944596818426
2020-11-30,002007,-0.1668711656441717
2020-12-31,002007,-0.019636720667648655
2021-01-29,002007,0.09389083625438155
2021-02-26,002007,-0.07347219043259334
2021-03-31,002007,-0.07485177865612636
2021-04-30,002007,0.06221628838451254
2021-05-31,002007,-0.042232277526395134
2021-06-30,002007,-0.0897637795275591
2021-07-30,002007,0.003171856978085419
2021-08-31,002007,-0.21155504455303242
2021-09-30,002007,-0.05577834487787103
2021-10-29,002007,0.06949806949806958
2021-11-30,002007,-0.028880866425992857
2021-12-31,002007,0.008921933085501932
2022-01-28,002007,-0.14443625644804725
2022-02-28,002007,0.02067183462532296
2022-03-31,002007,-0.2274261603375528
2022-04-29,002007,-0.19770617149098846
2022-05-31,002007,0.1368277739959156
2022-06-30,002007,0.2574850299401199
2022-07-29,002007,-0.13333333333333341
2022-08-31,002007,-0.01318681318681314
2022-09-30,002007,-0.08908685968819607
2022-10-31,002007,-0.026283618581907087
2022-11-30,002007,0.1713747645951036
2022-12-30,002007,0.1162915326902465
2023-01-31,002007,-0.015842534805568853
2023-02-28,002007,-0.00536585365853659
2023-03-31,002007,-0.01765571358509066
2023-04-28,002007,0.07239141288067885
2023-05-31,002007,-0.03491620111731841
2023-06-30,002007,0.00868306801736618
2023-07-31,002007,0.02965088474414168
2023-08-31,002007,-0.08360427310729213
2023-09-28,002007,0.04916371008616305
2023-10-31,002007,0.061352657004830835
2023-11-30,002007,0.031861629494765786
2023-12-29,002007,-0.08998676665196303
2024-01-31,002007,-0.21958313136209395
2024-02-29,002007,0.13229813664596257
2024-03-29,002007,0.02413603949533738
2024-04-30,002007,-0.037493304767006075
2024-05-31,002007,-0.07234279354479678
2024-06-28,002007,-0.1247750449910019
2024-07-31,002007,0.04797806716929398
2024-08-30,002007,-0.09287115761935905
2024-09-30,002007,0.20475847152126914
2024-10-31,002007,-0.08557749850388996
2024-11-29,002007,0.02486910994764413
2024-12-31,002007,-0.0006385696040868138
2020-02-28,002415,-0.03316749585406298
2020-03-31,002415,-0.24356775300171518
2020-04-30,002415,0.18866213151927447
2020-05-29,002415,-0.14841663487218626
