fund_code,report_date,as_value,source,num_holdings,report_quarter
1702,2024-12-31,0.9733333333333332,full,43,2024Q4
1723,2020-06-30,0.9566666666666669,full,45,2020Q2
1723,2020-12-31,0.935,full,56,2020Q4
1723,2021-06-30,0.9233333333333333,full,38,2021Q2
1723,2021-12-31,0.95,full,29,2021Q4
1723,2022-06-30,0.94,full,46,2022Q2
1723,2022-12-31,0.9533333333333334,full,59,2022Q4
1723,2023-06-30,0.9233846385996679,full,76,2023Q2
1723,2023-12-31,0.9138864175563465,full,77,2023Q4
1723,2024-06-30,0.9129712041884817,full,64,2024Q2
1723,2024-12-31,0.9108141657539248,full,50,2024Q4
2692,2020-06-30,0.9533333333333334,full,39,2020Q2
2692,2020-12-31,0.9583839689722042,full,62,2020Q4
2692,2021-06-30,0.9490418396678377,full,71,2021Q2
2692,2021-12-31,0.9407828551186681,full,102,2021Q4
2692,2022-06-30,0.9676810954063604,full,49,2022Q2
2692,2022-12-31,0.9461220636822423,full,71,2022Q4
2692,2023-06-30,0.9619256451903988,full,107,2023Q2
2692,2023-12-31,0.9574326059050066,full,116,2023Q4
2692,2024-06-30,0.9433333333333334,full,48,2024Q2
2692,2024-12-31,0.923566373579241,full,105,2024Q4
5094,2020-06-30,0.9589380906870553,full,45,2020Q2
5094,2020-12-31,0.9495045531717858,full,119,2020Q4
5094,2021-06-30,0.9665530948324814,full,143,2021Q2
5094,2021-12-31,0.9766666666666667,full,109,2021Q4
5094,2022-06-30,0.9770083994937292,full,109,2022Q2
5094,2022-12-31,0.969893185216834,full,56,2022Q4
5094,2023-06-30,0.962693742671357,full,46,2023Q2
5094,2023-12-31,0.9598865698729584,full,33,2023Q4
5094,2024-06-30,0.9666666666666666,full,26,2024Q2
5094,2024-12-31,0.9665599316896147,full,41,2024Q4
5136,2020-06-30,0.9445310681871073,full,76,2020Q2
5136,2020-12-31,0.9315585135884636,full,111,2020Q4
5136,2021-06-30,0.9162463343108505,full,162,2021Q2
5136,2021-12-31,0.9210219463533585,full,146,2021Q4
5136,2022-06-30,0.93,full,88,2022Q2
5136,2022-12-31,0.946708444106849,full,121,2022Q4
5136,2023-06-30,0.9390001079796999,full,153,2023Q2
5136,2023-12-31,0.96166314070445,full,155,2023Q4
5136,2024-06-30,0.9255797101449276,full,121,2024Q2
5136,2024-12-31,0.9159563226488201,full,171,2024Q4
5207,2020-06-30,0.95,full,53,2020Q2
5207,2020-12-31,0.9595720552048786,full,78,2020Q4
5207,2021-06-30,0.9556886184162863,full,108,2021Q2
5207,2021-12-31,0.9524412726732085,full,101,2021Q4
5207,2022-06-30,0.9648416532474504,full,62,2022Q2
5207,2022-12-31,0.98,full,56,2022Q4
5207,2023-06-30,0.9726865725270382,full,73,2023Q2
5207,2023-12-31,0.973225621140313,full,83,2023Q4
5207,2024-06-30,0.9466666666666668,full,79,2024Q2
5207,2024-12-31,0.9733333333333334,full,59,2024Q4
5819,2020-06-30,0.9233315410259169,full,78,2020Q2
5819,2020-12-31,0.9281471389645777,full,84,2020Q4
5819,2021-06-30,0.9480024414604373,full,136,2021Q2
5819,2021-12-31,0.945962171926469,full,125,2021Q4
5819,2022-06-30,0.9433972682359779,full,82,2022Q2
5819,2022-12-31,0.9865557158178928,full,77,2022Q4
5819,2023-06-30,0.9581159259669733,full,55,2023Q2
5819,2023-12-31,0.9755938204055359,full,55,2023Q4
5819,2024-06-30,0.9457458957887224,full,46,2024Q2
5819,2024-12-31,0.973783283497081,full,49,2024Q4
5844,2020-06-30,0.9533333333333334,full,28,2020Q2
5844,2020-12-31,0.9664371911274565,full,29,2020Q4
5844,2021-06-30,0.9533333333333333,full,20,2021Q2
5844,2021-12-31,0.9876610674037847,full,34,2021Q4
5844,2022-06-30,0.98,full,22,2022Q2
5844,2022-12-31,0.9866666666666667,full,16,2022Q4
5844,2023-06-30,0.9866666666666666,full,65,2023Q2
5844,2023-12-31,0.9866666666666666,full,32,2023Q4
5844,2024-06-30,0.9864554511212025,full,19,2024Q2
5844,2024-12-31,0.9864568911264946,full,19,2024Q4
5875,2020-06-30,0.9466666666666668,full,47,2020Q2
5875,2020-12-31,0.9727764164253361,full,70,2020Q4
5875,2021-06-30,0.9630097785447225,full,99,2021Q2
5875,2021-12-31,0.9633333333333334,full,97,2021Q4
5875,2022-06-30,0.94974169206211,full,75,2022Q2
5875,2022-12-31,0.94,full,83,2022Q4
5875,2023-06-30,0.939326750448833,full,119,2023Q2
5875,2023-12-31,0.9433333333333334,full,125,2023Q4
5875,2024-06-30,0.9433333333333334,full,73,2024Q2
5875,2024-12-31,0.9233333333333333,full,71,2024Q4
5914,2020-06-30,0.9799999999999999,full,44,2020Q2
5914,2020-12-31,0.9566666666666667,full,79,2020Q4
5914,2021-06-30,0.9426319890902009,full,108,2021Q2
5914,2021-12-31,0.9433333333333334,full,129,2021Q4
5914,2022-06-30,0.9615591040141938,full,92,2022Q2
5914,2022-12-31,0.9856538374971866,full,88,2022Q4
5914,2023-06-30,0.9733333333333333,full,51,2023Q2
5914,2023-12-31,0.976326684799033,full,57,2023Q4
5914,2024-06-30,0.9266666666666667,full,53,2024Q2
5914,2024-12-31,0.9700000000000002,full,27,2024Q4
6025,2020-06-30,0.8615232885794795,full,62,2020Q2
6025,2020-12-31,0.8633180321787917,full,75,2020Q4
6025,2021-06-30,0.8604201450663747,full,75,2021Q2
6025,2021-12-31,0.9196252348462375,full,54,2021Q4
6025,2022-06-30,0.9566666666666667,full,37,2022Q2
6025,2022-12-31,0.9833333333333334,full,14,2022Q4
6025,2023-06-30,0.9760253669659399,full,77,2023Q2
