fund_code,report_date,ici_value,num_industries
100022,2024-03-31,0.0286405767588384,10
100022,2024-06-30,0.03476759341266409,4
100022,2024-09-30,0.02209460250948313,6
100022,2024-12-31,0.030084583165183625,4
100039,2024-03-31,0.023297400024000797,4
100039,2024-06-30,0.045552784028545255,3
100039,2024-09-30,0.015796499991359066,7
100039,2024-12-31,0.026417368217843167,4
100060,2024-03-31,0.01588477896649351,10
100060,2024-06-30,0.045245321008612595,5
100060,2024-09-30,0.1181478469894084,2
100060,2024-12-31,0.022078833284761196,7
110002,2024-03-31,0.06870091112079502,9
110002,2024-06-30,0.044756446336267505,9
110002,2024-09-30,0.045993576676861735,5
110002,2024-12-31,0.08909605064235408,5
110005,2024-03-31,0.0814343325763934,7
110005,2024-06-30,0.08208973533322364,4
110005,2024-09-30,0.11562452176716559,3
110005,2024-12-31,0.05560078044100371,5
110009,2024-03-31,0.03958542021686749,12
110009,2024-06-30,0.03348555703571316,13
110009,2024-09-30,0.050165416063299696,16
110009,2024-12-31,0.027704222917927655,15
110013,2024-03-31,0.03627677383021825,12
110013,2024-06-30,0.06666637411696481,9
110013,2024-09-30,0.06391308044310641,8
110013,2024-12-31,0.030556754995722205,8
110015,2024-03-31,0.07699077575457519,9
110015,2024-06-30,0.05933227965101629,7
110015,2024-09-30,0.06833030977999677,5
110015,2024-12-31,0.08785458537462444,6
110025,2024-03-31,0.1860484866677782,10
110025,2024-06-30,0.0520549806374183,7
110025,2024-09-30,0.08039063537700779,5
110025,2024-12-31,0.31271589066380917,5
110029,2024-03-31,0.03856070038654338,8
110029,2024-06-30,0.10341308442708398,3
110029,2024-09-30,0.015937009899165695,7
110029,2024-12-31,0.07579674226522454,5
121003,2024-03-31,0.017773820572071844,11
121003,2024-06-30,0.00917551752814916,9
121003,2024-09-30,0.006533153925652321,6
121003,2024-12-31,0.0061838199440065154,8
150968,2024-03-31,0.04631857160598814,7
150968,2024-06-30,0.06752649322043691,4
150968,2024-09-30,0.0688864345490167,4
150968,2024-12-31,0.041886034446534166,6
151001,2024-03-31,0.04897712185468578,6
151001,2024-06-30,0.06641246667985584,3
151001,2024-09-30,0.06886618344056857,3
151001,2024-12-31,0.04245739633976976,5
160605,2024-03-31,0.06804930189481392,7
160605,2024-06-30,0.08429055629188013,5
160605,2024-09-30,0.1369674154116877,5
160605,2024-12-31,0.17567784785607934,5
161606,2024-03-31,0.08157671719626534,8
161606,2024-06-30,0.048150966800515525,4
161606,2024-09-30,0.07248123244396903,4
161606,2024-12-31,0.055634779390474294,5
