fund_code,quarter,as_value,rg_value,quarter_return,ici_value,next_return,rg_vol,as_change,as_rg_inter,fund_size,log_size,as_value_z,rg_value_z,rg_vol_z,as_change_z,as_rg_z,abs_return,ici_z,as_value_q,rg_value_q
1000,2021Q2,0.9375761407946044,-0.06176250203815228,0.3255319148936171,0.04267402564898091,-0.009373668512995259,0.024472389741199717,0.0,-0.0579070483067497,,,-0.4327899443943932,-1.9641869018334395,-0.2515000286692919,0.07507090805113395,0.8500803400246898,0.009373668512995259,-0.07606638198552688,Q2,Q1(低)
1000,2021Q4,0.9267446681423703,0.04710226270467566,-0.009373668512995259,0.04267402564898091,0.1356809943034698,0.0769790133819318,-0.011552632560651865,0.04365177081899939,,,-0.8226717025148546,1.909652606295532,3.1086797236142303,-0.5894049586953587,-1.5710171608330745,0.1356809943034698,-0.07606638198552688,Q1(低),Q5(高)
1000,2022Q2,0.9303475513428119,-0.059232971585116194,0.1356809943034698,0.04267402564898091,-0.04659789034426798,0.062135762083641,0.0038876762114676833,-0.05510725007297121,,,-0.6929849570840658,-1.8741761896518185,2.1587806630339665,0.2986794238316226,1.2987759063538435,0.04659789034426798,-0.07606638198552688,Q1(低),Q1(低)
1000,2022Q4,0.9274516060412679,-0.0024431138738449563,-0.04659789034426798,0.04267402564898091,-0.07284150286140834,0.051932439821408556,-0.003112756407392281,-0.0022658698860392084,,,-0.7972252835694764,0.14663187421200952,1.5058154846563472,-0.10396633743501317,-0.11689863749899308,0.07284150286140834,-0.07606638198552688,Q1(低),Q3
1000,2023Q2,0.9188035662927811,0.0053331197001937935,-0.07284150286140834,0.04267402564898091,-0.07080149569175742,0.043742547546628464,-0.009324518597148113,0.0049000894000043455,,,-1.108513789730289,0.4233410639550098,0.9817004628374428,-0.46124993001801806,-0.4692794071532206,0.07080149569175742,-0.07606638198552688,Q1(低),Q4
1000,2023Q4,0.9181960950764008,-0.0023276915474482276,-0.07080149569175742,0.04267402564898091,-0.0023694522919893712,0.029932215279943032,-0.0006611546130925738,-0.002137277289409307,,,-1.1303798788073924,0.1507390577361925,0.09790341710957226,0.037043100771566057,-0.17039239781537782,0.0023694522919893712,-0.07606638198552688,Q1(低),Q3
1000,2024Q2,0.9328334581238635,-0.03463608503731934,-0.0023694522919893712,0.04267402564898091,-0.12596210775606864,0.017787936383640537,0.01594143465208786,-0.032309698981234806,,,-0.6035040769269167,-0.9989215458659019,-0.6792739602181839,0.9919786822763147,0.6028532254602097,0.12596210775606864,-0.07606638198552688,Q2,Q1(低)
100022,2021Q2,0.9245947315096252,-0.005366549581275017,0.11104960141718334,0.04267402564898091,0.048758865248226924,0.024472389741199717,0.0,-0.004961883469232066,,,-0.9000592472315331,0.042604452946088577,-0.2515000286692919,0.07507090805113395,-0.038346531847367755,0.048758865248226924,-0.07606638198552688,Q1(低),Q3
100022,2021Q4,0.9433179443567004,0.0020513838909067875,0.048758865248226924,0.04267402564898091,0.08046749059645353,0.0052452710605704255,0.020250183360341012,0.0019351072350566405,,,-0.22611218787431597,0.306563905952699,-1.4819462163248274,1.2398061378348764,-0.06931783549826082,0.08046749059645353,-0.07606638198552688,Q2,Q4
100022,2022Q2,0.9349197252367598,-0.04853730077022269,0.08046749059645353,0.04267402564898091,-0.06878892733564024,0.02731896322751817,-0.008902851016650337,-0.04537847989983057,,,-0.5284083336239843,-1.4935818599202964,-0.06933256237853772,-0.4369967626503937,0.789221101731495,0.06878892733564024,-0.07606638198552688,Q2,Q1(低)
100022,2022Q4,0.9359519291587602,0.0016468260008970631,-0.06878892733564024,0.04267402564898091,0.040862980425775186,0.02423109605940566,0.0011040562030488754,0.0015413499725284124,,,-0.49125387709074847,0.2921681339015018,-0.2669417022658656,0.13857320491777542,-0.14352872854148171,0.040862980425775186,-0.07606638198552688,Q2,Q4
100022,2023Q2,0.9230721753369442,-0.02022567529885853,0.040862980425775186,0.04267402564898091,-0.02409816676522769,0.0238991755065112,-0.013761127490161229,-0.01866975809577604,,,-0.9548640643142415,-0.4861420923388721,-0.28818307418941697,-0.7164315541303445,0.4641996141249247,0.02409816676522769,-0.07606638198552688,Q1(低),Q2
100022,2023Q4,0.9556309934790947,0.0006712109586289658,-0.02409816676522769,0.04267402564898091,-0.019440874035989708,0.023554034219668944,0.03527223440601035,0.0006414299952286542,,,0.21709931196477303,0.2574518865978758,-0.31027051160797453,2.1038334784844053,0.05589262744443161,0.019440874035989708,-0.07606638198552688,Q3,Q4
100022,2024Q2,0.9433333333333334,-0.0037421100643303174,-0.019440874035989708,0.03476759341266409,-0.06080502426491574,0.010149975165341664,-0.012868628403302607,-0.003530057160684933,,,-0.22555825754018805,0.10040844484532144,-1.168067960953456,-0.6650974446797646,-0.02264795386163078,0.06080502426491574,-0.29157924488407466,Q2,Q3
100039,2021Q2,0.95,0.01026738497696907,0.09856675886346489,0.04267402564898091,0.010963910461397885,0.024472389741199717,0.0,0.009754015728120617,,,0.014410194050459417,0.5989217655522203,-0.2515000286692919,0.07507090805113395,0.008630578862651256,0.010963910461397885,-0.07606638198552688,Q3,Q4
100039,2021Q4,0.9533333333333334,0.01585762928267727,0.010963910461397885,0.04267402564898091,0.06878761822871882,0.003952899657055749,0.0035087719298245723,0.015117606582818997,,,0.13439441984578715,0.7978447991223832,-1.564651976501558,0.2768858845982968,0.10722588890503128,0.06878761822871882,-0.07606638198552688,Q3,Q5(高)
100039,2022Q2,0.9666666666666667,-0.045576270832200096,0.06878761822871882,0.04267402564898091,-0.00960139656677328,0.03397030273845864,0.013986013986013957,-0.04405706180446009,,,0.614331323027086,-1.3882166870311474,0.3563222369692488,0.8795082271552055,-0.8528249939921231,0.00960139656677328,-0.07606638198552688,Q4,Q1(低)
100039,2022Q4,0.9733333333333334,-0.0025946220965815483,-0.00960139656677328,0.04267402564898091,-0.06214039125431525,0.02780471744118659,0.006896551724137945,-0.0025254321740060407,,,0.8542997746177375,0.14124061157133877,-0.038246551506400155,0.4717417240231433,0.12066182263226613,0.06214039125431525,-0.07606638198552688,Q5(高),Q3
100039,2023Q2,0.962463768115942,0.02754543918189349,-0.06214039125431525,0.04267402564898091,-0.035225618631732125,0.03208562043166147,-0.01116736152471709,0.02651148718941372,,,0.4630468644155892,1.21374336702029,0.23571133328367808,-0.5672452211471376,0.5620200603039649,0.035225618631732125,-0.07606638198552688,Q4,Q5(高)
