year,quarter,MKT,SMB,HML,MOM,rf,MKT_excess
2006,1,0.12710451122228905,0.020326459376404316,,,0.00625,0.12085451122228905
2006,2,0.3137057177053786,0.17192287514640703,,,0.00625,0.3074557177053786
2006,3,0.006678814313179293,0.036928184340925485,,,0.00625,0.00042881431317929285
2006,4,0.4544955710590286,-0.3414248978580994,,,0.00625,0.4482455710590286
2007,1,0.3629161461012709,0.3322204295149853,,,0.00625,0.3566661461012709
2007,2,0.353119225819438,-0.12775474252107832,,,0.00625,0.346869225819438
2007,3,0.48264914667063463,-0.06480946506505281,,,0.00625,0.47639914667063465
2007,4,-0.0434596411632,0.016697373894604017,,,0.00625,-0.0497096411632
2008,1,-0.28993288087713853,0.1073190883312577,,,0.00625,-0.2961828808771385
2008,2,-0.2634750285580114,-0.0407657172197875,,,0.00625,-0.2697250285580114
2008,3,-0.19634503657112645,-0.04451759368348296,,,0.00625,-0.20259503657112646
2008,4,-0.18984159810309909,0.09781444454504717,,,0.00625,-0.1960915981030991
2009,1,0.3796349272715267,0.12293541556116194,,,0.00625,0.3733849272715267
2009,2,0.2626535714712963,-0.07799125372980842,,,0.00625,0.25640357147129633
2009,3,-0.05105685510994795,0.03609853794959561,,,0.00625,-0.05730685510994795
2009,4,0.189989350372737,0.12896131156538093,,,0.00625,0.183739350372737
2010,1,-0.0643430060855561,0.12474320674326767,,,0.00625,-0.0705930060855561
2010,2,-0.23390054429536078,0.004366634586687734,,,0.00625,-0.24015054429536078
2010,3,0.14533352581084436,0.12650461678042446,,,0.00625,0.13908352581084435
2010,4,0.06563972243891292,-0.00639413174243586,,,0.00625,0.05938972243891292
2011,1,0.03037790976453425,-0.017478656819257976,,,0.00625,0.02412790976453425
2011,2,-0.05559536994809622,-0.028611893470829597,,,0.00625,-0.06184536994809622
2011,3,-0.15201258832688924,-0.005761583877341048,,,0.00625,-0.15826258832688925
2011,4,-0.09127394580355253,-0.06171698197910758,,,0.00625,-0.09752394580355253
2012,1,0.04653542165798452,-0.0005909566359589835,,0.0440934544731945,0.00625,0.04028542165798452
2012,2,0.002733308892419295,0.013102868182438998,,0.03548622541639736,0.00625,-0.0035166911075807054
2012,3,-0.06845113563886984,-0.00968840460492415,,-0.012432243637884907,0.00625,-0.07470113563886985
2012,4,0.10023069107020621,-0.07644445777072928,,-0.0317480907105339,0.00625,0.09398069107020621
2013,1,-0.01104659228284377,0.06337788849208437,,-0.07451695980265785,0.00625,-0.01729659228284377
2013,2,-0.11800824021674605,0.056710815282957294,,0.1142102746518091,0.00625,-0.12425824021674606
2013,3,0.09469972371673663,0.1021216410630208,,0.011488335901357095,0.00625,0.08844972371673662
2013,4,-0.032797296848537605,0.021490494951246664,,-0.030847098567094604,0.00625,-0.0390472968485376
2014,1,-0.07885306197774233,0.08184070920555087,,-0.0073053667399649025,0.00625,-0.08510306197774234
2014,2,0.008768578483902445,0.013197082595008736,,0.03616625998593499,0.00625,0.0025185784839024446
2014,3,0.13203425214306774,0.12051230955277115,,0.029642216024532465,0.00625,0.12578425214306774
2014,4,0.44174802834772997,-0.35904256143479896,,0.1405681980874234,0.00625,0.43549802834773
2015,1,0.1464438224981679,0.21622669684254436,,0.04779283771022738,0.00625,0.1401938224981679
2015,2,0.10411729857819929,0.1237742236674606,,-0.12116060709105206,0.00625,0.09786729857819929
2015,3,-0.28393695506371586,-0.028468586356582226,,-0.2444557713822866,0.00625,-0.29018695506371583
2015,4,0.1648636413306479,0.07909878026534156,,-0.19141510214325003,0.00625,0.1586136413306479
2016,1,-0.1374725274725268,-0.054433417768090964,,-0.048335220796554716,0.00625,-0.1437225274725268
2016,2,-0.019940399429474676,0.014690074939277542,,-0.03817692228326957,0.00625,-0.026190399429474674
2016,3,0.03150365259740284,0.0019086661946576822,,0.0015045731925027693,0.00625,0.025253652597402844
2016,4,0.01745930261151729,-0.027645630555652723,,-0.02517411893495805,0.00625,0.01120930261151729
2017,1,0.04409863205723141,-0.022063486303092184,,0.01977926741991302,0.00625,0.037848632057231414
2017,2,0.06098002054368479,-0.10213972155826778,,-0.02713793943047809,0.00625,0.05473002054368479
2017,3,0.04628013526780772,0.029491757286312703,,-0.0674503369147133,0.00625,0.04003013526780772
2017,4,0.05065815196142376,-0.10403178861967999,,-0.029351678806227115,0.00625,0.04440815196142376
2018,1,-0.032834265725592116,0.011064321942216626,,0.009262968289180058,0.00625,-0.039084265725592114
2018,2,-0.09940233423111478,-0.04728910318077795,,0.033520756517547844,0.00625,-0.10565233423111478
2018,3,-0.02054127337666367,-0.05938382858279756,,0.05242869015938718,0.00625,-0.02679127337666367
2018,4,-0.12452091681545607,-0.007269456731900714,,-0.13376014865482835,0.00625,-0.13077091681545608
2019,1,0.28621394051118565,0.04478576198687079,,-0.01376125555165542,0.00625,0.27996394051118567
2019,2,-0.0120728035244837,-0.09557258209756248,,-0.044499304501845326,0.00625,-0.018322803524483698
2019,3,-0.002891057327105484,0.0009558914442011623,,0.02751208660149597,0.00625,-0.009141057327105484
2019,4,0.07394095733943717,-0.007807257001443135,,0.003940929600047684,0.00625,0.06769095733943717
2020,1,-0.10018600881711093,0.05724284240166155,,-0.06197536427514011,0.00625,-0.10643600881711093
2020,2,0.12961998393992702,0.03362075037262202,-3.95020842383631e-06,-0.015779781937367676,0.00625,0.12336998393992701
2020,3,0.10169165890162035,-0.04574750756184698,,0.03565895197231994,0.00625,0.09544165890162035
2020,4,0.13600078475825095,-0.10780377224311177,-0.026431607064099312,-0.002255830241354416,0.00625,0.12975078475825094
2021,1,-0.03126481159175565,0.01351107402479057,,-0.08697587641967124,0.00625,-0.03751481159175565
2021,2,0.03479942000966729,0.053800483733014604,0.007885451569998488,0.03429470867001151,0.00625,0.028549420009667294
2021,3,-0.06846425371934395,0.11185764226077388,,-0.018831550996561502,0.00625,-0.07471425371934395
2021,4,0.015204320254480486,0.020804131786102076,0.005244447659726148,-0.02647239169723925,0.00625,0.008954320254480485
2022,1,-0.14528668905365394,0.004726317284216797,,-0.0055440417657623,0.00625,-0.15153668905365394
2022,2,0.062144176573675436,-0.0417298182220025,-0.011569853089577337,-0.0203569235359172,0.00625,0.05589417657367544
2022,3,-0.1516429171841318,0.03698366288297639,,-0.0009606961351424567,0.00625,-0.15789291718413181
2022,4,0.01754058593021046,0.00878220381998629,-0.0038700606557274947,0.0033185090017951516,0.00625,0.011290585930210461
2023,1,0.046311243584743034,0.034744674511862916,,0.024185008474898677,0.00625,0.040061243584743035
2023,2,-0.05146472538404778,-0.0023364866377442173,0.009788008551617322,-0.033936259774914004,0.00625,-0.05771472538404778
2023,3,-0.03980012752280426,-0.011537405588370575,,-0.002489321324158432,0.00625,-0.04605012752280426
2023,4,-0.07003892105206078,0.024080289794778276,-0.005833695032280706,-0.025833386553101443,0.00625,-0.07628892105206078
2024,1,0.03100162921037275,-0.05735343232057388,,0.021797611266746952,0.00625,0.02475162921037275
2024,2,-0.0214333367255789,-0.04352496949292328,0.009609815572863348,-0.02761810216012993,0.00625,-0.0276833367255789
2024,3,0.16067146975728464,0.0012697859732966332,,0.018064131250102162,0.00625,0.15442146975728463
2024,4,-0.020642881142899916,0.017597551171210313,-0.01963283447757324,0.002969260073930743,0.00625,-0.026892881142899915
2025,1,-0.012096845925319677,0.035157660878173624,,-0.020191005214653016,0.00625,-0.018346845925319676
2025,2,0.012545950798881655,-0.002709443049346616,0.13526328604314958,0.09399171140214418,0.00625,0.006295950798881655
2025,3,0.17901312981443374,0.07405217948892462,,0.03168564808338122,0.00625,0.17276312981443373
2025,4,-0.002316465870377371,0.009493657510837306,-0.002877101898997869,0.04748900539755517,0.00625,-0.008566465870377371
2026,1,-0.038853635252292906,0.05918162092518864,,0.06762782689370916,0.00625,-0.045103635252292905
2026,2,0.11896046111841319,0.0666754506774534,,-0.12307171447129012,0.00625,0.11271046111841318
2026,3,-0.0785692338279681,-0.09165835043933057,,,0.00625,-0.0848192338279681
