fund_code,report_date,year,quarter,AS_new,num_holdings
1060,2025-12-31,2025,4,0.9873333333333182,45
1075,2020-06-30,2020,2,0.9732056330325272,80
1075,2020-12-31,2020,4,0.9711947797075716,113
1075,2021-06-30,2021,2,0.9788003198081022,120
1075,2021-12-31,2021,4,0.9772799088221537,151
1075,2022-06-30,2022,2,0.9848285286409436,139
1075,2022-12-31,2022,4,0.9856610640233536,141
1075,2023-06-30,2023,2,0.9710335697731445,150
1075,2023-12-31,2023,4,0.970266083837691,195
1075,2024-06-30,2024,2,0.9733333333333192,81
1075,2024-12-31,2024,4,0.9719441228679334,88
1075,2025-06-30,2025,2,0.9711737164139262,92
1075,2025-12-31,2025,4,0.9712585446114583,92
10912,2021-06-30,2021,2,0.9503118319090808,103
10912,2021-12-31,2021,4,0.9568579023815253,137
10912,2022-06-30,2022,2,0.9538568463245156,116
10912,2022-12-31,2022,4,0.9649339672477402,109
10912,2023-06-30,2023,2,0.9698454094494431,81
10912,2023-12-31,2023,4,0.9739935038570691,79
10912,2024-06-30,2024,2,0.9627622255686625,73
10912,2024-12-31,2024,4,0.966108000548908,77
10912,2025-06-30,2025,2,0.9746896944225412,120
10912,2025-12-31,2025,4,0.9753333333333185,74
10913,2021-06-30,2021,2,0.9503118319090808,103
10913,2021-12-31,2021,4,0.9568579023815253,137
10913,2022-06-30,2022,2,0.9538568463245156,116
10913,2022-12-31,2022,4,0.9649339672477402,109
10913,2023-06-30,2023,2,0.9698454094494431,81
10913,2023-12-31,2023,4,0.9739935038570691,79
10913,2024-06-30,2024,2,0.9627622255686625,73
10913,2024-12-31,2024,4,0.966108000548908,77
10913,2025-06-30,2025,2,0.9746896944225412,120
10913,2025-12-31,2025,4,0.9753333333333185,74
11120,2020-06-30,2020,2,0.987333333333319,10
11120,2020-12-31,2020,4,0.9753839689721905,61
11120,2021-06-30,2021,2,0.9610827791790731,101
11120,2021-12-31,2021,4,0.950496459379412,132
11120,2022-06-30,2022,2,0.9636736421801945,79
11120,2022-12-31,2022,4,0.9485847422435643,101
11120,2023-06-30,2023,2,0.9584373994945874,137
11120,2023-12-31,2023,4,0.9513333333333185,146
