fund_code,report_date,as_value,source,num_holdings,quarter
308,2023-12-31,0.9733333333333334,full_holdings,47,2023Q4
308,2024-06-30,0.9433333333333332,full_holdings,40,2024Q2
308,2024-12-31,0.9466666666666668,full_holdings,42,2024Q4
327,2020-06-30,0.94,full_holdings,91,2020Q2
327,2020-12-31,0.9476950938426077,full_holdings,122,2020Q4
327,2021-06-30,0.8766666666666667,full_holdings,136,2021Q2
327,2021-12-31,0.9266666666666667,full_holdings,148,2021Q4
327,2022-06-30,0.9654783767239207,full_holdings,85,2022Q2
327,2022-12-31,0.9676203353163872,full_holdings,92,2022Q4
327,2023-06-30,0.9409567534478414,full_holdings,149,2023Q2
327,2023-12-31,0.9291454802259886,full_holdings,160,2023Q4
327,2024-06-30,0.9525299368604399,full_holdings,120,2024Q2
327,2024-12-31,0.9466666666666667,full_holdings,93,2024Q4
354,2020-06-30,0.9766666666666663,full_holdings,31,2020Q2
354,2020-12-31,0.9833333333333334,full_holdings,24,2020Q4
354,2021-06-30,0.9833333333333334,full_holdings,24,2021Q2
354,2021-12-31,0.9966666666666666,full_holdings,16,2021Q4
354,2022-06-30,1.0,full_holdings,22,2022Q2
354,2022-12-31,0.9900000000000002,full_holdings,20,2022Q4
354,2023-06-30,0.9666666666666667,full_holdings,20,2023Q2
354,2023-12-31,0.9800000000000001,full_holdings,20,2023Q4
354,2024-06-30,0.9673547772722464,full_holdings,19,2024Q2
354,2024-12-31,0.9765588615782665,full_holdings,32,2024Q4
522,2020-06-30,0.9666666666666668,full_holdings,47,2020Q2
522,2020-12-31,0.9750517598343686,full_holdings,54,2020Q4
522,2021-06-30,0.9818119758143165,full_holdings,24,2021Q2
522,2021-12-31,0.98,full_holdings,32,2021Q4
522,2022-06-30,0.9651687982486461,full_holdings,36,2022Q2
522,2022-12-31,0.9813984736106633,full_holdings,34,2022Q4
522,2023-06-30,0.9698698086186694,full_holdings,24,2023Q2
522,2023-12-31,0.9620631694821964,full_holdings,23,2023Q4
522,2024-06-30,0.9571136767317939,full_holdings,21,2024Q2
522,2024-12-31,0.9432840028188866,full_holdings,21,2024Q4
601,2020-06-30,0.9566666666666667,full_holdings,51,2020Q2
601,2020-12-31,0.9660967361981838,full_holdings,89,2020Q4
601,2021-06-30,0.9533333333333334,full_holdings,113,2021Q2
601,2021-12-31,0.9533333333333334,full_holdings,106,2021Q4
601,2022-06-30,0.9466666666666667,full_holdings,77,2022Q2
601,2022-12-31,0.9766666666666666,full_holdings,76,2022Q4
601,2023-06-30,0.9598881806999888,full_holdings,158,2023Q2
601,2023-12-31,0.97,full_holdings,142,2023Q4
601,2024-06-30,0.9333333333333333,full_holdings,87,2024Q2
601,2024-12-31,0.9333333333333333,full_holdings,80,2024Q4
800,2020-06-30,0.9595589856670343,full_holdings,107,2020Q2
800,2020-12-31,0.9658414872798436,full_holdings,261,2020Q4
800,2021-06-30,0.9609123343527013,full_holdings,427,2021Q2
800,2021-12-31,0.9676760057471266,full_holdings,459,2021Q4
800,2022-06-30,0.9723396679501513,full_holdings,470,2022Q2
800,2022-12-31,0.974915824915825,full_holdings,88,2022Q4
800,2023-06-30,0.9247926869082598,full_holdings,197,2023Q2
800,2023-12-31,0.9382487948773293,full_holdings,194,2023Q4
800,2024-06-30,0.9008730505757178,full_holdings,131,2024Q2
800,2024-12-31,0.8966666666666667,full_holdings,116,2024Q4
940,2020-06-30,0.9533333333333335,full_holdings,57,2020Q2
940,2020-12-31,0.9444292667608731,full_holdings,73,2020Q4
940,2021-06-30,0.9566666666666668,full_holdings,86,2021Q2
940,2021-12-31,0.9500000000000002,full_holdings,101,2021Q4
940,2022-06-30,0.97,full_holdings,62,2022Q2
940,2022-12-31,0.9733333333333334,full_holdings,40,2022Q4
940,2023-06-30,0.9662715138742536,full_holdings,55,2023Q2
940,2023-12-31,0.9732092638544252,full_holdings,43,2023Q4
940,2024-06-30,0.9600000000000001,full_holdings,28,2024Q2
940,2024-12-31,0.976210739614995,full_holdings,47,2024Q4
1000,2020-06-30,0.9372824406017153,full_holdings,84,2020Q2
1000,2020-12-31,0.909183530073075,full_holdings,122,2020Q4
1000,2021-06-30,0.9375761407946044,full_holdings,132,2021Q2
1000,2021-12-31,0.9267446681423703,full_holdings,181,2021Q4
1000,2022-06-30,0.9303475513428119,full_holdings,95,2022Q2
1000,2022-12-31,0.9274516060412679,full_holdings,155,2022Q4
1000,2023-06-30,0.9188035662927811,full_holdings,163,2023Q2
1000,2023-12-31,0.9181960950764008,full_holdings,148,2023Q4
1000,2024-06-30,0.9328334581238635,full_holdings,69,2024Q2
1000,2024-12-31,0.9423826353932383,full_holdings,77,2024Q4
1076,2020-06-30,0.9566666666666667,full_holdings,32,2020Q2
1076,2021-06-30,0.9666666666666666,full_holdings,82,2021Q2
1076,2021-12-31,0.9642444794315934,full_holdings,76,2021Q4
1076,2022-06-30,0.9454918295418135,full_holdings,100,2022Q2
1076,2022-12-31,0.9566666666666668,full_holdings,111,2022Q4
1076,2023-06-30,0.9504012829119117,full_holdings,143,2023Q2
1076,2023-12-31,0.9454984894259819,full_holdings,172,2023Q4
1076,2024-06-30,0.9293014967925874,full_holdings,101,2024Q2
1076,2024-12-31,0.9342104491829706,full_holdings,103,2024Q4
1088,2020-06-30,0.9466666666666667,full_holdings,49,2020Q2
1088,2020-12-31,0.9393100275988961,full_holdings,95,2020Q4
1088,2021-06-30,0.9433333333333334,full_holdings,126,2021Q2
1088,2021-12-31,0.95,full_holdings,100,2021Q4
1088,2022-06-30,0.97,full_holdings,67,2022Q2
1088,2022-12-31,0.9533333333333334,full_holdings,52,2022Q4
1088,2023-06-30,0.9398840714120104,full_holdings,129,2023Q2
1088,2023-12-31,0.9600000000000001,full_holdings,131,2023Q4
1088,2024-06-30,0.9633333333333333,full_holdings,60,2024Q2
1088,2024-12-31,0.9366666666666665,full_holdings,67,2024Q4
1475,2020-06-30,0.9866666666666667,full_holdings,40,2020Q2
1475,2020-12-31,0.988672419515433,full_holdings,78,2020Q4
1475,2021-06-30,0.9862357714819204,full_holdings,94,2021Q2
1475,2021-12-31,0.987108898168969,full_holdings,95,2021Q4
1475,2022-06-30,0.9800000000000001,full_holdings,72,2022Q2
1475,2022-12-31,0.9833333333333334,full_holdings,74,2022Q4
1475,2023-06-30,0.9766666666666667,full_holdings,110,2023Q2
1475,2023-12-31,0.98,full_holdings,132,2023Q4
1475,2024-06-30,0.9666666666666667,full_holdings,76,2024Q2
1475,2024-12-31,0.9566666666666668,full_holdings,60,2024Q4
1513,2020-06-30,0.8712817699762296,full_holdings,116,2020Q2
1513,2020-12-31,0.8707086501731462,full_holdings,128,2020Q4
1513,2021-06-30,0.9183189975576085,full_holdings,125,2021Q2
1513,2021-12-31,0.8729597438243367,full_holdings,180,2021Q4
1513,2022-06-30,0.8977784932388926,full_holdings,166,2022Q2
1513,2022-12-31,0.9220849933598937,full_holdings,185,2022Q4
1513,2023-06-30,0.8783360504293012,full_holdings,192,2023Q2
1513,2023-12-31,0.8839118427268432,full_holdings,213,2023Q4
1513,2024-06-30,0.8922256568778981,full_holdings,106,2024Q2
1513,2024-12-31,0.8561781706902414,full_holdings,141,2024Q4
1664,2020-06-30,0.9733333333333334,full_holdings,27,2020Q2
1664,2020-12-31,0.8822009643801525,full_holdings,107,2020Q4
1664,2021-06-30,0.9466666666666668,full_holdings,104,2021Q2
1664,2021-12-31,0.9700000000000002,full_holdings,58,2021Q4
1664,2022-06-30,0.96,full_holdings,41,2022Q2
1664,2022-12-31,0.9566666666666668,full_holdings,44,2022Q4
1664,2023-06-30,0.9766666666666668,full_holdings,47,2023Q2
1664,2023-12-31,0.95,full_holdings,33,2023Q4
1664,2024-06-30,0.9666666666666666,full_holdings,23,2024Q2
1664,2024-12-31,0.9933333333333334,full_holdings,22,2024Q4
1665,2020-06-30,0.9733333333333334,full_holdings,27,2020Q2
1665,2020-12-31,0.8822009643801525,full_holdings,107,2020Q4
1665,2021-06-30,0.9466666666666668,full_holdings,104,2021Q2
1665,2021-12-31,0.9700000000000002,full_holdings,58,2021Q4
1665,2022-06-30,0.96,full_holdings,41,2022Q2
1665,2022-12-31,0.9566666666666668,full_holdings,44,2022Q4
1665,2023-06-30,0.9766666666666668,full_holdings,47,2023Q2
1665,2023-12-31,0.95,full_holdings,33,2023Q4
1665,2024-06-30,0.9666666666666666,full_holdings,23,2024Q2
1665,2024-12-31,0.9933333333333334,full_holdings,22,2024Q4
1702,2020-06-30,0.96,full_holdings,42,2020Q2
1702,2020-12-31,0.9414365999297507,full_holdings,81,2020Q4
1702,2021-06-30,0.9621329879101901,full_holdings,115,2021Q2
1702,2021-12-31,0.9653342099495946,full_holdings,127,2021Q4
1702,2022-06-30,0.9666666666666667,full_holdings,90,2022Q2
1702,2022-12-31,0.98871009351822,full_holdings,74,2022Q4
1702,2023-06-30,0.9833333333333334,full_holdings,102,2023Q2
1702,2023-12-31,0.9766666666666666,full_holdings,51,2023Q4
1702,2024-06-30,0.9633333333333334,full_holdings,55,2024Q2
1702,2024-12-31,0.9733333333333332,full_holdings,43,2024Q4
1723,2020-06-30,0.9566666666666669,full_holdings,45,2020Q2
1723,2020-12-31,0.935,full_holdings,56,2020Q4
1723,2021-06-30,0.9233333333333333,full_holdings,38,2021Q2
1723,2021-12-31,0.95,full_holdings,29,2021Q4
1723,2022-06-30,0.94,full_holdings,46,2022Q2
1723,2022-12-31,0.9533333333333334,full_holdings,59,2022Q4
1723,2023-06-30,0.9233846385996679,full_holdings,76,2023Q2
1723,2023-12-31,0.9138864175563465,full_holdings,77,2023Q4
1723,2024-06-30,0.9129712041884817,full_holdings,64,2024Q2
1723,2024-12-31,0.9108141657539248,full_holdings,50,2024Q4
1811,2020-06-30,0.924084427977995,full_holdings,80,2020Q2
1811,2020-12-31,0.9256667777654335,full_holdings,114,2020Q4
1811,2021-06-30,0.9466666666666668,full_holdings,134,2021Q2
