as_q,ici_q,mean,std,count
低AS,低,-0.01422703360592233,0.06649482402340193,458
低AS,高,-0.08378629416777456,0.027261639767278283,12
中AS,低,-0.008960870390796344,0.07366509693086468,440
中AS,高,-0.09236107502966774,0.04861028338953223,23
高AS,低,-0.00949116217051444,0.07979686842752924,443
高AS,高,-0.09038708364967928,0.06444825777536367,21
