variable,VIF
AS,1.0720563829542784
ICI,1.0914422178535093
SDI,1.045403646581191
ARG,1.7138998474416447
OCI,1.623717011837017
log_aum,1.109246387707611
manager_tenure,1.0409412818857948
TO_calc,1.0884141192396708
treasury_10y,1.065911185128832
manager_change_dummy,1.0158618563551538
