fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha
11,-0.42982291318906407,-0.4658471542134717,-0.5802635397577971,-0.3959652153355031,0.19908068273357876,-0.3345636279524514,-0.0084148888388725
17,-0.19157436688821694,-0.5417444229896197,-0.5352889932652697,-0.33845629398625937,-0.2187468292233223,-0.36516218127053757,0.0164847649949621
20,-0.22398223101926448,-0.7758933834479617,-0.8619018270100871,-0.2103057808643445,0.01391242368182355,-0.41163415973196693,0.0095254252166679
21,-0.14173992015004658,-0.11276423012902967,-0.729268771184917,-0.17072280390354577,0.4150007547711857,-0.14789899411927065,0.012186250420382
31,-0.21226109430173407,-0.1112149709584776,-0.5332505558659334,-0.6470270838488713,0.1983357206901707,-0.2610835968569691,-0.0132287624758803
61,-0.05327340974584728,-0.3238750480936435,-0.7439977316518718,0.12773069866345801,-0.38421528247335995,-0.2755261546602529,0.0345973353470991
73,0.10049916612708318,-0.8016296953483772,-0.5544010124846811,-0.4123738971863234,-0.45445411087844817,-0.4244719099541493,0.0298618339942805
263,0.219231042046004,-0.337855234266604,-0.7275267342683923,-0.02176580909964279,0.4611345881281008,-0.08135642949210686,0.0289038419962925
308,0.23493404928369796,-0.8416983925315817,-0.7644430235511486,0.24909108514546063,-0.4165009621119335,-0.30772344875310104,0.0201569034228364
327,-0.770561875598434,-0.588104873887249,-0.731159597432195,-0.08708506690491734,-0.6872374095873631,-0.5728297646820317,0.0113605716679312
354,0.008787991140397987,0.20529337371106784,-0.1023091285223364,-0.30087688427403114,-1.0162547587341622,-0.24107188133581275,0.0011142615429632
390,-0.5252813036324877,-0.5167715946322504,-0.13900223426711017,-0.20566453842167756,0.35557390402649414,-0.20622915338540632,0.0194793348007424
404,0.06791217776835697,-0.14682808892641516,0.6513664357573034,0.20629052742310874,0.7172254479733378,0.29919329999913835,0.0334394588103164
522,0.2508903751905378,1.6871507984807326,-0.13050658174053487,0.42870562934919243,0.0239282000701692,0.45203368427001944,0.0574214690458094
601,-0.31051058602101783,-0.5821941580475649,-0.5815238942105017,-0.2791290585040303,-0.46607177661441596,-0.44388589467950607,0.0247740204065876
742,0.43468099543610444,-0.5181648164494915,0.5210286232850603,-0.001931318294348297,0.4377810690119382,0.17467891059785262,0.0094496121602618
800,-0.28392514364256577,-0.7844094587006503,-0.8271178751889245,-0.2669010244664862,-0.0946732663026632,-0.4514053536602581,0.0043489068422433
