fund_code,composite_ew,composite_pc,alloc_ew,alloc_pc,active_ew,active_pc,discipl_ew,discipl_pc
11,-0.33886508204140875,-0.22881921527364593,-0.4636741401343963,-0.5154425131518074,-0.571403774150326,-0.40933043061827645,-0.5717335609168241,-0.021763330824885917
17,-0.30677908124020425,-0.41198907001881396,-0.5344399890039471,-0.5941092401253448,-0.7352326664680131,-0.7935827998622755,-0.015730679277615928,-0.5289712274336134
20,-0.3123051649850936,-0.34988141050169813,-0.7687617958309414,-0.8545926497935445,-0.49049254548388865,-0.35012188717343623,0.02220003451935397,-0.2577972429281226
21,-0.2096249555497638,-0.1992415765486247,-0.11229788444894431,-0.12483573866167673,-0.51268494831418,-0.38451676000542445,-0.3197937535074923,-0.3731238135966809
31,-0.2875659253522805,-0.19628599051170081,-0.11310607117305688,-0.12573415796116952,-0.3989356848270246,-0.15940898359673142,-0.3662171195693444,-0.04543612496804705
61,-0.10402650943932375,0.07155691421269995,-0.3217586751677012,-0.3576824450653314,-0.6196053879857255,-0.5957129636441939,-0.3869379096882176,0.6785939777800232
73,-0.29625485384489747,-0.31714480991656957,-0.791499815047998,-0.8798693274317166,-0.7019107054296232,-0.7450739736958233,0.11796206879707641,0.12415511301696248
263,-0.11967264044067465,-0.09728422416443767,-0.33667578257660813,-0.37426502034022985,-0.4885142735119112,-0.3339328497902677,0.5003880234439954,0.5177263351433954
308,-0.19729542236935063,-0.12388791152840774,-0.8334156588515198,-0.9264649988329804,-0.5364096217740953,-0.570433438887414,0.09747718204281872,0.6649954041832553
327,-0.4385841667557287,-0.3309509656902736,-0.5784880236854183,-0.6430751576316234,-0.5121417224681941,-0.43712230930058943,-1.3060224704420706,-0.6706555432707396
354,-0.14878895014771143,-0.27740253661647635,0.20672699650986665,0.22980768905180962,-0.7080340565420755,-0.9031445410289807,0.5061347249955715,-0.09351700187205579
390,-0.36446778137078234,-0.3975642420164327,-0.5104234529575706,-0.5674113015830807,-0.41495767620165436,-0.5888034781627511,-1.0494504006519927,-1.0171955139392883
404,0.2004942915253207,0.1964239211041816,-0.14501559025905522,-0.1612063167198729,0.05152115336241042,0.06191789127682536,0.06365092205617023,0.04502268807573876
522,0.4062992981222921,0.3556167454035626,1.6764921046553978,1.8636693938813818,-0.4474018449545409,-0.45467792528632006,-0.0016939773664657043,-0.48569050257304724
601,-0.2590251602445815,-0.3791814569961476,-0.5740580195920819,-0.6381505516519148,-0.634389819527653,-0.631004776032437,0.0099691684487902,-0.65026112349599
742,0.0950579747800584,0.019799733481555986,-0.5082272103919762,-0.5649698525361858,-0.012526338357471495,-0.14313384670679405,0.5502319718526257,0.28603267455514353
800,-0.4261629917976615,-0.2855343181319962,-0.7760722976571154,-0.8627193558302277,-0.4168324061920805,-0.2768533138426679,-0.6778115987601006,0.11262840905759083
823,-0.08515146440147713,-0.24876545777786488,-0.22384596312600347,-0.24883795710304474,-0.15019341644002965,-0.25010439079859914,0.5756223950221606,-0.2811585969005555
845,-0.47891099145924493,-0.4942020122417307,-1.2939203186807429,-1.4383841649777493,-0.5516075004268993,-0.8371755468029273,0.010565832078696547,0.34885160005681587
940,-0.11248720268034124,-0.16784507004880367,-0.7060777171812669,-0.7849100079614411,-0.42675126079517217,-0.34953572284749773,-0.09653674853226582,-0.4270671999105406
1000,-0.02748039809039633,-0.3566874397854929,-0.07885006800715041,-0.08765353444989679,-0.7846857848722762,-0.8690840837073576,0.6984882802498794,-1.1835522046428728
1037,-0.4443829368768833,-0.4039863690470769,-0.5201798356928171,-0.578256966676391,-0.24419741942241613,-0.4402598755399017,-0.8501300938501978,-0.35361109977029975
1060,0.11997441116521891,0.028012890920012256,0.074786561735539,0.08313634510601726,0.24785129243673087,0.3795489199408339,0.7187897868548784,0.02697325450905721
1075,-0.1815790662158141,-0.0351417514934261,-0.562399529277005,-0.6251904121327743,0.08273853967405544,0.07558872077083631,-0.1405313397184289,0.8080332503748873
1076,-0.1719437138177529,-0.3140318047642437,-0.20880108291127433,-0.23211334342133252,-0.2194025803867038,0.10227586428435212,-0.7573902072404065,-1.9082849370803487
1088,-0.4404771605411841,-0.3490874644709945,-0.8687839862741848,-0.9657821355778297,-0.7266718320177101,-0.7510946029170318,-0.3286684991936098,0.34109059743049425
1170,-0.12598315153010373,-0.343016907575813,-0.8396461129701365,-0.9333910718032046,-0.14535348787626878,-0.26536877138330106,0.48544741929211116,-0.6029948746420438
1184,-0.32117190984566085,-0.43326120729995116,-0.6556639638010946,-0.7288676508609145,-0.07655522511055637,-0.10174427197532514,-0.440914024137845,-1.0150570749389984
1194,0.22628783906133534,0.18679835017526683,-1.252525081885219,-1.392367225408477,-0.034802603568800466,0.027451328111668435,-0.07714160736774767,-0.2364903288413695
1198,-0.34607537168173647,-0.3397589468748418,-0.5784313934784554,-0.6430122047652228,0.10734839212869546,0.06435473536585673,-0.5179274662469597,-0.37245444935598493
1267,-0.36397057537019034,-0.6148340411590388,-1.2463718779740207,-1.3855270274905935,-0.05805288263392437,-0.11777095457414083,0.34689495487991934,-0.9594126183963827
1407,-0.1632530605962577,0.5314655682728153,-1.479183543760188,-1.644331691621956,1.242930124440228,2.114770744218342,-2.9301537330252767,
1411,-0.11841639596501823,0.02650516830855831,-0.7589580677672056,-0.8436943533520734,0.42316457619427905,0.7067485236203438,0.08271204192516357,0.7533937657254257
1412,-0.11730143296271757,0.004632594714172697,-0.7458287184596106,-0.8290991361135336,-0.04918307702129934,-0.11455660557431961,-0.3986872313152092,0.4815608809530756
1437,-0.09494962264585377,-0.06131809741210666,-0.7183640600599461,-0.7985680986390785,0.2145512006596955,0.325847130514912,-0.8888633563103121,-0.7181660961839136
1438,-0.15402027415245506,-0.1273000231183288,-0.729119833333712,-0.8105247344038293,0.2070502978981634,0.3166150027458692,-1.006140498777122,-0.8739787963499529
1475,-0.07855534051073679,0.013594217292999559,1.5820765509816304,1.758712515647628,-0.28975146461367685,0.08382361725446433,-1.092402957689112,-1.089716657400833
1480,-0.1830435591379235,-0.10696544950992454,-0.7504958355641926,-0.8342873283402173,0.3037350706263323,0.31764740819217546,-0.5383210357403563,-0.011973222762180803
1513,0.271521311628606,0.14439049405834145,0.5711194709569931,0.6348839194152106,-0.4817313943214121,-0.3796114885790254,1.3353980914475048,0.40672883182531344
1664,-0.10024102935913633,0.0534894247855843,-1.1953069922653339,-1.3287608403233166,-0.09208649390422924,0.10669557434101233,0.6781993158891226,1.5352538205701878
1665,-0.1273692326539775,0.02521982803614023,-1.1969219463101894,-1.3305561010451323,-0.10009052580166984,0.09202348839291456,0.6781993158891226,1.5352538205701878
1702,0.1264628863245225,0.3327537019382806,0.6416689936045152,0.7133101677381363,-0.05844846054921771,0.3392249467889576,0.2899196763591205,1.0583499885698728
1715,-2.522014814817535,-2.623518843391279,-0.8970783831968606,-0.99723555036976,-0.10387465221906104,-0.17753049454373468,-0.14360376911568085,-0.5788149310605692
1723,-0.105286339525634,-0.17089131702243196,0.3462608045763177,0.38492019258406807,-0.3384566009064668,-0.15214260110028172,-0.30727996658670165,-0.9258832193814246
1753,-0.4450898416251831,-0.641145521427808,-1.1365361988930236,-1.2634283949405123,0.08978489446306577,0.0566484572808922,-0.692666242826964,-1.7089716884130512
1759,0.012470115290205782,0.066265319398282,-0.5647902732218089,-0.6278480782835217,0.20242862326487038,0.34707882351020464,-0.08690197519668029,0.15427685426815566
1811,0.015173615968516478,-0.027859978544733294,0.05827322404509719,0.06477932334668714,-0.7600572604906053,-0.8187622537809437,0.21525659221727558,0.009253919126525387
1856,0.024123774853037544,0.5588106142264939,-0.003536949050413074,-0.003931842968224282,1.1208805118046543,1.696142763432565,-2.0744430643041447,
1881,-0.3812287724660827,-0.423055172770648,-0.6844910023184521,-0.7609131757111981,-0.5033679554424015,-0.31042543401271167,-0.7543174917524327,-1.1217962416167684
1985,-0.1969052042858378,-0.2576933845512853,-0.4377370753500588,-0.48660962233683747,-0.6063598810726494,-0.5382657206520545,0.3873212703247947,0.0033705752982932367
1998,-2.502211328425223,-2.556548338460255,-0.880818603863814,-0.9791603962964918,-0.08168351751504524,-0.1855277764969868,0.25389331291201517,0.13005730411644142
2051,-0.11658531927593901,0.02842304007201947,-0.7125780586142038,-0.7921361006729444,0.44093650484676505,0.7201415474228282,0.08238317346200352,0.7527863290324318
2112,-0.0694634324318358,0.05163656095064819,-0.7372245959643856,-0.8195343790168377,-0.014837638566677414,-0.09034728410802474,-0.39376275973282243,0.49065662915588093
2125,-0.32695143789543174,-0.5023387759904373,-1.0537736164600464,-1.1714255209570235,-0.367241438403924,-0.6609605923983843,0.4445677397658147,-0.19638523031278146
2152,-0.02868226806764278,-0.09117611706183543,-0.5278759784832899,-0.5868123697884704,-0.056411468588768485,-0.0338899699666345,-0.11116255411479659,-0.449710755396906
