fund_code,report_date,rc_mom,lead2,fut4q
11,2020-04-01,,0.2400524857220884,0.6151852964315269
11,2020-07-01,0.4019607843137255,0.1680033897063046,0.4486800555637138
11,2020-10-01,-0.2943606636161902,0.016991411148429,0.164225429544933
11,2021-01-01,0.1422539860671258,0.0236327689868918,0.0488617844532291
11,2021-04-01,-0.0604395604395604,-0.0444021402966924,-0.17043791626387073
11,2021-07-01,0.6771929824561403,0.0526397446146007,-0.031634063758337216
11,2021-10-01,-0.2032967032967032,-0.2023082895686708,-0.1429162359722412
11,2022-01-01,-0.2207792207792207,0.1624366214924253,-0.1901661507072168
11,2022-04-01,0.3010989010989011,-0.1556843125105964,0.03600457150482851
11,2022-07-01,-0.1086691086691086,0.0053898298796251,-0.15858786842865186
11,2022-10-01,-0.2294117647058823,0.0238624326433745,-0.0580152231949872
11,2023-01-01,-0.1142075585164983,-0.0321558184410551,-0.16051268421743692
11,2023-04-01,0.5934065934065934,-0.0551116672769317,-0.206869355395481
11,2023-07-01,0.5670745272525028,-0.0971076311428246,-0.18606985426520917
11,2023-10-01,0.0968097395497227,-0.0224942385346696,0.016680300211281307
11,2024-01-01,-0.0943548387096774,-0.0113563173107833,0.11269316088218019
11,2024-04-01,0.4090909090909091,0.1476384871995588,0.15770246426069923
11,2024-07-01,0.1318949343339587,-0.0010947704719257,0.1720825522794104
11,2024-10-01,0.1888111888111888,0.0225150648438494,0.3300856163365541
11,2025-01-01,-0.0221671137487189,0.0030237707079279,0.32482074457644805
11,2025-04-01,-0.0909090909090908,0.3056415512567025,0.29197089685859673
11,2025-07-01,0.0978969981705361,-0.0063596422320318,0.7089467633226922
11,2025-10-01,0.2818181818181818,-0.0103347828740019,
11,2026-01-01,0.3823998515749964,0.4199996371720234,
11,2026-04-01,,,
11,2026-07-01,,,
17,2020-04-01,,0.1386983689131753,0.5994797153640024
17,2020-07-01,0.3982456140350877,0.1478669104990404,0.34146394392058554
17,2020-10-01,,-0.0661209484923961,0.07525979082567871
17,2021-01-01,0.3211462450592885,0.1210196130007659,-0.1261189169264204
17,2021-04-01,0.6727272727272726,-0.1275057841817315,-0.1947229091937744
17,2021-07-01,0.4878632478632478,-0.0535117972530587,-0.2028775171817431
17,2021-10-01,,-0.1347249407597501,-0.24488392701834363
