fund_code,report_date,sharpe8_lag,ir8_lag,bull
11,2020-04-01,,,0.0
11,2020-07-01,,,1.0
11,2020-10-01,,,0.0
11,2021-01-01,,,1.0
11,2021-04-01,0.5872273550719972,0.23862118228434226,0.0
11,2021-07-01,0.5424845489319039,0.36665105547555576,0.0
11,2021-10-01,0.5203990373894385,0.16082089664812307,1.0
11,2022-01-01,0.41503761477615486,0.17870129973099697,1.0
11,2022-04-01,0.43930237562092406,0.2005972882001408,0.0
11,2022-07-01,0.37043853334769133,0.38507261892052447,1.0
11,2022-10-01,0.3547466394677766,0.6448119621250262,0.0
11,2023-01-01,0.0012231227539675077,0.6428296971335458,1.0
11,2023-04-01,-0.17337559373090483,0.41739734183932603,0.0
11,2023-07-01,-0.16553854338649696,0.026449000837256254,1.0
11,2023-10-01,-0.22748604194521774,0.2636216130898823,0.0
11,2024-01-01,-0.2383842841770139,0.24272643622259732,0.0
11,2024-04-01,-0.4080017342767535,0.14689151493217323,1.0
11,2024-07-01,-0.25437039392794236,-0.17928043160790189,0.0
11,2024-10-01,-0.776467784588372,-0.4161942473096269,1.0
11,2025-01-01,-0.10644002051842098,-0.8895878633621276,1.0
11,2025-04-01,-0.11785589054943714,-0.6932665032605165,0.0
11,2025-07-01,-0.12032833676695766,-0.4369949202536653,1.0
11,2025-10-01,-0.059747903228050354,-0.6224087860556761,1.0
11,2026-01-01,0.32470888058531194,-0.2265727711520167,1.0
11,2026-04-01,0.4540543361471876,-0.28713026144181736,0.0
11,2026-07-01,0.47175680176673046,-0.12232083468584591,0.0
17,2020-04-01,,,0.0
17,2020-07-01,,,1.0
17,2020-10-01,,,0.0
17,2021-01-01,,,1.0
17,2021-04-01,0.8753777911180525,0.24183714708333962,0.0
17,2021-07-01,0.600136391326394,0.21099374926167666,0.0
17,2021-10-01,0.681416444855421,0.16560119612154325,1.0
17,2022-01-01,0.4373955684079496,-0.07176629214240451,1.0
17,2022-04-01,0.35495777558219493,-0.2918595909201497,0.0
17,2022-07-01,0.2709326498021689,-0.007993336506573332,1.0
17,2022-10-01,0.11948873348532743,-0.29595192833419615,0.0
17,2023-01-01,-0.18410522105070853,-0.2669122806942886,1.0
17,2023-04-01,-0.3984698412682586,-0.26948416604272535,0.0
17,2023-07-01,-0.3210477098696062,-0.3768496882575479,1.0
17,2023-10-01,-0.6583172126086,-0.3724337950120692,0.0
17,2024-01-01,-0.6625917849525385,-0.36116002992950924,0.0
17,2024-04-01,-0.4928298198351614,0.010278397250339237,1.0
17,2024-07-01,-0.329619242386501,-0.3764486400242085,0.0
17,2024-10-01,-0.5035177345669534,-0.2737099609518546,1.0
17,2025-01-01,-0.19149414424368946,-0.47202470183973033,1.0
17,2025-04-01,-0.07138445671564965,-0.3165657952493505,0.0
17,2025-07-01,-0.21132366526545496,-0.3769617076608372,1.0
17,2025-10-01,0.16014106014556456,-0.12802345680245134,1.0
17,2026-01-01,0.5209310436166962,0.1929337335673249,1.0
17,2026-04-01,0.5781348850500619,0.1860872305887342,0.0
17,2026-07-01,0.5312786585527499,0.18976077711701866,0.0
20,2020-04-01,,,0.0
20,2020-07-01,,,1.0
20,2020-10-01,,,0.0
20,2021-01-01,,,1.0
20,2021-04-01,1.6776653860771051,4.658641730120692,0.0
20,2021-07-01,0.7765677681163015,2.8380908432374663,0.0
20,2021-10-01,0.9324752480522284,1.811606929780643,1.0
20,2022-01-01,0.6391628661796893,0.6921344510592259,1.0
20,2022-04-01,0.6289469781621361,0.2616285679433517,0.0
20,2022-07-01,0.25731845021926136,0.21698686640097864,1.0
20,2022-10-01,0.1407328620460546,-0.13160552426288166,0.0
20,2023-01-01,-0.10242120032383127,-0.21540498742394507,1.0
20,2023-04-01,-0.24712988821405868,-0.3940822057251976,0.0
20,2023-07-01,-0.167370218135644,-0.6463478487654833,1.0
20,2023-10-01,-0.45027741066619703,-0.4339222531207989,0.0
20,2024-01-01,-0.42608289780355535,-0.280255593282422,0.0
20,2024-04-01,-0.5128039009529791,-0.12390643618661557,1.0
20,2024-07-01,-0.5131133267831458,-0.3634301580898976,0.0
20,2024-10-01,-0.8603111258636843,-0.1641246639585789,1.0
20,2025-01-01,-0.14987969318784258,-0.23959594081044897,1.0
20,2025-04-01,-0.19930289710391713,-0.32922643564362586,0.0
20,2025-07-01,-0.09338158330869877,-0.19771899902682225,1.0
20,2025-10-01,0.020326535033122487,-0.315402376797848,1.0
20,2026-01-01,0.37041837740599093,-0.11101166150048283,1.0
20,2026-04-01,0.4053608952660047,-0.07773518591417114,0.0
20,2026-07-01,0.5876648942870841,0.2647440845872173,0.0
21,2020-04-01,,,0.0
21,2020-07-01,,,1.0
21,2020-10-01,,,0.0
21,2021-01-01,,,1.0
21,2021-04-01,0.8426464116088035,0.2927830635481092,0.0
21,2021-07-01,0.5070597475095703,0.3438256934297918,0.0
21,2021-10-01,0.6619002494823775,0.3891098965877868,1.0
21,2022-01-01,0.5571424246350998,0.3583229603653524,1.0
21,2022-04-01,0.5788005279079792,0.38505503603086944,0.0
21,2022-07-01,0.3750344707395151,0.6189060111691131,1.0
21,2022-10-01,0.25679990384190116,0.1772483187032855,0.0
21,2023-01-01,0.09790568228344156,0.41683973638614186,1.0
21,2023-04-01,-0.16286099157936143,0.01586024065058724,0.0
21,2023-07-01,-0.03649182813907453,-0.14187061755321687,1.0
21,2023-10-01,-0.3638630245410532,-0.05297750301977699,0.0
21,2024-01-01,-0.43191123303198214,-0.09563355510879581,0.0
21,2024-04-01,-0.6489502088739256,-0.15119357825936272,1.0
21,2024-07-01,-0.6094652339059159,-0.4787844399915704,0.0
21,2024-10-01,-1.1928347662154335,-0.37125370069392677,1.0
21,2025-01-01,-0.2065191267944152,-0.5762553942981228,1.0
21,2025-04-01,-0.13563613384256618,-0.4955271131192405,0.0
21,2025-07-01,-0.13661141312622654,-0.3829728350188208,1.0
21,2025-10-01,-0.06726917644581762,-0.9258521324403938,1.0
21,2026-01-01,0.34775409823757686,-0.2592815816313517,1.0
21,2026-04-01,0.38276389248667897,-0.2513940761860771,0.0
21,2026-07-01,0.40132480466210113,-0.08601671599122737,0.0
31,2020-04-01,,,0.0
31,2020-07-01,,,1.0
31,2020-10-01,,,0.0
31,2021-01-01,,,1.0
31,2021-04-01,0.6545148686924555,0.16482887983243494,0.0
31,2021-07-01,0.433423735800411,0.196875028202869,0.0
31,2021-10-01,0.5640809290708328,0.2847942398551313,1.0
31,2022-01-01,0.460814989537989,0.32267563071783256,1.0
31,2022-04-01,0.5062661563793727,0.2325670557744862,0.0
31,2022-07-01,0.2992223186434948,0.4004734413923047,1.0
31,2022-10-01,0.157090732074901,0.12294047813277746,0.0
31,2023-01-01,-0.03805180433518963,0.5159393904791086,1.0
31,2023-04-01,-0.10401291466674048,0.4823154433626276,0.0
31,2023-07-01,-0.05179842229758394,0.05267502898465799,1.0
31,2023-10-01,-0.32386137686030947,-0.0283436488917041,0.0
31,2024-01-01,-0.3735855004716605,-0.05980165588343596,0.0
31,2024-04-01,-0.5493814573339689,0.05867200219738389,1.0
31,2024-07-01,-0.5346436333690439,-0.36425391787642175,0.0
31,2024-10-01,-1.0456704934751992,-0.31219193602139805,1.0
31,2025-01-01,-0.3336154261787351,-0.31577848910431217,1.0
31,2025-04-01,-0.45785468179834793,-0.5477096372194107,0.0
31,2025-07-01,-0.38664237515852884,-0.5105036676068003,1.0
31,2025-10-01,-0.23842352787188023,-0.5792156559037428,1.0
31,2026-01-01,0.17691130729782936,-0.48029739134084737,1.0
31,2026-04-01,0.2020902968002992,-0.5255484533773059,0.0
31,2026-07-01,0.46462180723009333,-0.15411720133598314,0.0
61,2020-04-01,,,0.0
61,2020-07-01,,,1.0
61,2020-10-01,,,0.0
61,2021-01-01,,,1.0
61,2021-04-01,1.096186643671104,-0.1686351038690428,0.0
61,2021-07-01,0.6936266441575185,0.15597316699256306,0.0
61,2021-10-01,0.8169999228012736,0.38426114045075244,1.0
61,2022-01-01,0.9115508660777089,0.48782732861833955,1.0
61,2022-04-01,0.8633657579788944,0.4060720403691899,0.0
61,2022-07-01,0.593100458226473,0.5679298779256269,1.0
61,2022-10-01,0.49201544591753343,0.24247328689237335,0.0
61,2023-01-01,0.3227158824687002,0.31987179833371476,1.0
61,2023-04-01,0.19788139753880465,0.2750834456401307,0.0
61,2023-07-01,0.23072950228616063,0.042187046500690946,1.0
61,2023-10-01,-0.07008127574945246,-0.010735794788579224,0.0
61,2024-01-01,-0.4808476167035017,-0.25143823822680045,0.0
61,2024-04-01,-0.6042228038885917,-0.19843717939434818,1.0
61,2024-07-01,-0.48895354443000694,-0.5182359750281451,0.0
61,2024-10-01,-0.8440823720899807,-0.40545152715570965,1.0
61,2025-01-01,-0.13569074067795425,-0.46070725134537877,1.0
61,2025-04-01,-0.1665468387374123,-0.5287209639381696,0.0
61,2025-07-01,-0.08153125379064767,-0.4743483314770342,1.0
61,2025-10-01,-0.14023763612037154,-1.3283129363734836,1.0
61,2026-01-01,0.3579872216877986,-0.24711860878955044,1.0
61,2026-04-01,0.4099889167581038,-0.1922139126800684,0.0
61,2026-07-01,0.44510937551455354,-0.10448861181316527,0.0
73,2020-04-01,,,0.0
73,2020-07-01,,,1.0
73,2020-10-01,,,0.0
73,2021-01-01,,,1.0
73,2021-04-01,1.0181378425084782,0.2907371839724078,0.0
73,2021-07-01,0.7520483324892491,0.4616847306778401,0.0
73,2021-10-01,0.9199100529923395,0.6281188564122817,1.0
73,2022-01-01,0.6749150337674275,0.6661519223787259,1.0
73,2022-04-01,0.6301899405611696,0.424315650809139,0.0
73,2022-07-01,0.3168799287694754,0.5157002699012498,1.0
73,2022-10-01,0.22425246413037897,0.18715885144834365,0.0
73,2023-01-01,0.0742764540624112,0.4135708570029987,1.0
73,2023-04-01,-0.1305888803464767,0.1044829788638577,0.0
73,2023-07-01,-0.06529204186890743,-0.0988812972480095,1.0
73,2023-10-01,-0.3889054594040071,-0.28400504567624113,0.0
73,2024-01-01,-0.35592704175144546,-0.23895420096754635,0.0
73,2024-04-01,-0.47468929696193024,-0.26394946855113927,1.0
73,2024-07-01,-0.23372869701235033,-0.47810034019174275,0.0
73,2024-10-01,-0.7995052697426696,-0.5283379478694789,1.0
73,2025-01-01,-0.4389831434889405,-0.7636434555893746,1.0
73,2025-04-01,-0.4379694333729047,-0.7488380507740962,0.0
73,2025-07-01,-0.35109335760999744,-0.6132058140502922,1.0
73,2025-10-01,-0.2023514082378262,-0.5737507794259191,1.0
73,2026-01-01,0.2551955531670358,-0.49286389717369267,1.0
73,2026-04-01,0.4072209645818944,-0.2081875742455481,0.0
73,2026-07-01,0.3629379212952534,-0.13933104675602004,0.0
263,2020-04-01,,,0.0
263,2020-07-01,,,1.0
263,2020-10-01,,,0.0
263,2021-01-01,,,1.0
263,2021-04-01,1.5471958460576924,1.3528175769931583,0.0
263,2021-07-01,0.8896073379087107,1.1930151521250025,0.0
263,2021-10-01,1.0201677506594693,1.0766176786504287,1.0
263,2022-01-01,0.7632632188676773,0.8651081586536274,1.0
263,2022-04-01,0.7623691505771979,0.7840926769453231,0.0
263,2022-07-01,0.4712793271284551,0.9383091717475994,1.0
263,2022-10-01,0.36073932457916175,0.36774804520621635,0.0
263,2023-01-01,0.13034693828974356,0.2787091338955662,1.0
263,2023-04-01,-0.0625537525823593,0.14053531220185592,0.0
263,2023-07-01,-0.009964642063317285,-0.12432601303769247,1.0
263,2023-10-01,-0.35945280900053267,-0.16839253761252068,0.0
263,2024-01-01,-0.3855285592952385,-0.19922825139989453,0.0
263,2024-04-01,-0.5656550008329762,-0.2125236967755597,1.0
263,2024-07-01,-0.4999937609081451,-0.5052455481496714,0.0
263,2024-10-01,-0.9183763731556362,-0.4207684841839054,1.0
263,2025-01-01,-0.4110505081621205,-0.8166983850059867,1.0
263,2025-04-01,-0.5787332525894117,-1.1487819428018362,0.0
263,2025-07-01,-0.5022955404965944,-1.1733440482804813,1.0
263,2025-10-01,-0.40384421108761015,-1.378629709229765,1.0
263,2026-01-01,0.25719936048788933,-0.8247910222955349,1.0
263,2026-04-01,0.3072611374183962,-0.7322644411239954,0.0
263,2026-07-01,0.39132460368873434,-0.47749014633340475,0.0
308,2020-04-01,,,0.0
308,2020-07-01,,,1.0
308,2020-10-01,,,0.0
308,2021-01-01,,,1.0
308,2021-04-01,1.183472282414114,0.5593585180628176,0.0
308,2021-07-01,0.7472734705039981,0.7354984274817702,0.0
308,2021-10-01,0.9120275570027879,0.7440935027404111,1.0
308,2022-01-01,1.063560190962789,0.8885568260009633,1.0
308,2022-04-01,1.0243285051815052,0.7169251767469881,0.0
308,2022-07-01,0.6787493339666587,0.9681821876970937,1.0
308,2022-10-01,0.5680500951942166,0.4389291554622856,0.0
308,2023-01-01,0.42332991156975397,0.5904753104504763,1.0
308,2023-04-01,0.17429222319811302,0.24570652296294965,0.0
308,2023-07-01,0.31177344520373473,0.23002693519186856,1.0
308,2023-10-01,0.06521284437782873,0.2255424397638563,0.0
308,2024-01-01,-0.4156913596386933,-0.15857458479759431,0.0
308,2024-04-01,-0.6023024866718013,-0.11169157104079046,1.0
