fund_code,alpha_2nd,sharpe_1st,ir_1st,log_aum,mgr_total_tenure_v2,log_fund_age
11,-0.007064447991731785,0.15131953931460013,-3.8382027615459046e-14,3.735621714298645,1253.52,2.92043100140734
17,0.023482465771734923,0.13618937781712057,-2.66298864836866e-14,0.5571607387339229,2516.72,2.287233807113426
20,-3.8937815880072714e-05,0.20499073828162478,-4.188676854923582e-14,2.038753770175463,2650.72,2.289493624315807
21,-0.0015286340386244561,0.19997685684244246,-2.6383426974332367e-14,4.031485288189766,3539.0,2.7881492520538442
31,-0.04663109979301288,0.1895616602452733,-2.8722280792140436e-14,3.1877070526922724,980.24,2.7377257528763708
61,0.011873563265251541,0.39978048067662675,-1.4915318954698042e-14,2.413058255015388,355.16,2.5787375770640244
73,-0.003173544781938987,0.2355098238384144,-3.359198533181678e-14,1.02098285870545,1070.64,2.2732758408984157
263,-0.007760442624814825,0.40361949763047666,-2.815430145822645e-14,2.6658999401912253,2076.72,2.2201939241967428
308,-0.019923704675252927,0.4726513592882405,-1.663390179921455e-14,1.434503763389392,2871.72,2.2346376839106497
327,-0.0037145293793694753,0.3325893044178307,-2.5733538954063293e-14,1.599613501060019,796.04,2.0317904895926686
354,0.048321346321377245,0.035658038439535286,-1.5026008650895282e-14,-0.45845411879707476,1761.72,2.219890693143597
390,0.015963163334975473,0.06778496817376191,1.289550912532634e-16,2.8437720676688047,1188.12,1.4943936211885966
404,0.03869030276733741,0.2688444747193317,1.5813013279816176e-16,3.2790389646621914,780.82,1.5156827357642322
522,0.04753130893898718,0.16473650876268733,-2.0754023639665348e-14,0.7684145575083662,1404.08,2.176781251262901
601,0.00042946793378306584,0.3208986968714117,-2.597039907656584e-14,2.356721956962257,899.04,2.16272087546244
742,0.03883881555901346,0.1677495031637346,1.6710642406513634e-17,2.177352831550658,1786.1333333333334,1.4190277587529834
800,-0.007669080863576095,0.15486435027350065,-1.960112640315171e-14,1.8403212441242596,675.0,2.11215221797976
823,0.025544452859267264,0.0983768738520967,-1.9339444891829723e-13,1.3759950259194622,766.1521739130435,1.4535754779649686
845,-0.01964473010672187,0.12584531144310174,-1.1520720471322378e-13,-0.013604270834712927,478.89130434782606,1.4237208373241015
940,0.044262173240260466,0.34785216095033666,-1.867265855354103e-14,2.266112131842136,2990.72,2.0772352769452316
1000,-0.005898985199777233,0.22808012097736163,-2.1829681530353087e-14,2.9824700763025955,1724.72,2.075120020312255
