spec,var,beta,se,t,n,r2,r2_adj
M4_base_nav_subset,_const,0.02522544315623735,0.23595591449236783,0.10690744163165822,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,log_aum,-1.2689309259709961e-05,0.004387369317661939,-0.002892236404313505,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,log_fund_age,-0.004114976384265827,0.013922159061274567,-0.2955702751387113,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,mgr_total_tenure_v2,1.9727323527710725e-06,2.6471722271631347e-06,0.7452225180245142,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,AS_improved,-7.114257778326257e-06,0.07252497179222986,-9.809390617492748e-05,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ICI,0.016185128587267023,0.03092671426710717,0.5233381227465569,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,industry_hhi,0.00687553252456475,0.5214668088054144,0.0131849859060356,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,SDI,-9.194034422677078e-17,,,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,TO_wind,1.612637971757099e-09,1.1221825429889746e-08,0.1437054944253346,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ARG,-0.006519961202074172,0.023466983281311662,-0.27783550718538486,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,return_volatility,-0.04128530185385708,0.63881154099781,-0.06462829677336498,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,de,-0.004153192847879004,0.12159360894540225,-0.03415634163588206,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,lsv,0.026810154129671943,1.2687147099860698,0.0211317437392732,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,risk_asym,0.035298127034915576,0.49243913768075026,0.07168018204474937,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ff5_MKT_excess,0.012984110353185987,4.468609593604806,0.00290562647758892,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ff5_SMB,0.012540364998649021,2.6454883434823246,0.0047402835962383465,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ff5_HML,-0.007333277727579966,2.8817396806329634,-0.0025447398239556596,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ff5_RMW,0.030491916577002728,12.165870215873127,0.0025063489940258554,1502,0.05764065106532257,0.046202708866520004
M4_base_nav_subset,ff5_CMA,0.0470113370288795,14.15457274827319,0.0033212826600233997,1502,0.05764065106532257,0.046202708866520004
M4_idio_substitute,_const,0.037439498195200795,0.1391825455115978,0.26899564207266946,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,log_aum,-0.0002426566150091647,0.007381576555506774,-0.03287327756942912,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,log_fund_age,-0.004108038206081624,0.013311995203676617,-0.3085967312358279,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,mgr_total_tenure_v2,2.134709123938607e-06,5.820878410159662e-06,0.3667331583859787,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,AS_improved,-0.024563502992635097,0.13789066566065614,-0.17813753291383025,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,ICI,0.0115089563584003,0.00029802128528457026,38.6179005550251,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,industry_hhi,0.0019843101177958976,0.47506194895012654,0.004176950231819591,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,SDI,3.469446951953614e-18,1.8430284815663533e-14,0.00018824706110916962,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,TO_wind,1.6014639869566799e-09,1.3386353678171468e-08,0.11963407104416462,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,ARG,-0.01789015900316774,0.1270350326197797,-0.14082854653734464,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,de,-0.0021969290775377013,0.10303698223883424,-0.021321752926006087,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,lsv,0.02028533689013335,1.2334758916904045,0.016445669531759972,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,risk_asym,0.013271051721056144,0.1387638050396809,0.09563770406311037,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,ff5_MKT_excess,0.008095338850480879,4.3823520929515505,0.0018472588871855345,1502,0.07384054970081666,0.06259923472752915
