组别,代码,基金简称,近3年收益,季度数,sharpe8,sortino8,mppm8,risk_asym,timing,年化收益,年化波动
绩优,001438,易方达瑞享混合E,277.21,30,0.3798754717608812,4.203616415503164,0.15888268623645196,0.07173583944644218,0.5160261418747057,0.44751909139236085,0.44162339481315516
绩优,008988,大成科技创新混合A,277.26,24,0.1196638069595689,4.369309872591017,0.025187159248861918,-0.003973396685732727,0.5942928968135495,0.4204532612816399,0.5786636818427954
绩优,005844,东方人工智能主题混合A,277.42,30,0.10414442111816805,1.7668243527601888,-0.013039902691095808,0.036041009730547954,0.2277095021773045,0.3338107902534416,0.595823032700013
绩优,001437,易方达瑞享混合I,279.44,30,0.38315708686405087,5.004814958630229,0.16073470429952713,0.07210799312467814,0.5177200442236315,0.4497921961677131,0.44206585716664626
绩优,005825,申万菱信智能驱动股票A,285.98,30,0.33426832624114117,0.3718828057638241,0.11385749677939987,0.01743593480034123,0.3184895640013372,0.44766927296704984,0.5395053637924359
绩优,001753,红土创新新兴产业混合A,303.29,30,0.14712386982230158,2.3071757481832753,0.05413513770310027,0.07140581661292768,-0.3283946202454834,0.4010417514721171,0.5236480353919408
绩优,519770,交银优择回报灵活配置混合A,311.46,30,0.6175360759476003,2.588008167630379,0.11068149980064827,0.02919731414741749,0.505630651926497,0.33085745335172023,0.4628926476545077
绩优,001170,宏利复兴混合A,316.74,30,0.22419666076037648,0.02625023610350476,0.047066075516401636,0.06751616046283633,0.3863071047408741,0.3755601533595431,0.47642356608360426
绩优,005550,汇安成长优选混合A,317.81,30,0.16860007030335675,2.1994759393192953,0.05696746008286482,0.004338499241128843,0.6536958523371839,0.3402193167764252,0.443894736788705
绩优,001075,宝盈转型动力混合A,325.04,30,0.3385272745466992,0.5733556177156194,0.10620909451112456,-0.013784290026773503,0.08689521236077347,0.3832422124250143,0.44036759441646545
绩优,001198,东方惠新灵活配置混合A,337.89,30,-0.038945193292888695,-0.012461122885147858,-0.00024696876125855334,-0.004216149392811727,-0.13183109912927693,0.2866550570007556,0.5878780428181054
绩优,001194,景顺长城稳健回报混合A,340.87,30,0.5366867823284034,3.442245379566622,0.13587937278648957,0.03313338960461099,0.823318381065346,0.3284018274472371,0.4283346229793488
绩优,004320,前海开源沪港深乐享生活,348.04,30,0.28075752377939883,0.8266505843412807,0.045406143033765244,0.017653461372546104,-0.06664392318470236,0.38488963587130115,0.5014639123890446
绩优,720001,财通价值动量混合A,359.44,30,0.3023461457479402,1.9733692013564792,0.09503870347306007,0.046653228914935674,1.3736544612930122,0.459871098537492,0.5463573080398856
绩优,162201,宏利成长混合,360.12,30,0.20059087582866394,0.3791064402137047,0.05471600986740643,0.0632811774666104,0.5592233073817875,0.39590940446732975,0.5062732114535302
