fund_code,report_date,RG_clean
11,2020-04-01,-0.9230027492238816
11,2020-07-01,0.6985243980145627
11,2020-10-01,0.5955392717623761
11,2021-01-01,0.6842438216141681
11,2021-04-01,-0.25360645176209895
11,2021-07-01,0.09035473393078515
11,2021-10-01,-0.29120116485720526
11,2022-01-01,0.35941043800732536
11,2022-04-01,-0.6198622420328406
11,2022-07-01,0.5772450645029608
11,2022-10-01,-0.43392049397877475
11,2023-01-01,-0.5317959577546871
11,2023-04-01,-0.25219493778091523
11,2023-07-01,0.07526039332375958
11,2023-10-01,-0.16732226467799302
11,2024-01-01,-0.3292973119486241
11,2024-04-01,-0.21733756493252773
11,2024-07-01,-0.24222303488776387
11,2024-10-01,0.2500551827514934
11,2025-01-01,0.05280750254841654
11,2025-04-01,-0.16440918109466168
11,2025-07-01,-0.9358227304218839
11,2025-10-01,0.6678221131460379
11,2026-01-01,-0.06497751364010337
11,2026-04-01,-1.2486615989856782
11,2026-07-01,1.0555027308151859
17,2020-04-01,-0.41222821967817946
17,2020-07-01,1.1012472401524465
17,2020-10-01,0.3159397098175233
17,2021-01-01,0.4636991498705236
17,2021-04-01,-0.19138213837537701
17,2021-07-01,0.31584556524648266
17,2021-10-01,-0.546529353125623
17,2022-01-01,0.13351597873052848
17,2022-04-01,-0.3435283024358087
17,2022-07-01,0.382122143693739
17,2022-10-01,-0.4945963968637592
17,2023-01-01,-0.7526869890606666
17,2023-04-01,-0.4707855166396246
17,2023-07-01,-0.0205584337000572
17,2023-10-01,-0.1778896861517897
17,2024-01-01,0.014585013212156238
17,2024-04-01,-0.13107625719996738
17,2024-07-01,-0.09291616164714289
17,2024-10-01,-0.1843599418679966
17,2025-01-01,0.15361450009353944
17,2025-04-01,-0.39223478148050506
17,2025-07-01,-0.8438803555431071
17,2025-10-01,0.7062390499268237
17,2026-01-01,0.1648600275563325
17,2026-04-01,-1.5948992515744085
17,2026-07-01,1.9232570039773222
20,2020-04-01,-0.23446274961665223
20,2020-07-01,0.61848471074813
20,2020-10-01,0.1746386004937114
20,2021-01-01,0.4183050674491387
20,2021-04-01,-0.4289247262405464
20,2021-07-01,0.3448426118145545
20,2021-10-01,-0.31660083581341597
20,2022-01-01,0.29978927159416535
20,2022-04-01,-0.5270332164328659
20,2022-07-01,0.3339832830236711
20,2022-10-01,-0.27057951331740737
20,2023-01-01,-0.34720613261760996
20,2023-04-01,-0.30931227169112047
20,2023-07-01,0.007125114343868474
20,2023-10-01,-0.08271320907353157
20,2024-01-01,-0.12428084835500718
20,2024-04-01,-0.4154057757704649
20,2024-07-01,-0.14580635251247
20,2024-10-01,0.2617171852051567
20,2025-01-01,-0.014789878662661913
20,2025-04-01,-0.03510380760474385
20,2025-07-01,-0.8304717738385987
20,2025-10-01,0.5113815778628996
20,2026-01-01,-0.06924149779016152
20,2026-04-01,-1.176090796754961
20,2026-07-01,1.1067913479010716
