spec,var,beta,se2w,t2w,p2w,stars,N,nfund,r2,r2_adj,n_neg_diag,dropped_cols
M4_base,log_aum,0.0002142390440185983,0.0007645617726064289,0.2802115560764264,0.7793595101976605,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,log_fund_age,-0.0027236462518190514,0.0021139099567256277,-1.2884400507001177,0.19782068132839245,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,mgr_total_tenure_v2,9.831912871811228e-07,1.5407153396650022e-06,0.6381394809731031,0.5234945910672881,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,AS_improved,-0.004756357578085953,0.012432161286674527,-0.3825849318078007,0.7020897020928344,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ICI,0.01760937633744277,0.006203400775398165,2.8386649476653414,0.00460029845688633,***,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,industry_hhi,0.05807957469633531,0.04219795938980653,1.3763597940796444,0.16894583872359628,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ARG,0.015707514276992456,0.00691936818047364,2.270079271300932,0.02336489570257568,**,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,return_volatility,-0.037263802949829374,0.026454627183495186,-1.4085930106426878,0.15919320225410827,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,de,-0.005261527548012707,0.004043182585222718,-1.301333154540899,0.19337361116198504,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,lsv,0.01922251223296089,0.025058636265505765,0.7671012911194,0.44315973078764287,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,risk_asym,0.09968003060953512,0.030910203799456717,3.224826056025134,0.0012916482802862836,***,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ff5_MKT_excess,0.0014512999696480525,0.012646464615348987,0.11475934293024573,0.9086534890281153,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ff5_SMB,0.016532108528622913,0.011281739966436038,1.465386418921823,0.14305584959976017,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ff5_HML,0.022311094017661768,0.013464576389923677,1.6570216077765694,0.09775492514505453,*,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ff5_RMW,0.005970802277557363,0.027273913941521146,0.21891989137897655,0.8267466049355252,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,ff5_CMA,0.019133022763996352,0.042357928933383526,0.451698731401314,0.6515609190058952,,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_base,TO_wind,9.459780788693044e-06,5.500892684028096e-06,1.7196810285282649,0.0857269998038893,*,1336,159,0.12324059244034136,0.10514234778888043,0,[]
M4_idio,log_aum,0.0001123003004938944,0.0007896235749656992,0.14222004516363718,0.8869281015651702,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,log_fund_age,-0.0029050672912068103,0.002137375582149691,-1.3591749224930343,0.1743254578631035,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,mgr_total_tenure_v2,1.1273635879324771e-06,1.4632658992776425e-06,0.7704434228181035,0.44117603519793075,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,AS_improved,-0.02023649738535666,0.012765308063431088,-1.5852729354278856,0.11314605241112838,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ICI,0.015846080295789076,0.006375086821272051,2.4856258024462847,0.013056524858382464,**,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,industry_hhi,0.03945461896234877,0.04157103226511693,0.9490892290268171,0.34275055113439123,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ARG,0.009438690841079296,0.0068598538315111325,1.3759317724412914,0.16907829652036072,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,de,-0.0040745474762565285,0.00392795517271372,-1.037320258785319,0.29977835152283444,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,lsv,0.020287983329731273,0.024174026150280397,0.8392471822281019,0.4014839713615388,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,risk_asym,0.08321618181771775,0.03192861188789973,2.606320065209441,0.009256073630774886,***,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ff5_MKT_excess,-0.0022734595715381764,0.011824260776985228,-0.19227075708303423,0.8475599691207416,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ff5_SMB,0.015578365940017989,0.011681610832579584,1.333580288137189,0.18257362617459955,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ff5_HML,0.023841870790248628,0.010161241101406726,2.346354205388154,0.019106677778198605,**,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ff5_RMW,0.008969259054285444,0.025809525214253233,0.3475173983182069,0.7282585606989068,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,ff5_CMA,0.008637935784211022,0.03311990324966585,0.2608080017352759,0.7942816277699719,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,TO_wind,7.636368737531133e-06,5.62172153017329e-06,1.358368374624159,0.1745810533909911,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_idio,idio_vol_annual,0.03310163989495098,0.03066249813537095,1.0795480442856134,0.2805425106785559,,1336,159,0.12415652807260458,0.1060771903493326,0,[]
M4_tm,log_aum,0.00022640824245861578,0.0007709137698467488,0.29368815464746967,0.7690428346989155,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,log_fund_age,-0.0027523108891925195,0.00212671432007877,-1.2941610742953846,0.19583840981686693,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,mgr_total_tenure_v2,9.723992003883007e-07,1.5285989109604082e-06,0.6361375723978169,0.5247981358784334,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,AS_improved,-0.004901374943398207,0.012287990234806775,-0.398875230997063,0.6900502985900255,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ICI,0.016689344597977575,0.006140969059954678,2.717705371096715,0.006660494724726448,***,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,industry_hhi,0.058163860929406445,0.04238288522357232,1.3723431196953324,0.17019210936521104,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ARG,0.015939102236118254,0.0069809139416661175,2.283240041247967,0.0225761512589333,**,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,return_volatility,-0.03952285889259224,0.02575979738175572,-1.5342845406301275,0.125201684709407,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,de,-0.005459882076237588,0.004202907356885385,-1.2990726686594634,0.19414810911622343,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,lsv,0.019567051726083345,0.025441993120283522,0.7690848603556769,0.4419818902770231,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,risk_asym,0.10017822453614453,0.031042080536860688,3.227174944578494,0.0012811990904863595,***,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ff5_MKT_excess,0.0009167396790363009,0.012742818905843365,0.0719416705055676,0.9426593344841934,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ff5_SMB,0.017538093379371518,0.011693340733325164,1.4998359989108363,0.13389839431917472,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ff5_HML,0.022372903852231625,0.013412751569300123,1.6680323747619403,0.09554883519267235,*,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ff5_RMW,0.008503728582727875,0.02653145886639485,0.3205149262824302,0.7486292524738324,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,ff5_CMA,0.020208899119397675,0.04237119470810406,0.4769490041198307,0.6334781696149959,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,TO_wind,9.705986116219287e-06,5.47946893217099e-06,1.771337010277332,0.07673767103765941,*,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_tm,TM_beta2,0.0001961858256553126,0.0003216467992748753,0.6099417935996766,0.5420063922265176,,1336,159,0.12414047818789486,0.10537684650408541,0,[]
M4_full,log_aum,0.00010158341833825409,0.00068039464237801,0.14930073226799,0.881337478570193,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,log_fund_age,-0.00320671343585115,0.0021728478745907586,-1.4758112950981959,0.1402156339778539,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,mgr_total_tenure_v2,2.042962635807946e-06,1.5787128232866949e-06,1.2940685637522964,0.1958515702492585,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,AS_improved,-0.014154939936457478,0.012502026652850528,-1.1322116269229099,0.25773608580893803,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ICI,0.013913971251726855,0.006649692969892815,2.0924231110705147,0.036577350533859986,**,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,industry_hhi,0.014610389225274313,0.043456753192470395,0.3362052650497094,0.7367656160287608,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ARG,0.008804390328676102,0.006885549367446814,1.2786765236628899,0.20121934032555203,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,de,-0.004652010723300197,0.0037967347973342676,-1.225266175179375,0.22067756831420782,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,lsv,0.019122429566695194,0.02344729424615584,0.8155495199549644,0.41489421773562424,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,risk_asym,0.08842148704373358,0.026909516940900262,3.285881617196188,0.0010413755967722288,***,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ff5_MKT_excess,-0.005813323661348122,0.012767340856166402,-0.4553276776142769,0.6489429320347214,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ff5_SMB,0.01085851437850086,0.011534181580875609,0.9414204469006239,0.34664911314640534,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ff5_HML,0.019419760880850206,0.009581029889091607,2.0268970147938266,0.04285895542951536,**,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ff5_RMW,0.0007284368729192638,0.024247555195630006,0.030041662635354915,0.9760380358795644,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,ff5_CMA,-0.0010292409487216011,0.028864383793661554,-0.0356578181636989,0.9715602029846768,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,idio_vol_annual,0.015907150391623912,0.03157206743415185,0.5038361971321832,0.6144544244194156,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,TM_beta2,0.0002493349568716132,0.00029640837760808,0.8411872798051993,0.4003842559439813,,1454,162,0.1272601326152355,0.10948663812495596,0,[]
M4_full,factor_drift,0.031029268162126724,0.016510303936274104,1.8793880646832677,0.06039558954463293,*,1454,162,0.1272601326152355,0.10948663812495596,0,[]
