fund_code,report_date,rc_mom,n_stk
11,2019-01-01,-0.0017543859649122807,19
11,2019-07-01,0.36194240542066636,22
11,2020-01-01,-0.19960474308300394,23
11,2020-07-01,0.40196078431372556,17
11,2020-10-01,-0.29436066361619023,13
11,2021-01-01,0.14225398606712583,21
11,2021-04-01,-0.06043956043956044,13
11,2021-07-01,0.6771929824561403,19
11,2021-10-01,-0.20329670329670327,13
11,2022-01-01,-0.22077922077922077,21
11,2022-04-01,0.3010989010989011,14
11,2022-07-01,-0.10866910866910866,27
11,2022-10-01,-0.22941176470588234,16
11,2023-01-01,-0.1142075585164983,26
11,2023-04-01,0.5934065934065934,13
11,2023-07-01,0.5670745272525028,30
11,2023-10-01,0.09680973954972272,14
11,2024-01-01,-0.09435483870967742,31
11,2024-04-01,0.4090909090909091,11
11,2024-07-01,0.13189493433395877,40
11,2024-10-01,0.18881118881118883,12
11,2025-01-01,-0.022167113748718915,39
11,2025-04-01,-0.09090909090909088,10
11,2025-07-01,0.09789699817053618,42
11,2025-10-01,0.28181818181818186,11
11,2026-01-01,0.3823998515749964,40
17,2019-01-01,0.2967032967032967,13
17,2019-07-01,0.009743423703227795,21
17,2020-01-01,0.16114476106026412,20
17,2020-07-01,0.39824561403508774,19
17,2021-01-01,0.3211462450592885,23
17,2021-04-01,0.6727272727272726,10
17,2021-07-01,0.4878632478632478,26
17,2022-01-01,-0.04437564499484004,18
17,2022-04-01,0.06666666666666665,10
17,2022-07-01,0.3094017094017094,26
17,2023-01-01,0.17892156862745098,17
17,2023-07-01,0.08260197280440995,18
17,2024-01-01,0.16506054370964937,23
17,2024-07-01,0.16538461538461538,25
17,2025-01-01,-0.3155374695211463,26
17,2025-07-01,-0.07801542632031815,26
17,2026-01-01,-0.11180351906158356,32
17,2026-07-01,-0.309090909090909,10
20,2019-01-01,0.2796365500928297,10
20,2019-07-01,0.6969696969696969,10
20,2020-01-01,-0.2140120415982485,28
20,2020-07-01,0.4500282326369283,22
20,2021-01-01,0.3162393162393162,27
20,2021-04-01,-0.18787878787878787,10
20,2021-07-01,0.2871921182266009,29
20,2022-01-01,0.07352941176470588,16
20,2022-04-01,-0.29696969696969694,10
20,2022-07-01,-0.13652173913043478,24
20,2023-01-01,-0.032616754146218147,23
20,2023-07-01,0.48441558441558447,21
20,2023-10-01,-0.35757575757575755,10
20,2024-01-01,0.035897435897435895,26
20,2024-04-01,0.5151515151515151,10
20,2024-07-01,0.00434204076980481,35
20,2024-10-01,-0.22424242424242422,10
20,2025-01-01,0.32512820512820506,26
20,2025-07-01,0.3457172342621259,18
20,2026-01-01,0.2045112781954887,20
21,2019-01-01,-0.16462877490047353,44
21,2019-07-01,0.3552260427982899,54
21,2020-01-01,-0.16654907576911895,53
21,2020-04-01,0.4424242424242424,10
21,2020-07-01,0.4176610561579911,70
21,2020-10-01,0.06666666666666665,10
21,2021-01-01,0.2161827796499425,67
21,2021-07-01,0.13859345952435784,64
21,2021-10-01,-0.16363636363636364,10
21,2022-01-01,0.19728120685134112,82
21,2022-04-01,-0.09090909090909088,10
21,2022-07-01,0.16542456177313358,94
21,2022-10-01,0.0303030303030303,10
21,2023-01-01,-0.03837070130622937,101
21,2023-04-01,-0.19090909090909092,11
21,2023-07-01,0.13080644216030307,118
21,2023-10-01,0.09090909090909091,11
21,2024-01-01,0.24353905800118877,115
21,2024-04-01,0.5757575757575757,10
21,2024-07-01,0.3317093901522016,127
21,2024-10-01,-0.4727272727272727,11
21,2025-01-01,-0.12163245807230837,117
21,2025-04-01,0.20000000000000004,11
21,2025-07-01,0.13221200534838481,97
21,2025-10-01,0.16413449679361744,10
21,2026-01-01,0.41168483385371163,93
21,2026-04-01,-0.006060606060606061,10
21,2026-07-01,0.5835893219328621,10
31,2019-01-01,0.6181818181818182,11
31,2019-07-01,0.048120300751879695,20
31,2020-01-01,-0.2029411764705882,16
31,2020-04-01,-0.406060606060606,10
31,2020-07-01,0.07843137254901962,17
31,2020-10-01,0.2727272727272727,10
31,2021-01-01,-0.16106719367588934,23
31,2021-04-01,0.406060606060606,10
31,2021-07-01,0.4070175438596491,19
31,2021-10-01,-0.406060606060606,10
31,2022-01-01,-0.02450980392156863,17
31,2022-04-01,0.2870166899742693,11
31,2022-07-01,0.4754901960784314,17
31,2023-01-01,0.38070175438596493,19
31,2023-04-01,-0.1043956043956044,13
31,2023-07-01,0.3337662337662338,21
31,2023-10-01,0.36363636363636365,11
31,2024-01-01,0.352062376476631,21
31,2024-04-01,0.34545454545454546,10
31,2024-07-01,0.5859649122807017,19
31,2024-10-01,-0.11515151515151514,10
31,2025-04-01,-0.10489510489510491,12
31,2025-07-01,0.1692213684099166,17
31,2025-10-01,0.5757575757575757,10
