fund_code,year,HM_alpha,HM_beta2,mkt_up_mean,timing_contrib_HM,n_days,HM_alpha_w,timing_contrib_HM_w
10115,2022,-0.533464183422266,0.6519850130442879,0.0038264988912506607,0.6286946222405558,424,-0.533464183422266,0.6286946222405558
10115,2023,-0.5318203595163883,0.6175003989630394,0.0034741675226721575,0.5406155574912519,484,-0.5318203595163883,0.5406155574912519
10115,2024,-0.40255043109670324,0.2807212625370916,0.0038589629550443666,0.272989824111628,484,-0.40255043109670324,0.272989824111628
10115,2025,0.14377559144897306,0.08741192774260131,0.004182085462026699,0.09212216635945544,485,0.14377559144897306,0.09212216635945544
10115,2026,0.11754765668877071,0.5168977846116112,0.0035820218118021016,0.4665878630156459,299,0.11754765668877071,0.4665878630156459
10237,2021,-0.40655717572534233,0.456184286544823,0.003703858653696562,0.4257898135846576,238,-0.40655717572534233,0.4257898135846576
10237,2022,-0.8463562874180202,0.6841513348604877,0.0038637214179655273,0.6661292817388033,470,-0.7683123946159157,0.6661292817388033
10237,2023,-0.5170457356236513,0.29237643034604477,0.0034741675226721575,0.25597270407316786,484,-0.5170457356236513,0.25597270407316786
10237,2024,-0.4656270645183562,0.3916753474965955,0.0038589629550443666,0.3808880854111598,484,-0.4656270645183562,0.3808880854111598
10237,2025,-0.41963628391489854,0.646955068231327,0.004182085462026699,0.6818165891295503,485,-0.41963628391489854,0.6818165891295503
10237,2026,-0.5516316297828704,1.0825375328478304,0.0035820218118021016,0.9771736097983513,299,-0.5516316297828704,0.9771736097983513
10238,2021,-0.41373233698920375,0.45873998415692596,0.003703858653696562,0.428175231149296,238,-0.41373233698920375,0.428175231149296
10238,2022,-0.8524609553317414,0.6850279426852895,0.0038637214179655273,0.6669827977826197,470,-0.7683123946159157,0.6669827977826197
10238,2023,-0.521399106855468,0.2920470469712956,0.0034741675226721575,0.2556843321513563,484,-0.521399106855468,0.2556843321513563
10238,2024,-0.46891280011979714,0.39053115804712246,0.0038589629550443666,0.3797754084669944,484,-0.46891280011979714,0.3797754084669944
10238,2025,-0.4243104503700478,0.6475167788622669,0.004182085462026699,0.6824085678391574,485,-0.4243104503700478,0.6824085678391574
10238,2026,-0.5587223655672138,1.0857689196511484,0.0035820218118021016,0.9800904840973387,299,-0.5587223655672138,0.9800904840973387
10335,2021,0.0019051128918023158,-0.02540425233191046,0.003556406389649541,-0.022767657020003853,218,0.0019051128918023158,-0.022767657020003853
10335,2022,-0.32651134589884295,0.18687272323142456,0.003793377930373077,0.17863747375189015,455,-0.32651134589884295,0.17863747375189015
10335,2023,-0.294824658636583,0.012745136230486676,0.0034741675226721575,0.011158242067725243,484,-0.294824658636583,0.011158242067725243
10335,2024,-0.45989940369566995,0.289249030451743,0.0038589629550443666,0.2812827259105356,484,-0.45989940369566995,0.2812827259105356
10335,2025,-0.3301632008935199,0.4061578355608051,0.004182085462026699,0.4280438684055426,485,-0.3301632008935199,0.4280438684055426
10335,2026,-0.01132103171276066,0.2546014251396074,0.0035820218118021016,0.22982094025782535,299,-0.01132103171276066,0.22982094025782535
1037,2016,-0.11592054929077959,0.04555520019164172,0.006144696885471164,0.07054056997711826,396,-0.11592054929077959,0.07054056997711826
1037,2017,-0.1519711439937104,0.11209823742236602,0.0034349590186424197,0.09703331860518459,488,-0.1519711439937104,0.09703331860518459
1037,2018,-0.039639913510576455,-0.13068220811879594,0.0033700593979318163,-0.1109825145105339,487,-0.039639913510576455,-0.1109825145105339
1037,2019,0.028049108276065566,-0.025862091367981233,0.004524529356918848,-0.029487475489688653,487,0.028049108276065566,-0.029487475489688653
1037,2020,0.3717079495681656,-0.08851788647683834,0.005013834649357669,-0.11184113966898114,487,0.3717079495681656,-0.11184113966898114
1037,2021,0.3576923939225096,-0.1739103753044069,0.004534213161480442,-0.19871377158105774,486,0.3576923939225096,-0.19871377158105774
1037,2022,-0.16015698081644814,0.026675947374036002,0.003926510738315206,0.026395335242358688,485,-0.16015698081644814,0.026395335242358688
1037,2023,-0.05774898060960383,-0.14618025620933162,0.0034741675226721575,-0.12797938404174541,484,-0.05774898060960383,-0.12797938404174541
1037,2024,-0.28139145090367174,0.31651277550148804,0.0038589629550443666,0.30779559101554615,484,-0.28139145090367174,0.30779559101554615
1037,2025,-0.3450398597490486,0.5160725798895867,0.004182085462026699,0.5438814276941268,485,-0.3450398597490486,0.5438814276941268
1037,2026,-0.5608222730691395,0.8601232390216922,0.0035820218118021016,0.7764070111594207,299,-0.5608222730691395,0.7764070111594207
10389,2021,0.2270584235301231,-0.20147856272362308,0.003821387812650758,-0.19402178647381604,272,0.2270584235301231,-0.19402178647381604
10389,2022,0.13902958155374487,-0.13388535204465823,0.003926510738315206,-0.1324769726716285,485,0.13902958155374487,-0.1324769726716285
10389,2023,-0.011008649717067758,-0.062443561373075274,0.0034741675226721575,-0.05466872701642558,484,-0.011008649717067758,-0.05466872701642558
10389,2024,-0.09292326118630292,-0.052952897065428384,0.0038589629550443666,-0.05149450357071695,484,-0.09292326118630292,-0.05149450357071695
10389,2025,0.13439157694128767,-0.14505873208350295,0.004182085462026699,-0.15287529967578378,485,0.13439157694128767,-0.15287529967578378
10389,2026,-0.17041326638182222,0.3208895428734284,0.0035820218118021016,0.2896572021214602,299,-0.17041326638182222,0.2896572021214602
10390,2021,0.2211104149184395,-0.20359319446819246,0.003821387812650758,-0.19605815512400537,272,0.2211104149184395,-0.19605815512400537
10390,2022,0.1320012871550862,-0.13517507091619574,0.003926510738315206,-0.13375312461125047,485,0.1320012871550862,-0.13375312461125047
10390,2023,-0.018281708371378966,-0.06363764960721718,0.0034741675226721575,-0.0557141395821153,484,-0.018281708371378966,-0.0557141395821153
10390,2024,-0.09929464578079425,-0.054734221346006806,0.0038589629550443666,-0.053226767801954594,484,-0.09929464578079425,-0.053226767801954594
10390,2025,0.12889299296916581,-0.14698822201904405,0.004182085462026699,-0.15490876121153924,485,0.12889299296916581,-0.15490876121153924
10390,2026,-0.1763399585744064,0.319228510593202,0.0035820218118021016,0.2881578389492748,299,-0.1763399585744064,0.2881578389492748
10415,2022,-0.2946954300559376,0.07451473706672673,0.003839978090914195,0.07210600936218856,383,-0.2946954300559376,0.07210600936218856
10415,2023,-0.08143489705369757,-0.19316840801174928,0.0034741675226721575,-0.1691170511992173,484,-0.08143489705369757,-0.1691170511992173
10415,2024,-0.25346416145042355,0.05167451619860275,0.0038589629550443666,0.050251331020022515,484,-0.25346416145042355,0.050251331020022515
10415,2025,0.1891205555431491,0.048521390198728476,0.004182085462026699,0.051135991337951645,485,0.1891205555431491,0.051135991337951645
10415,2026,0.08621378434815515,0.6505713461749683,0.0035820218118021016,0.5872509095373124,299,0.08621378434815515,0.5872509095373124
10416,2022,-0.29839972184839475,0.0730808256616533,0.003839978090914195,0.07071844989048048,383,-0.29839972184839475,0.07071844989048048
10416,2023,-0.08495381801811809,-0.19429377794292568,0.0034741675226721575,-0.17010230156302028,484,-0.08495381801811809,-0.17010230156302028
10416,2024,-0.25724563131122397,0.051278353118136,0.0038589629550443666,0.04986607879979979,484,-0.25724563131122397,0.04986607879979979
10416,2025,0.18577683849472143,0.04753761247176547,0.004182085462026699,0.05009920222044263,485,0.18577683849472143,0.05009920222044263
10416,2026,0.08273793780082826,0.6505544884902079,0.0035820218118021016,0.5872356926194964,299,0.08273793780082826,0.5872356926194964
1060,2016,-0.12264124898744713,0.08861219820822483,0.006502203318817463,0.14519598137786202,414,-0.12264124898744713,0.14519598137786202
1060,2017,-0.19763167996953995,0.3831121603254485,0.0034349590186424197,0.33162559170589295,488,-0.19763167996953995,0.33162559170589295
1060,2018,-0.07151713866272187,0.15570699006643873,0.0033700593979318163,0.13223493490966362,487,-0.07151713866272187,0.13223493490966362
1060,2019,-0.22909070311780444,0.30654068269789514,0.004524529356918848,0.3495119841250562,487,-0.22909070311780444,0.3495119841250562
1060,2020,0.16040328019535832,-0.020066110086397693,0.005013834649357669,-0.025353255823309554,487,0.16040328019535832,-0.025353255823309554
1060,2021,0.27492982596477655,-0.1924534557700625,0.004534213161480442,-0.21990149801550293,486,0.27492982596477655,-0.21990149801550293
1060,2022,-0.0661435260547277,0.02230443077519806,0.003926510738315206,0.02206980391160748,485,-0.0661435260547277,0.02206980391160748
1060,2023,-0.06803190960696283,-0.13504830933217615,0.0034741675226721575,-0.11823347346895466,484,-0.06803190960696283,-0.11823347346895466
1060,2024,-0.6988887939105038,0.5570149366308093,0.0038589629550443666,0.541674001477899,484,-0.6988887939105038,0.541674001477899
1060,2025,-0.6610204612626397,0.698510008931281,0.004182085462026699,0.7361495954647759,485,-0.6610204612626397,0.7361495954647759
1060,2026,-0.37612906243448707,0.6263650320334304,0.0035820218118021016,0.5654006081372551,299,-0.37612906243448707,0.5654006081372551
1075,2016,-0.12024174218905352,0.12490461009797915,0.0060672576625202795,0.19097277008067012,380,-0.12024174218905352,0.19097277008067012
1075,2017,-0.05783241782532344,-0.042759426385960975,0.0034349590186424197,-0.03701297307870119,488,-0.05783241782532344,-0.03701297307870119
1075,2018,-0.2593336202094352,0.17380233794901734,0.0033700593979318163,0.14760249900167707,487,-0.2593336202094352,0.14760249900167707
1075,2019,-0.21565939604114065,0.18302703904633177,0.004524529356918848,0.2086840252413152,487,-0.21565939604114065,0.2086840252413152
1075,2020,-0.08095868040249499,0.16040199316033066,0.005013834649357669,0.20266572592559104,487,-0.08095868040249499,0.20266572592559104
1075,2021,-0.09846229564957061,0.15397204076367954,0.004534213161480442,0.1759317975401311,486,-0.09846229564957061,0.1759317975401311
1075,2022,0.014172181273595826,-0.05223898623518752,0.003926510738315206,-0.05168946898361334,485,0.014172181273595826,-0.05168946898361334
1075,2023,0.34533092995849307,-0.3798669225838176,0.0034741675226721575,-0.3325697739952857,484,0.34533092995849307,-0.3325697739952857
1075,2024,-0.033552646239134815,0.1350535983348149,0.0038589629550443666,0.13133404189571204,484,-0.033552646239134815,0.13133404189571204
1075,2025,0.09369706144566599,0.1966661056266863,0.004182085462026699,0.20726356422612255,485,0.09369706144566599,0.20726356422612255
1075,2026,0.05371112786867892,0.5058694329179307,0.0035820218118021016,0.45663290634426895,299,0.05371112786867892,0.45663290634426895
10912,2022,-0.3313113090002312,0.18480782962645836,0.003871346820535473,0.18029471131588162,389,-0.3313113090002312,0.18029471131588162
10912,2023,0.0017520291639919472,-0.110513772298511,0.0034741675226721575,-0.09675372634892317,484,0.0017520291639919472,-0.09675372634892317
10912,2024,-0.504849384588416,0.4988000268110193,0.0038589629550443666,0.4850624080105928,484,-0.504849384588416,0.4850624080105928
10912,2025,-0.6180926505601616,0.6506980787359473,0.004182085462026699,0.685761293763078,485,-0.6180926505601616,0.685761293763078
10912,2026,-0.4669928169692694,0.49425873233323925,0.0035820218118021016,0.4461522810926125,299,-0.4669928169692694,0.4461522810926125
10913,2022,-0.33510252096033777,0.18361761857714787,0.003871346820535473,0.17913356593598,389,-0.33510252096033777,0.17913356593598
10913,2023,-0.0015073216066069021,-0.11322065283153337,0.0034741675226721575,-0.09912357377068928,484,-0.0015073216066069021,-0.09912357377068928
10913,2024,-0.5096063941904699,0.4980641347117769,0.0038589629550443666,0.4843467833624215,484,-0.5096063941904699,0.4843467833624215
10913,2025,-0.6223623359306802,0.6497209398618662,0.004182085462026699,0.6847315012365998,485,-0.6223623359306802,0.6847315012365998
10913,2026,-0.47085385982885264,0.4919025585275669,0.0035820218118021016,0.4440254348696051,299,-0.47085385982885264,0.4440254348696051
11120,2021,-0.20170874583604118,0.05390469776500506,0.0038690642632857606,0.05255730641594182,247,-0.20170874583604118,0.05255730641594182
11120,2022,-0.3100869828186858,0.013018211472564323,0.003926510738315206,0.012881269079451871,485,-0.3100869828186858,0.012881269079451871
11120,2023,-0.08243055799230718,-0.1673056508980768,0.0034741675226721575,-0.14647446039482534,484,-0.08243055799230718,-0.14647446039482534
11120,2024,-0.09891134786881349,-0.03759861894411132,0.0038589629550443666,-0.03656310277187104,484,-0.09891134786881349,-0.03656310277187104
11120,2025,0.2042265939043419,-0.02223460645978892,0.004182085462026699,-0.02343273015620078,485,0.2042265939043419,-0.02343273015620078
11120,2026,0.09457696791684413,0.5551253223320729,0.0035820218118021016,0.5010946952450437,299,0.09457696791684413,0.5010946952450437
112002,2007,-0.05697390900928242,0.054326736728078195,0.01054119805789049,0.14431256070576554,327,-0.05697390900928242,0.14431256070576554
112002,2008,0.11065106023952434,-0.019372084917490207,0.01073904153813499,-0.05242548140151983,488,0.11065106023952434,-0.05242548140151983
112002,2009,0.1422124932272215,-0.0554817327253142,0.009354246337549126,-0.13078542837695578,490,0.1422124932272215,-0.13078542837695578
112002,2010,0.11051954112300291,-0.08788370440041571,0.007040325696587882,-0.15591993540519822,486,0.11051954112300291,-0.15591993540519822
112002,2011,-0.036506190210162326,0.028719039824433024,0.0045770007646621855,0.033124660943672016,486,-0.036506190210162326,0.033124660943672016
112002,2012,-0.0541622895262755,0.01072617683488264,0.004132158549658111,0.011169210354978079,487,-0.0541622895262755,0.011169210354978079
112002,2013,0.062106434101535324,0.01239369601590512,0.004302724729190166,0.013438318908092549,481,0.062106434101535324,0.013438318908092549
112002,2014,-0.029550845422499174,-0.005694755648577132,0.004578859620164753,-0.006571022644865692,483,-0.029550845422499174,-0.006571022644865692
112002,2015,-0.2932435104917525,0.10211823593438818,0.007029532997072022,0.18089656429409903,489,-0.2932435104917525,0.18089656429409903
112002,2016,-0.30774299397952226,0.09704694718837448,0.00682358636061738,0.16687647274388512,488,-0.30774299397952226,0.16687647274388512
112002,2017,-0.11040011496448365,-0.01978317961720233,0.0034349590186424197,-0.017124511633370074,488,-0.11040011496448365,-0.017124511633370074
112002,2018,-0.13338739066298375,0.1085033025264418,0.0033700593979318163,0.0921469687452403,487,-0.13338739066298375,0.0921469687452403
112002,2019,-0.22443398064309134,0.17709047462388283,0.004524529356918848,0.20191526491914544,487,-0.22443398064309134,0.20191526491914544
112002,2020,0.08068536569084084,-0.013699325556556508,0.005013834649357669,-0.0173089105933701,487,0.08068536569084084,-0.0173089105933701
112002,2021,0.1537020386314918,-0.04810510323412487,0.004534213161480442,-0.054965935639073184,486,0.1537020386314918,-0.054965935639073184
112002,2022,-0.10000880463896682,0.13679669226346802,0.003926510738315206,0.13535768764690398,485,-0.10000880463896682,0.13535768764690398
112002,2023,-0.06827729680254956,-0.061723929025172763,0.0034741675226721575,-0.05403869593692609,484,-0.06827729680254956,-0.05403869593692609
112002,2024,-0.13802606423077685,-0.08377882182355323,0.0038589629550443666,-0.08147144119825732,484,-0.13802606423077685,-0.08147144119825732
112002,2025,-0.003516687583220284,0.0830066594923724,0.004182085462026699,0.08747951786644169,485,-0.003516687583220284,0.08747951786644169
112002,2026,-0.17824717555517075,0.6118476532008548,0.0035820218118021016,0.5522962130948782,299,-0.17824717555517075,0.5522962130948782
11300,2021,0.04636014028368857,0.12247440114554731,0.0034822988060321993,0.1074761001414193,200,0.04636014028368857,0.1074761001414193
11300,2022,-0.09847272098289643,0.16859348383963024,0.0037843680712141333,0.16078098890887807,442,-0.09847272098289643,0.16078098890887807
11300,2023,-0.23210585760577074,0.1711938073245185,0.0034741675226721575,0.14987850330333816,484,-0.23210585760577074,0.14987850330333816
11300,2024,-0.07929826141907353,0.006309305313545677,0.0038589629550443666,0.006135538620213412,484,-0.07929826141907353,0.006135538620213412
