组别,代码,基金简称,近3年收益,季度数,sharpe8,sortino8,mppm8,risk_asym,timing,年化收益,年化波动,ISDI_paper,ISDI_paper_quarters
绩优,001438,易方达瑞享混合E,277.21,30,0.3798754717608812,4.203616415503164,0.1588826862364519,0.0717358394464421,0.5160261418747057,0.4475190913923608,0.4416233948131551,0.28782496622913656,29
绩优,008988,大成科技创新混合A,277.26,24,0.1196638069595689,4.369309872591017,0.0251871592488619,-0.0039733966857327,0.5942928968135495,0.4204532612816399,0.5786636818427954,0.3144704474506309,24
绩优,005844,东方人工智能主题混合A,277.42,30,0.104144421118168,1.7668243527601888,-0.0130399026910958,0.0360410097305479,0.2277095021773045,0.3338107902534416,0.595823032700013,0.06419446228645773,29
绩优,001437,易方达瑞享混合I,279.44,30,0.3831570868640508,5.004814958630229,0.1607347042995271,0.0721079931246781,0.5177200442236315,0.4497921961677131,0.4420658571666462,0.28862032995203823,29
绩优,005825,申万菱信智能驱动股票A,285.98,30,0.3342683262411411,0.3718828057638241,0.1138574967793998,0.0174359348003412,0.3184895640013372,0.4476692729670498,0.5395053637924359,0.25165934725009426,29
绩优,001753,红土创新新兴产业混合A,303.29,30,0.1471238698223015,2.3071757481832758,0.0541351377031002,0.0714058166129276,-0.3283946202454834,0.4010417514721171,0.5236480353919408,0.29123315956800283,29
绩优,519770,交银优择回报灵活配置混合A,311.46,30,0.6175360759476003,2.588008167630379,0.1106814998006482,0.0291973141474174,0.505630651926497,0.3308574533517202,0.4628926476545077,0.3588459068620962,29
绩优,001170,宏利复兴混合A,316.74,30,0.2241966607603764,0.0262502361035047,0.0470660755164016,0.0675161604628363,0.3863071047408741,0.3755601533595431,0.4764235660836042,0.24769737357229066,29
绩优,005550,汇安成长优选混合A,317.81,30,0.1686000703033567,2.1994759393192957,0.0569674600828648,0.0043384992411288,0.6536958523371839,0.3402193167764252,0.443894736788705,0.24221295189828618,29
绩优,001075,宝盈转型动力混合A,325.04,30,0.3385272745466992,0.5733556177156194,0.1062090945111245,-0.0137842900267735,0.0868952123607734,0.3832422124250143,0.4403675944164654,0.16786986811890495,29
绩优,001198,东方惠新灵活配置混合A,337.89,30,-0.0389451932928886,-0.0124611228851478,-0.0002469687612585,-0.0042161493928117,-0.1318310991292769,0.2866550570007556,0.5878780428181054,0.2809008164786414,26
绩优,001194,景顺长城稳健回报混合A,340.87,30,0.5366867823284034,3.442245379566622,0.1358793727864895,0.0331333896046109,0.823318381065346,0.3284018274472371,0.4283346229793488,0.2988477409259275,29
绩优,004320,前海开源沪港深乐享生活,348.04,30,0.2807575237793988,0.8266505843412807,0.0454061430337652,0.0176534613725461,-0.0666439231847023,0.3848896358713011,0.5014639123890446,0.2084569924213647,29
绩优,720001,财通价值动量混合A,359.44,30,0.3023461457479402,1.9733692013564792,0.09503870347306,0.0466532289149356,1.3736544612930122,0.459871098537492,0.5463573080398856,0.31043681773479237,29
绩优,162201,宏利成长混合,360.12,30,0.2005908758286639,0.3791064402137047,0.0547160098674064,0.0632811774666104,0.5592233073817875,0.3959094044673297,0.5062732114535302,0.17864347356885918,29
绩优,001480,财通成长优选混合A,406.22,30,0.2630641308272691,0.5279279759424476,0.0768164728592436,0.0541230812332338,1.4968550095092237,0.4879099628174124,0.6195688999466012,0.32045474746878994,29
绩优,006502,财通集成电路产业股票A,415.67,30,0.2070684452692455,0.3186493311061757,0.0783143248344601,-0.0083278095224436,-0.0500068254172088,0.4283892040605511,0.5999944544820197,0.14270874931884342,29
绩优,001412,德邦鑫星价值灵活配置混合A,416.55,30,0.3152478694261685,3.587466399328852,0.0938414162096279,0.0590015802467948,-0.3367870197653171,0.3239978231733308,0.4283059320671412,0.3403516227515793,29
绩差,006926,长城量化精选股票A,-48.07,28,-0.0168705614962938,0.0013373124909298,-0.1068621056922422,-0.0039038933921492,0.1218505880307834,-0.0159270720728904,0.22551212353753,0.3589287335422321,27
绩差,008840,德邦大消费混合A,-47.75,24,-0.141243092435849,-0.3191279575951685,-0.1151898110908043,0.0128951978722972,0.99129229647556,-0.0564893762794516,0.2100309554509701,0.391356517587968,23
绩差,004634,前海联合泳涛混合A,-46.21,30,-0.020201200789168,0.1491248557154205,-0.04933739948225,0.0076329933301293,0.6700314601411261,0.0696605603170329,0.2529744035353135,0.3851219527215286,29
绩差,006235,东方城镇消费主题混合A,-46.1,28,-0.1573082993190596,-0.2146311052186493,-0.156482646112634,-0.0127023082240799,1.340698945269769,-0.041175857171356,0.2713266389002313,0.3029329760152464,27
绩差,001978,泰信互联网+主题混合A,-44.84,30,0.0821278156598325,0.3310619519522383,-0.0013128542636732,-0.0098565898948775,0.4093200223487825,0.0694615514185001,0.2443469978230296,0.45376527935014965,29
绩差,350008,天治新消费混合,-43.95,30,-0.3079295866298372,1.4660746805310183,-0.1521573470051806,0.0119292242766275,0.0309657215253137,-0.0480853985464975,0.2212620216846789,0.5557276745810134,29
绩差,008050,同泰慧择混合A,-41.64,26,-0.227387476250267,-0.2794742802915245,-0.1778365269487881,-0.0319022397762516,-0.4495683588346324,-0.0874651891191653,0.2193662315719298,0.4568003197872079,25
