fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
161606,-0.6580375616922546,-0.002619648951114,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
161810,-0.056375660694227,0.0168922389943519,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
161903,0.0095752185843508,0.0275514530938881,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
162006,-0.1850626114944868,0.0188821961144666,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
162201,0.1081009193748282,0.0502770818404164,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
162204,-0.2154293823581494,0.0316995762058078,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
162209,-0.1400217829023947,0.0221937192037071,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
162214,0.0776653107566659,0.0074337578342797,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
162703,-0.3757347039825942,0.0009411182260391,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
163402,-0.2868725989005369,-0.0092441828350206,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
163406,-0.2464344167441995,0.008024389447008,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
163411,-0.3376164224332489,0.0086085892709604,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
163412,-0.361913209610434,-0.0059036053707492,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
166001,-0.3573059621262025,0.0174736257614912,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
166005,-0.2211328696018004,-0.0073778552503251,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
168002,-0.3175183052140238,0.0010479820086009,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
168401,0.2598069455534932,0.0428544835933719,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
180031,-0.0610937975036201,0.01935842827713,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
200012,-0.2012374087968853,0.0162667878316607,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
202001,-0.3523967128709573,0.0176269100355215,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
202002,-0.4639081000087817,0.0177863851832164,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
202027,0.0645359629289775,0.019875880700393,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
206009,-0.4396771142095619,-0.0017978594095414,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他)
210004,-0.2223532322857889,0.0138753199974936,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
210008,-0.1537039373929391,0.0310330238824803,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
213003,-0.2416017351300156,0.0277033758138753,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
213008,-0.2930408145075542,-0.0051897829796335,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
240005,-0.536778905352277,-0.016338233755577,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
240011,-0.0242082352194349,0.0193172142471625,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
240017,-0.224128060156182,0.0196279450855713,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
240022,0.2882754377107004,0.0437645064232315,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
257020,-0.1861473921766317,0.0125890009219668,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
257030,-0.1272359985862944,0.0118877429730779,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
257070,0.2667620198565848,0.0407229905079369,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
260112,0.1432864941870515,0.0260533392953554,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
260117,0.00789475635461,0.0261015436174069,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
270028,-0.0937071281801773,0.0271056459490998,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
290008,-0.0935085219932101,-0.0146476816231972,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
290014,-0.1340018151975033,-0.0353852167729276,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
