fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
2051,-0.116585319275939,0.019168136020958,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2112,-0.0694634324318358,0.0410840981359171,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2125,-0.3269514378954317,0.001950677708882,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2152,-0.0286822680676427,0.0420819081333534,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2163,-0.2221543222984381,0.0333941350822328,均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他),均衡型(其他)
2244,-0.4219046199610052,0.014968761854289,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2376,-0.3279108293765725,-0.0051890261597323,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2420,0.1150923815124202,0.0284840114675784,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
2450,0.0139686070506065,0.0186145566771846,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
2451,0.0582331220513123,0.0233036862837639,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
2692,-0.0358005725420166,0.013175884085027,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
2910,0.1742714785103289,0.0281094749503532,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
3567,-0.0167412411149879,0.0503623635101491,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
3857,-0.226045187631949,0.0298473317361301,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
3858,-0.2314277189152826,0.0294571018394105,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
3961,0.1680052275553243,0.0254938973250571,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
