fund_code,hm_beta,hm_gamma,timing
11,1.6733829815233014,-0.22814047671804333,0.22814047671804333
17,2.2823182189058615,-1.5396708825156855,1.5396708825156855
20,1.523878076916501,-0.8372883324346727,0.8372883324346727
21,2.0639375871988386,-1.1460938239612124,1.1460938239612124
31,2.1414188038730937,-0.9324956646351324,0.9324956646351324
61,1.687545247765715,-0.9189249485543421,0.9189249485543421
73,1.9353994875451408,-0.7556226397567494,0.7556226397567494
263,2.0720846817144025,-1.2969831882058034,1.2969831882058034
308,1.4479229974538643,-0.738402704522376,0.738402704522376
327,1.8978636175523766,-1.1716990777319019,1.1716990777319019
354,1.8499262809331039,-0.19861173099388005,0.19861173099388005
390,0.5952875521992604,-0.4416362262467081,0.4416362262467081
404,1.668552819565923,-0.3992768973126289,0.3992768973126289
522,1.8820968942530456,-1.634869325120367,1.634869325120367
601,2.1825253193286542,-1.330915203933085,1.330915203933085
742,1.4274596441213583,-0.4856798329289721,0.4856798329289721
800,1.4003819975331169,-0.5455421623816795,0.5455421623816795
823,1.006383454406991,0.2843810674989484,-0.2843810674989484
845,1.0217172463018853,-0.6993101944302035,0.6993101944302035
940,1.9593634561675117,-1.3585508757733038,1.3585508757733038
1000,2.737484862495849,-2.1048640055610974,2.1048640055610974
1037,1.4913886971595867,-0.49629026957686606,0.49629026957686606
1060,0.8375166475034291,-0.4414727840675,0.4414727840675
1075,1.4280548524321515,-0.2144222634713247,0.2144222634713247
1076,2.3912567281491133,-1.8121522437117343,1.8121522437117343
1088,1.353312979517871,-0.062096857580687725,0.062096857580687725
1170,1.1945403056372257,-0.07094533399239866,0.07094533399239866
1184,1.4326263152653955,-0.3644091446167552,0.3644091446167552
1194,0.7424493066843312,-0.6644455994162999,0.6644455994162999
1198,0.6038808068362473,-0.43967416259935493,0.43967416259935493
1267,0.9527506506770608,-0.07781396804060656,0.07781396804060656
1407,0.7257910671952439,-0.6372183300114895,0.6372183300114895
1411,0.3570014337233065,-0.02419467712860053,0.02419467712860053
1412,0.7685553562798331,-0.33208836427583455,0.33208836427583455
1437,1.2614338189523637,-1.303191709835101,1.303191709835101
1438,1.1783813445792972,-0.7820256639217,0.7820256639217
1475,1.3156547204746885,-0.2729848188547709,0.2729848188547709
1480,1.2874912400664187,-0.8809008475677275,0.8809008475677275
1513,2.539736146646078,-1.8858731207147037,1.8858731207147037
1664,0.7585570281934321,-0.3142890527133512,0.3142890527133512
1665,0.7569251626620863,-0.31255204752588006,0.31255204752588006
1702,2.0072015876593943,-0.7366778540300254,0.7366778540300254
1715,0.9074008887623297,-0.025663819929003285,0.025663819929003285
1723,1.5310322470773752,-0.9261751311777623,0.9261751311777623
1753,1.503736901572629,-0.9129817372275597,0.9129817372275597
1759,1.3872928039309176,-0.2714081132164199,0.2714081132164199
1811,2.372763713179019,-1.1728938272852973,1.1728938272852973
1856,1.622631768774491,-0.5918512968266106,0.5918512968266106
1881,1.798823887933118,-1.1971934244836189,1.1971934244836189
1985,2.0898880025651243,-0.9371461465643195,0.9371461465643195
1998,0.9054537168210628,-0.024255505438839114,0.024255505438839114
2051,0.3250792398133902,0.518307558236,-0.518307558236
2112,0.836392509503725,-0.028177468651583937,0.028177468651583937
2125,1.4048761003694514,-0.35995164682322217,0.35995164682322217
2152,1.923904988092766,-1.3554031367611752,1.3554031367611752
2163,-0.19916071766880522,1.3465785904450298,-1.3465785904450298
2244,1.4684227169658326,-1.1139314336382016,1.1139314336382016
2376,1.2316534752316979,-0.5301310355094614,0.5301310355094614
2420,1.0128291134944654,-0.5963624916027277,0.5963624916027277
2450,1.4435792125978366,-0.8299867347522614,0.8299867347522614
2451,1.3926437032376828,-0.8394012840667802,0.8394012840667802
2692,2.728440095759192,-1.8310116118588309,1.8310116118588309
2910,1.0982269926163128,-0.6361863622566051,0.6361863622566051
3567,1.732606804881815,-0.5556992135541526,0.5556992135541526
3857,1.5986403751243674,-1.0440797411752951,1.0440797411752951
3858,1.5993438394005313,-1.047158200786717,1.047158200786717
3961,1.899667910687476,-1.0190496452225581,1.0190496452225581
3962,1.936918430448972,-1.0699715703142498,1.0699715703142498
4148,1.735668347787882,-0.9423415989015108,0.9423415989015108
4232,0.7420358880244972,0.12441273462480096,-0.12441273462480096
4320,1.2559362910227836,-0.1935822978394639,0.1935822978394639
4374,1.1571998106735801,-0.028298523928054924,0.028298523928054924
4375,1.1565629930148622,-0.028993318075279884,0.028993318075279884
5001,1.6339810999042732,-0.8311397969577271,0.8311397969577271
5094,2.483263227608001,-2.1027083146703283,2.1027083146703283
5119,1.720708823022523,-0.29197595098111123,0.29197595098111123
5136,1.7361843310357838,-0.6993167711431754,0.6993167711431754
5207,2.3049035788381165,-1.2172659300991253,1.2172659300991253
5449,1.4049850770798507,0.009379497889731131,-0.009379497889731131
5550,1.6061960126303352,-0.6244164889905639,0.6244164889905639
5551,1.602956561919841,-0.621976639293134,0.621976639293134
5729,2.3244025629267884,-1.6584421508046583,1.6584421508046583
5765,2.3669453700163343,-1.168199612329582,1.168199612329582
5774,1.9427591940922135,-0.9991025700292355,0.9991025700292355
5775,1.2451210923534224,-0.9894279164090829,0.9894279164090829
5776,1.2379668804917847,-0.9757146316055717,0.9757146316055717
5787,1.7963755792415923,-1.1964618598995265,1.1964618598995265
5819,2.6303351869437224,-2.269891042080628,2.269891042080628
5844,1.834390930970144,-0.9844049447962165,0.9844049447962165
5875,2.42226263876142,-1.4847876843012189,1.4847876843012189
5903,1.3289874287713768,-0.6999759016857462,0.6999759016857462
5914,2.591858487710043,-1.9705928639190478,1.9705928639190478
5939,2.4369897169059915,-0.9895516673080577,0.9895516673080577
5940,2.434390838321821,-0.989638579424074,0.989638579424074
6025,1.8846912353405538,-1.4308314041625008,1.4308314041625008
6154,1.5195867058279005,0.1374630505149328,-0.1374630505149328
6250,2.9126025038338423,-1.7812858171877142,1.7812858171877142
6271,1.380746457892104,-0.20094477408795328,0.20094477408795328
6281,2.5101135975580644,-1.271275445477564,1.271275445477564
6314,1.4918180050239165,-0.4533504179349307,0.4533504179349307
6315,1.4911574894756396,-0.451436763429983,0.451436763429983
6522,1.9520332940116438,-1.020882445360677,1.020882445360677
6523,1.9460831625420483,-1.013673722250742,1.013673722250742
6533,2.1499893908702217,-0.9302505073110289,0.9302505073110289
6615,2.0964546854654116,-1.5935884721975226,1.5935884721975226
6616,2.093575254767428,-1.5898529927199976,1.5898529927199976
6769,1.5826085809552506,-1.1398806194843945,1.1398806194843945
6887,2.3849388986796205,-1.0226041898647222,1.0226041898647222
6888,2.384450261716599,-1.022974482546046,1.022974482546046
6904,1.5129219032825887,-0.4503725498086293,0.4503725498086293
6905,1.5077372644840132,-0.44375986038695153,0.44375986038695153
6969,1.9640834898506896,-1.2440262899810195,1.2440262899810195
6976,0.911696940018368,-0.0697637032915248,0.0697637032915248
7049,0.7575585391578462,-0.31316853248797144,0.31316853248797144
7113,2.3190045669760933,-1.1811879526443856,1.1811879526443856
7114,2.3210996874371568,-1.185012321819666,1.185012321819666
7305,2.1843440505629563,-1.457908277739352,1.457908277739352
7340,2.3232427235680846,-1.7929264400596532,1.7929264400596532
7341,2.3186219651049638,-1.7917671563390831,1.7917671563390831
7343,2.0521523341092944,-1.093457634935027,1.093457634935027
7346,2.521139639484111,-2.0382098978419525,2.0382098978419525
7349,2.5891696585467305,-1.4518665056116153,1.4518665056116153
7350,2.325014813495858,-0.8408670971646918,0.8408670971646918
7353,1.5162107268626575,-0.6857931122587391,0.6857931122587391
7449,1.399375348417794,-0.38612990049692736,0.38612990049692736
7450,1.397187451376963,-0.38751569898103944,0.38751569898103944
7490,2.0722791448150626,-0.8747306187539658,0.8747306187539658
7491,2.0688387590698376,-0.8764408168517862,0.8764408168517862
7639,0.7088448650042184,0.09492652083801534,-0.09492652083801534
7731,1.8602856086491595,-1.1764977497945284,1.1764977497945284
7895,1.8215667168289085,-1.055181155738338,1.055181155738338
8185,2.0417153487637307,-1.2477910418485219,1.2477910418485219
8208,1.5260930045622803,-0.6195446238486613,0.6195446238486613
