组别,经理,基金简称,代码,季度数,sharpe8,sortino8,mppm8,risk_asym,timing,timing回归季度,年化收益,年化波动
A 长期优胜,张坤,易方达蓝筹精选,005827,30,0.08212848886351079,0.7971114703096902,-0.012018736530978026,0.027080113147434092,0.4626389050624667,29,0.09803773861487183,0.27337524975230926
B 陨落高波动,葛兰,中欧医疗健康混合A,003095,30,-0.02689342357234038,-0.23003932240881472,-0.05933997161770788,0.033187805360529815,1.5004875306297878,29,0.12812909547236492,0.31605561625574713
