fund_code,基金简称,基金经理人,management_company,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return,grp
11,华夏大盘精选混合A,屠环宇,华夏基金,-1.1651112923814306,-0.5660894013955771,-0.4658471542134717,-1.0466137503855215,-0.3959652153355031,-0.7710356547715147,-0.7351104114138365,-0.0084148888388725,0.0378254319305159,Q1最低
17,财通可持续混合A,夏钦,财通基金,-0.6432321631640598,0.0023743523303977,-0.5417444229896197,-0.0432253467435213,-0.3384562939862593,-0.1532693134227365,-0.2862588646626332,0.0164847649949621,0.0822486305424294,Q2
20,景顺长城品质投资混合A,詹成,景顺长城基金,-1.0847851291165291,-0.1806243929603974,-0.7758933834479617,-0.5428378792073908,-0.2103057808643445,-0.6887805105951164,-0.5805378460319567,0.0095254252166679,0.0404972906876461,Q1最低
21,华夏优势增长混合,郑晓辉,华夏基金,-2.1621940568991933,-0.320298837327061,-0.1127642301290296,-0.3399160234388284,-0.1707228039035457,-0.514361573877404,-0.6033762542625103,0.012186250420382,0.0469674663494233,Q1最低
31,华夏复兴混合A,黄皓,华夏基金,-0.8347855529706063,-0.5480909053088168,-0.1112149709584776,-0.5190001526290804,-0.6470270838488713,-0.2490190284820258,-0.484856282366313,-0.0132287624758803,0.0196880060157738,Q1最低
61,华夏盛世混合,连骁,华夏基金,-0.3328487398742255,-0.4034435229404947,-0.3238750480936435,-0.4593409650165264,0.127730698663458,-1.1834423607512872,-0.4292033230021198,0.0345973353470991,0.0629788060427484,Q2
73,摩根成长动力混合A,叶敏,摩根基金(中国),-0.1461113098511322,0.0898048186341585,-0.8016296953483772,-0.5592501881919258,-0.4123738971863234,-0.6868433969468685,-0.4194006114817448,0.0298618339942805,0.0459110210888672,Q2
263,工银信息产业混合A,单文,工银瑞信基金,-1.0018717164083435,-0.0494946614561864,-0.337855234266604,-0.2494836429909859,-0.0217658090996427,-0.5021481640639311,-0.3604365380476156,0.0289038419962925,0.0627473497736066,Q2
308,建信创新中国混合,邵卓,建信基金,-0.9970986333879018,0.2120430457552933,-0.8416983925315817,-0.4405856442414006,0.2490910851454606,-0.6836120936994926,-0.4169767721599371,0.0201569034228364,0.0670147040256788,Q2
327,南方潜力新蓝筹混合A,钟贇,南方基金,-0.1240655516350273,-0.8457233317292477,-0.588104873887249,-0.2589383095247082,-0.0870850669049173,-1.1621073843809306,-0.51100408634368,0.0113605716679312,0.0555513752667477,Q1最低
354,长盛城镇化主题混合A,代毅,长盛基金,-0.1999607265956411,0.1602749179963649,0.2052933737110678,-0.7573588494826684,-0.3008768842740311,-0.3337585667701127,-0.2043977892358367,0.0011142615429632,0.0783798087184682,Q3
390,华商优势行业混合A,张明昕,华商基金,-0.4409313908739032,-0.3874502983298045,-0.5167715946322504,-0.3696590405438514,-0.2056645384216775,-0.2353278292178966,-0.3593007820032306,0.0194793348007424,0.0349032358522615,Q2
404,易方达新兴成长灵活配置,蔡荣成,易方达基金,-0.4016409479413685,-0.0361504221285925,-0.1468280889264151,-0.2198740529612627,0.2062905274231087,-0.154582407964494,-0.1254642320831707,0.0334394588103164,0.0745679233348092,Q3
522,华润元大信息传媒科技混合A,李武群,华润元大基金,-0.160220036298614,0.2232690275862859,1.6871507984807326,0.2052471797238508,0.4287056293491924,-0.1255069307638533,0.3764409446795991,0.0574214690458094,0.0826161871810872,Q5最高
601,华宝创新优选混合,张金涛,华宝基金,-0.4099956988575408,0.0167791307045819,-0.5821941580475649,-0.1709383468041053,-0.2791290585040303,-0.671144376193338,-0.3494370846169995,0.0247740204065876,0.0590741767507167,Q2
742,国泰新经济灵活配置混合A,彭凌志,国泰基金,-0.4906531851601816,0.4732811713683708,-0.5181648164494915,-0.0484775880873068,-0.0019313182943482,0.0231706928541466,-0.0937958406281351,0.0094496121602618,0.0632957347051876,Q3
800,华商未来主题混合,王毅文,华商基金,-0.1574682246815014,-0.1944614223439728,-0.7844094587006503,-0.6754183298721271,-0.2669010244664862,-0.0988297697458352,-0.3629147049684289,0.0043489068422433,0.036363306179423,Q2
823,银华高端制造业混合A,薄官辉、王浩,银华基金,0.1401488529833388,0.1857852485075037,-0.2259822988093289,-0.7193851304348441,-0.457642741734487,-0.213659817410041,-0.2151226478163097,0.0094689412426303,0.0459637126437091,Q3
845,国投瑞银信息消费混合A,马柯,国投瑞银基金,0.550670656986867,-0.1227808152885355,-1.30908719713118,-0.1800789468940188,-1.0305956908381058,-0.257113305761562,-0.3914975498210891,-0.0096163974742206,0.0292898096115544,Q2
940,富国中小盘精选混合A,曹晋,富国基金,-1.2377838995963624,0.1703421090432509,-0.7153913698392402,-0.0633109700790851,0.5122400865217234,-0.6417450882723367,-0.3292748553703417,0.040730266272866,0.0820358851428796,Q2
1000,中欧明睿新起点混合,代云锋,中欧基金,-0.8504123996723053,0.6421049991004643,-0.0839536673954134,0.3250659440497586,-0.4391998947014039,0.0504550161658721,-0.0593233337421712,0.0275394459193409,0.0502524456600507,Q3
1037,国投瑞银锐意改革混合A,马柯,国投瑞银基金,0.1457070093833883,-0.3021660241797159,-0.5251954803350954,-0.1609003420240058,-0.7557372994091304,1.1281693941591897,-0.0783537904008949,0.0044610465246065,0.0378690400452866,Q3
1060,前海开源高端装备制造混合A,魏淳,前海开源基金,0.4071130968670305,-0.0883222133121763,0.0728031082634853,-0.1686740434983509,-0.0334920516312633,-0.286334086686218,-0.0161510316662488,0.0193381303205619,0.0501954229607621,Q4
1075,宝盈转型动力混合A,容志能、叶秀贤,宝盈基金,0.0170858926948251,-0.4489596859800442,-0.5673248620527283,-0.2964457444453238,-0.3058109625339865,0.7905196989506977,-0.1351559438944266,0.0193667332588229,0.0528996022535089,Q3
1076,易方达改革红利混合,陈皓,易方达基金,-0.616640067860275,-0.1696737879160377,-0.2121271640031749,0.1267215404553858,0.2507610468859546,-0.7941701854714054,-0.2358547696515921,0.0359882904287955,0.0691600141741546,Q2
1088,华宝国策导向混合A,丁靖斐,华宝基金,-0.1077926578906254,-0.4841048907239263,-0.877105235675623,-1.0682645131418114,0.029756172398158,-0.9268186631455788,-0.5723882980299012,0.0099084712319878,0.0372154094429317,Q1最低
1170,宏利复兴混合A,孙硕,宏利基金,-0.1851184950950447,0.4697718619934624,-0.8502260812343231,-0.452769311680001,-0.3266225426617202,-0.0687816512001395,-0.2356243699796276,0.0230825530010874,0.0585391673007526,Q2
1184,易方达新常态混合A,何一铖,易方达基金,-0.415703594907914,-0.3573363756274049,-0.6616004082877229,-0.3100855812013597,-0.8371555439157089,0.0741391799577481,-0.4179570539970603,0.0055573141940628,0.0402670638930742,Q2
1194,景顺长城稳健回报混合A,江山,景顺长城基金,0.188783746827002,0.4265403587233669,-1.2231853922207558,-0.1772529606009523,1.15538599626003,0.22576873966164,0.0993400814417218,0.0471055233046176,0.0580422467165419,Q4
