原型,数量,组均alpha,组均composite,vs均衡_t,sig
风控择股型(赢家),25,0.0419,1.192,2.74,**
行业集中下注型,70,0.03,0.454,3.96,***
低偏误纪律型,43,0.0222,0.045,1.42,
高换手噪声型(输家),2,0.0348,-2.512,,
均衡型(其他),260,0.017,-0.178,,
