fund_code,report_date,RG_interp
11,2020-04-01,-0.5233266087914185
11,2020-07-01,0.3246220345239551
11,2020-10-01,0.12348115018073157
11,2021-01-01,0.3538687191629392
11,2021-04-01,-0.2870197013921602
11,2021-07-01,0.043881394976734225
11,2021-10-01,-0.20388529774751268
11,2022-01-01,0.2558954967287173
11,2022-04-01,-0.2220272816202869
11,2022-07-01,0.3013745583849563
11,2022-10-01,-0.16951761676838792
11,2023-01-01,-0.5409496515653619
11,2023-04-01,-0.2927211523134028
11,2023-07-01,0.12987148918668479
11,2023-10-01,-0.07372463007437507
11,2024-01-01,-0.18903600849642394
11,2024-04-01,-0.18484710893121692
11,2024-07-01,-0.2258200823115188
11,2024-10-01,0.03680760982013363
11,2025-01-01,0.05438877820683966
11,2025-04-01,-0.196929718411285
11,2025-07-01,-0.940190234971663
11,2025-10-01,0.2263564748239027
11,2026-01-01,-0.055791709203761176
11,2026-04-01,-1.2337341406619242
11,2026-07-01,0.44885940252149586
17,2020-04-01,-0.3248039122275573
17,2020-07-01,0.5483047921791646
17,2020-10-01,0.11360446940398278
17,2021-01-01,0.24798870482729593
17,2021-04-01,-0.09492391673648198
17,2021-07-01,0.13930035650944206
17,2021-10-01,-0.3605220215420939
17,2022-01-01,0.21157978327992538
17,2022-04-01,-0.14698955802282673
17,2022-07-01,0.2174729981956013
17,2022-10-01,-0.2473094907632517
17,2023-01-01,-0.7386935811001307
17,2023-04-01,-0.47176750268588613
17,2023-07-01,0.04683140184553371
17,2023-10-01,-0.09155689755261073
17,2024-01-01,-0.013555220513528816
17,2024-04-01,-0.1368131609094562
17,2024-07-01,-0.11642346496922114
17,2024-10-01,-0.21846937455840312
17,2025-01-01,0.12267335468767375
17,2025-04-01,-0.33746652875717376
17,2025-07-01,-0.951010450674671
17,2025-10-01,0.3586384980124954
17,2026-01-01,0.08482245551327913
17,2026-04-01,-1.5680495504394065
17,2026-07-01,1.185737094660819
20,2020-04-01,-0.2936533043221918
20,2020-07-01,0.24873255945770467
20,2020-10-01,-0.05341251778754502
20,2021-01-01,0.205829346228385
20,2021-04-01,-0.30770835962151616
20,2021-07-01,0.11123784243385232
20,2021-10-01,-0.20439099276797243
20,2022-01-01,0.25073659257585995
20,2022-04-01,-0.19180619609925967
20,2022-07-01,0.22185035762157052
20,2022-10-01,-0.1025138076114688
20,2023-01-01,-0.369142149763559
20,2023-04-01,-0.30627823742959176
20,2023-07-01,0.04310848995044915
20,2023-10-01,-0.015294677557546682
20,2024-01-01,-0.10250805199532691
20,2024-04-01,-0.27490151057072154
20,2024-07-01,-0.1406061187557676
20,2024-10-01,0.08559109251671077
20,2025-01-01,0.0012477983135839206
20,2025-04-01,-0.10457459302325098
20,2025-07-01,-0.8802214447523609
20,2025-10-01,0.109133306852255
20,2026-01-01,-0.08568092622704017
20,2026-04-01,-1.1779849516954168
20,2026-07-01,0.4684967403255028
21,2020-04-01,-0.4395115119512999
21,2020-07-01,0.472307766410371
21,2020-10-01,-0.057112534197435935
21,2021-01-01,0.428139014066409
21,2021-04-01,-0.5173400159883349
21,2021-07-01,0.2707877356896607
21,2021-10-01,-0.10459723926891862
21,2022-01-01,0.2647019079213458
21,2022-04-01,-0.21257000223955216
21,2022-07-01,0.10951221942178847
21,2022-10-01,-0.020744765322239664
21,2023-01-01,-0.6879789727234438
21,2023-04-01,-0.2558839994048503
21,2023-07-01,0.12855686453740287
21,2023-10-01,-0.06339075769859734
21,2024-01-01,-0.08663647369557478
21,2024-04-01,-0.15110527106922972
21,2024-07-01,-0.2507291058154121
21,2024-10-01,-0.04424619013891029
21,2025-01-01,0.03255241545638672
21,2025-04-01,-0.07089632330584995
21,2025-07-01,-0.7910003456134775
21,2025-10-01,0.2984728614333255
21,2026-01-01,-0.02123239545148597
21,2026-04-01,-1.4298912455487893
21,2026-07-01,0.5751495946416085
31,2020-04-01,-0.41783878294835347
31,2020-07-01,0.350294668511816
31,2020-10-01,-0.11752541767022873
31,2021-01-01,0.22889513638527026
31,2021-04-01,-0.28466669847587717
31,2021-07-01,0.17966677691318722
31,2021-10-01,-0.2423648458699838
31,2022-01-01,0.2755980520295682
31,2022-04-01,-0.3369715417054524
31,2022-07-01,0.25471907053713655
31,2022-10-01,-0.2935393611321717
31,2023-01-01,-0.026023674013835735
31,2023-04-01,-0.03592118362483789
31,2023-07-01,0.0334057709056953
31,2023-10-01,-0.06910992255107294
31,2024-01-01,-0.01873612972829221
31,2024-04-01,-0.2109238076880225
31,2024-07-01,-0.25745475210508784
31,2024-10-01,0.21737825727618823
31,2025-01-01,-0.04826408894144167
31,2025-04-01,0.009144090888784364
31,2025-07-01,-0.335699761127684
31,2025-10-01,0.35195168095156526
31,2026-01-01,0.05762304172453546
31,2026-04-01,0.024979237838045353
31,2026-07-01,-0.02100723071384677
61,2020-04-01,-0.3234164787334721
61,2020-07-01,0.1538479584294375
61,2020-10-01,-0.14809351653524377
61,2021-01-01,0.23578087259956557
61,2021-04-01,-0.27760639311791874
61,2021-07-01,0.27314626749877186
61,2021-10-01,0.02031756348948449
61,2022-01-01,0.22663048387915227
61,2022-04-01,-0.18789302989090892
61,2022-07-01,0.1027159112407221
61,2022-10-01,-0.11300511982033509
61,2023-01-01,-0.38225491275137785
61,2023-04-01,-0.25685559530873675
61,2023-07-01,0.13308134653948975
61,2023-10-01,-0.08064429741960141
61,2024-01-01,-0.16078997734992082
61,2024-04-01,-0.10272730682912405
61,2024-07-01,-0.2005996411217159
61,2024-10-01,0.04880498899225742
61,2025-01-01,-0.08305789617049236
61,2025-04-01,-0.08719310919968024
61,2025-07-01,-0.9397520024798495
61,2025-10-01,0.3059759130521314
61,2026-01-01,0.039671984304740136
61,2026-04-01,-0.448789449210231
61,2026-07-01,0.4936108602871676
73,2020-04-01,-0.36537061822051997
73,2020-07-01,0.4264501554947398
73,2020-10-01,-0.14244395885150385
73,2021-01-01,0.3130953827284934
73,2021-04-01,-0.3958604892754313
73,2021-07-01,0.0988449193027316
73,2021-10-01,-0.23381915715166643
73,2022-01-01,0.21269131050672874
73,2022-04-01,-0.3891503804262686
73,2022-07-01,0.30855325860892274
