fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
11,-0.4487594336531919,-0.4658471542134717,-1.0466137503855215,-0.3959652153355031,-0.7710356547715147,-0.6256442416718405,-0.0084148888388725,0.03782543193051595
17,-0.1012428736727977,-0.5417444229896197,-0.0432253467435213,-0.33845629398625937,-0.15326931342273653,-0.2355876501629869,0.0164847649949621,0.08224863054242942
20,-0.22785348413111528,-0.7758933834479617,-0.5428378792073908,-0.2103057808643445,-0.6887805105951164,-0.4891342076491858,0.0095254252166679,0.04049729068764611
21,-0.017165221856358538,-0.11276423012902967,-0.33991602343882843,-0.17072280390354577,-0.514361573877404,-0.23098597064103327,0.012186250420382,0.04696746634942339
31,-0.1934121455215225,-0.1112149709584776,-0.5190001526290804,-0.6470270838488713,-0.24901902848202584,-0.3439346762879955,-0.0132287624758803,0.01968800601577388
61,-0.17956032700082133,-0.3238750480936435,-0.4593409650165264,0.12773069866345801,-1.1834423607512872,-0.40369760043976405,0.0345973353470991,0.06297880604274846
73,0.07880018923914156,-0.8016296953483772,-0.5592501881919258,-0.4123738971863234,-0.6868433969468685,-0.47625939768687064,0.0298618339942805,0.045911021088867285
263,0.05019848649375872,-0.337855234266604,-0.24948364299098597,-0.02176580909964279,-0.5021481640639311,-0.212210872785481,0.0289038419962925,0.06274734977360663
308,0.11105241346563988,-0.8416983925315817,-0.4405856442414006,0.24909108514546063,-0.6836120936994926,-0.3211505263722749,0.0201569034228364,0.06701470402567883
327,-0.5740339300579482,-0.588104873887249,-0.25893830952470825,-0.08708506690491734,-1.1621073843809306,-0.5340539129511507,0.0113605716679312,0.055551375266747756
354,-0.06076139924634497,0.20529337371106784,-0.7573588494826684,-0.30087688427403114,-0.33375856677011273,-0.24949246521241789,0.0011142615429632,0.07837980871846824
390,-0.20178851175745702,-0.5167715946322504,-0.36965904054385146,-0.20566453842167756,-0.23532782921789663,-0.3058423029146266,0.0194793348007424,0.03490323585226159
404,0.06838851153131431,-0.14682808892641516,-0.21987405296126275,0.20629052742310874,-0.15458240796449407,-0.04932110217954978,0.0334394588103164,0.07456792333480927
522,0.4737929195849874,1.6871507984807326,0.20524717972385081,0.42870562934919243,-0.12550693076385336,0.5338779192749821,0.0574214690458094,0.08261618718108725
601,-0.23110573670461684,-0.5821941580475649,-0.1709383468041053,-0.2791290585040303,-0.671144376193338,-0.3869023352507311,0.0247740204065876,0.05907417675071679
742,0.3921739430352326,-0.5181648164494915,-0.04847758808730687,-0.001931318294348297,0.02317069285414669,-0.03064581738835348,0.0094496121602618,0.06329573470518761
800,-0.2704366674392541,-0.7844094587006503,-0.6754183298721271,-0.2669010244664862,-0.09882976974583527,-0.4191990500448705,0.0043489068422433,0.036363306179423
823,0.18612584834162751,-0.22598229880932894,-0.7193851304348441,-0.457642741734487,-0.21365981741004103,-0.28610882800941473,0.0094689412426303,0.045963712643709145
845,-0.23635499079653458,-1.30908719713118,-0.18007894689401888,-1.0305956908381058,-0.257113305761562,-0.6026460262842802,-0.0096163974742206,0.029289809611554425
940,0.2759988587354378,-0.7153913698392402,-0.0633109700790851,0.5122400865217234,-0.6417450882723367,-0.12644169658670018,0.04073026627286601,0.08203588514287966
1000,0.8234298915691122,-0.0839536673954134,0.3250659440497586,-0.43919989470140397,0.05045501616587219,0.1351594579375851,0.0275394459193409,0.05025244566005076
1037,-0.2930822241912769,-0.5251954803350954,-0.1609003420240058,-0.7557372994091304,1.1281693941591895,-0.12134919036006382,0.0044610465246065,0.037869040045286614
1060,0.08536690899821586,0.07280310826348536,-0.16867404349835097,-0.03349205163126339,-0.28633408668621807,-0.06606603291082624,0.0193381303205619,0.050195422960762195
1075,-0.503607329641255,-0.5673248620527283,-0.29644574444532384,-0.30581096253398654,0.7905196989506977,-0.17653383994451918,0.0193667332588229,0.05289960225350897
