fund_code,report_date,sharpe8_lag,sortino8_lag,rc_mom,oc_conf
11,2020-04-01,,,,
11,2020-07-01,,,0.4019607843137255,-0.0
11,2020-10-01,,,-0.2943606636161902,0.0
11,2021-01-01,,,0.1422539860671258,79.3683437447109
11,2021-04-01,0.5872273550719972,,-0.0604395604395604,0.0
11,2021-07-01,0.5424845489319039,,0.6771929824561403,-68.9905885819383
11,2021-10-01,0.5203990373894385,,-0.2032967032967032,0.0
11,2022-01-01,0.41503761477615486,,-0.2207792207792207,-0.0
11,2022-04-01,0.43930237562092406,,0.3010989010989011,0.0
11,2022-07-01,0.37043853334769133,,-0.1086691086691086,0.0
11,2022-10-01,0.3547466394677766,,-0.2294117647058823,0.0
11,2023-01-01,0.0012231227539675077,,-0.1142075585164983,-0.0
11,2023-04-01,-0.17337559373090483,,0.5934065934065934,0.0
11,2023-07-01,-0.16553854338649696,,0.5670745272525028,29.5484460613393
11,2023-10-01,-0.22748604194521774,-0.3143542767264808,0.0968097395497227,0.0
11,2024-01-01,-0.2383842841770139,-0.34102673884984624,-0.0943548387096774,0.0
11,2024-04-01,-0.4080017342767535,-0.6579955431632247,0.4090909090909091,0.0
11,2024-07-01,-0.25437039392794236,-0.4363926589118725,0.1318949343339587,0.0
11,2024-10-01,-0.776467784588372,-0.8302151650079364,0.1888111888111888,0.0
11,2025-01-01,-0.10644002051842098,-0.2257977184804744,-0.0221671137487189,-20.965086845391014
11,2025-04-01,-0.11785589054943714,-0.24230298767853517,-0.0909090909090908,0.0
11,2025-07-01,-0.12032833676695766,-0.24711681159341164,0.0978969981705361,9.991177650031005
11,2025-10-01,-0.059747903228050354,-0.10881546736551033,0.2818181818181818,0.0
11,2026-01-01,0.32470888058531194,0.9365274817222771,0.3823998515749964,
11,2026-04-01,0.4540543361471876,5.716185237224105,,
11,2026-07-01,0.47175680176673046,11.533966135501752,,
17,2020-04-01,,,,
17,2020-07-01,,,0.3982456140350877,0.0
17,2020-10-01,,,,0.0
17,2021-01-01,,,0.3211462450592885,-98.13931141955098
17,2021-04-01,0.8753777911180525,,0.6727272727272726,0.0
17,2021-07-01,0.600136391326394,,0.4878632478632478,0.0
17,2021-10-01,0.681416444855421,,,0.0
17,2022-01-01,0.4373955684079496,,-0.04437564499484,-0.0
17,2022-04-01,0.35495777558219493,1.5959817995845813,0.0666666666666666,0.0
17,2022-07-01,0.2709326498021689,1.1564076538570758,0.3094017094017094,0.0
17,2022-10-01,0.11948873348532743,0.35641800047504923,,0.0
17,2023-01-01,-0.18410522105070853,-0.48445726833340685,0.1789215686274509,-0.0
17,2023-04-01,-0.3984698412682586,-0.7378539908897415,,0.0
17,2023-07-01,-0.3210477098696062,-0.49971256806867365,0.0826019728044099,97.835000069389
17,2023-10-01,-0.6583172126086,-0.9291802251992891,,0.0
17,2024-01-01,-0.6625917849525385,-0.9302062912275365,0.1650605437096493,-0.0
17,2024-04-01,-0.4928298198351614,-0.6931391617778951,,0.0
17,2024-07-01,-0.329619242386501,-0.414438925323777,0.1653846153846153,72.74730677723002
17,2024-10-01,-0.5035177345669534,-0.5419363566703091,,0.0
17,2025-01-01,-0.19149414424368946,-0.1986677032311426,-0.3155374695211463,31.52216769527098
17,2025-04-01,-0.07138445671564965,,,0.0
17,2025-07-01,-0.21132366526545496,,-0.0780154263203181,-0.0
17,2025-10-01,0.16014106014556456,,,0.0
17,2026-01-01,0.5209310436166962,,-0.1118035190615835,
17,2026-04-01,0.5781348850500619,,,
17,2026-07-01,0.5312786585527499,,-0.309090909090909,
20,2020-04-01,,,,
20,2020-07-01,,,0.4500282326369283,-42.81258349546701
20,2020-10-01,,,,0.0
20,2021-01-01,,,0.3162393162393162,-23.09163312831899
20,2021-04-01,1.6776653860771051,,-0.1878787878787878,0.0
20,2021-07-01,0.7765677681163015,,0.2871921182266009,0.0
20,2021-10-01,0.9324752480522284,,,0.0
20,2022-01-01,0.6391628661796893,,0.0735294117647058,-0.0
20,2022-04-01,0.6289469781621361,,-0.2969696969696969,0.0
20,2022-07-01,0.25731845021926136,,-0.1365217391304347,0.0
20,2022-10-01,0.1407328620460546,,,0.0
20,2023-01-01,-0.10242120032383127,-0.1978425304054787,-0.0326167541462181,0.0
20,2023-04-01,-0.24712988821405868,-0.42766904399988903,,0.0
20,2023-07-01,-0.167370218135644,-0.213284451147727,0.4844155844155844,-0.0
20,2023-10-01,-0.45027741066619703,-0.49334923075231896,-0.3575757575757575,0.0
20,2024-01-01,-0.42608289780355535,-0.4558244835852176,0.0358974358974358,-0.0
20,2024-04-01,-0.5128039009529791,-0.5567535305637883,0.5151515151515151,0.0
20,2024-07-01,-0.5131133267831458,-0.6783120412237587,0.0043420407698048,0.0
20,2024-10-01,-0.8603111258636843,-0.889037104251863,-0.2242424242424242,0.0
20,2025-01-01,-0.14987969318784258,-0.25829574298140523,0.325128205128205,75.75378879860801
20,2025-04-01,-0.19930289710391713,-0.36339242759236307,,0.0
20,2025-07-01,-0.09338158330869877,-0.1748943025671907,0.3457172342621259,22.39633117223599
20,2025-10-01,0.020326535033122487,0.03459532801593388,,0.0
20,2026-01-01,0.37041837740599093,0.9555868099481006,0.2045112781954887,
20,2026-04-01,0.4053608952660047,,,
20,2026-07-01,0.5876648942870841,,,
21,2020-04-01,,,0.4424242424242424,
21,2020-07-01,,,0.4176610561579911,-0.0
21,2020-10-01,,,0.0666666666666666,0.0
21,2021-01-01,,,0.2161827796499425,-36.15989685757998
21,2021-04-01,0.8426464116088035,,,0.0
21,2021-07-01,0.5070597475095703,,0.1385934595243578,0.0
21,2021-10-01,0.6619002494823775,,-0.1636363636363636,0.0
21,2022-01-01,0.5571424246350998,,0.1972812068513411,-0.0
21,2022-04-01,0.5788005279079792,,-0.0909090909090908,0.0
21,2022-07-01,0.3750344707395151,,0.1654245617731335,0.0
21,2022-10-01,0.25679990384190116,,0.0303030303030303,0.0
21,2023-01-01,0.09790568228344156,0.21418768308816066,-0.0383707013062293,-0.0
21,2023-04-01,-0.16286099157936143,-0.30483243810290483,-0.1909090909090909,0.0
21,2023-07-01,-0.03649182813907453,-0.057843613544918196,0.130806442160303,-33.516622152265406
21,2023-10-01,-0.3638630245410532,-0.4560282783130941,0.0909090909090909,0.0
21,2024-01-01,-0.43191123303198214,-0.607594738992793,0.2435390580011887,0.0
21,2024-04-01,-0.6489502088739256,-0.8832968064705368,0.5757575757575757,0.0
21,2024-07-01,-0.6094652339059159,-1.2323912846158653,0.3317093901522016,0.0
21,2024-10-01,-1.1928347662154335,-1.781726248597493,-0.4727272727272727,0.0
21,2025-01-01,-0.2065191267944152,-0.9015674889358273,-0.1216324580723083,-31.958779011897605
21,2025-04-01,-0.13563613384256618,-0.37471107765004164,0.2,0.0
21,2025-07-01,-0.13661141312622654,-0.3771954816704718,0.1322120053483848,20.2931446434661
21,2025-10-01,-0.06726917644581762,-0.1699615630542211,0.1641344967936174,0.0
21,2026-01-01,0.34775409823757686,1.7815699924842499,0.4116848338537116,
21,2026-04-01,0.38276389248667897,2.0205685094530144,-0.006060606060606,
21,2026-07-01,0.40132480466210113,2.568076121341808,0.5835893219328621,
31,2020-04-01,,,-0.406060606060606,
31,2020-07-01,,,0.0784313725490196,-0.0
31,2020-10-01,,,0.2727272727272727,0.0
31,2021-01-01,,,-0.1610671936758893,20.476220568595792
31,2021-04-01,0.6545148686924555,,0.406060606060606,0.0
31,2021-07-01,0.433423735800411,,0.4070175438596491,0.0
31,2021-10-01,0.5640809290708328,,-0.406060606060606,0.0
31,2022-01-01,0.460814989537989,,-0.0245098039215686,-0.0
31,2022-04-01,0.5062661563793727,,0.2870166899742693,0.0
31,2022-07-01,0.2992223186434948,,0.4754901960784314,0.0
31,2022-10-01,0.157090732074901,,,0.0
31,2023-01-01,-0.03805180433518963,-0.07046258136052966,0.3807017543859649,-0.0
31,2023-04-01,-0.10401291466674048,-0.18492331363236122,-0.1043956043956044,0.0
31,2023-07-01,-0.05179842229758394,-0.07522306614828045,0.3337662337662338,-0.0
31,2023-10-01,-0.32386137686030947,-0.44998996875159036,0.3636363636363636,0.0
31,2024-01-01,-0.3735855004716605,-0.5724037580020427,0.352062376476631,0.0
31,2024-04-01,-0.5493814573339689,-0.7534100466552422,0.3454545454545454,0.0
31,2024-07-01,-0.5346436333690439,-0.8017497197933129,0.5859649122807017,0.0
31,2024-10-01,-1.0456704934751992,-1.2331519222830494,-0.1151515151515151,0.0
31,2025-01-01,-0.3336154261787351,-0.6501390117770557,,-121.27267114995159
31,2025-04-01,-0.45785468179834793,-0.9116976539542346,-0.1048951048951049,0.0
31,2025-07-01,-0.38664237515852884,-0.8032060824998316,0.1692213684099166,10.236040944723602
31,2025-10-01,-0.23842352787188023,-0.4525119561134338,0.5757575757575757,0.0
31,2026-01-01,0.17691130729782936,0.4256816200636248,-0.7729618163054695,
31,2026-04-01,0.2020902968002992,0.4248596051390996,-0.3575757575757575,
31,2026-07-01,0.46462180723009333,,,
61,2020-04-01,,,,
61,2020-07-01,,,0.2117647058823529,-76.062429829054
61,2020-10-01,,,,0.0
61,2021-01-01,,,0.0461627244546215,-92.248472024735
61,2021-04-01,1.096186643671104,,,0.0
