fund_code,report_date,sharpe8,sortino8,mppm8,rsstab,sharpe8_lag,sortino8_lag,mppm8_lag,rsstab_lag,oc_conf
11,2020-04-01,,,,,,,,,
11,2020-07-01,,,,,,,,,-0.0
11,2020-10-01,,,,,,,,,0.0
11,2021-01-01,0.5872273550719972,,0.2531502983890572,-0.03579421004753952,,,,,79.3683437447109
11,2021-04-01,0.5424845489319039,,0.2124390216797998,-0.086202053925244,0.5872273550719972,,0.2531502983890572,-0.03579421004753952,0.0
11,2021-07-01,0.5203990373894385,,0.190353740772288,-0.014052116107049692,0.5424845489319039,,0.2124390216797998,-0.086202053925244,-68.9905885819383
11,2021-10-01,0.41503761477615486,,0.13110639613614608,-0.02010204579231427,0.5203990373894385,,0.190353740772288,-0.014052116107049692,0.0
11,2022-01-01,0.43930237562092406,,0.13900869336072047,-0.04920701693252498,0.41503761477615486,,0.13110639613614608,-0.02010204579231427,-0.0
11,2022-04-01,0.37043853334769133,,0.09795419230976146,-0.07317425225210081,0.43930237562092406,,0.13900869336072047,-0.04920701693252498,0.0
11,2022-07-01,0.3547466394677766,,0.08898987277087692,-0.04074130340803565,0.37043853334769133,,0.09795419230976146,-0.07317425225210081,0.0
11,2022-10-01,0.0012231227539675077,0.002017138220843021,-0.0995041127129795,-0.017738447857113926,0.3547466394677766,,0.08898987277087692,-0.04074130340803565,0.0
11,2023-01-01,-0.17337559373090483,-0.24852948345200693,-0.1598532150258941,-0.006577990752811291,0.0012231227539675077,0.002017138220843021,-0.0995041127129795,-0.017738447857113926,-0.0
11,2023-04-01,-0.16553854338649696,-0.2379429664061038,-0.15685102326481307,-0.035618456848091395,-0.17337559373090483,-0.24852948345200693,-0.1598532150258941,-0.006577990752811291,0.0
11,2023-07-01,-0.22748604194521774,-0.3143542767264808,-0.18297450133509366,-0.04946011704714573,-0.16553854338649696,-0.2379429664061038,-0.15685102326481307,-0.035618456848091395,29.5484460613393
11,2023-10-01,-0.2383842841770139,-0.34102673884984624,-0.18869033162098234,-0.04507040627367917,-0.22748604194521774,-0.3143542767264808,-0.18297450133509366,-0.04946011704714573,0.0
11,2024-01-01,-0.4080017342767535,-0.6579955431632247,-0.2614686637049944,-0.014707263638096872,-0.2383842841770139,-0.34102673884984624,-0.18869033162098234,-0.04507040627367917,0.0
11,2024-04-01,-0.25437039392794236,-0.4363926589118725,-0.1422419341406938,-0.017221237323642648,-0.4080017342767535,-0.6579955431632247,-0.2614686637049944,-0.014707263638096872,0.0
11,2024-07-01,-0.776467784588372,-0.8302151650079364,-0.20740444075268383,-0.005290906518286717,-0.25437039392794236,-0.4363926589118725,-0.1422419341406938,-0.017221237323642648,0.0
11,2024-10-01,-0.10644002051842098,-0.2257977184804744,-0.05606077187005012,-0.06444446578457463,-0.776467784588372,-0.8302151650079364,-0.20740444075268383,-0.005290906518286717,0.0
11,2025-01-01,-0.11785589054943714,-0.24230298767853517,-0.05920649911611021,-0.022822568058321682,-0.10644002051842098,-0.2257977184804744,-0.05606077187005012,-0.06444446578457463,-20.965086845391014
11,2025-04-01,-0.12032833676695766,-0.24711681159341164,-0.05982002783584231,-0.006598895616366174,-0.11785589054943714,-0.24230298767853517,-0.05920649911611021,-0.022822568058321682,0.0
