window,metric,n_good,n_bad,mean_good,mean_bad,diff,t,t_star,spearman_rho,spearman_p,rho_star
2019Q1-2026Q2,ISDI,18,15,0.25530165410315203,0.4292398025485621,-0.17393814844541006,-4.507032161427979,***,-0.6143048128342247,0.00014299523393014314,***
2019Q1-2026Q2,SDI,18,15,0.413458088561202,0.43357167510117167,-0.020113586539969697,-0.5514729391635211,n.s.,-0.1413770053475936,0.43257799154055826,n.s.
2019Q1-2024Q4,ISDI,18,15,0.30017864889182,0.3887343813932424,-0.0885557325014224,-1.8738660401920557,*,-0.1928475935828877,0.2822661792857581,n.s.
2019Q1-2024Q4,SDI,18,15,0.3517787951270142,0.3681543806718679,-0.016375585544853688,-0.41068447548150294,n.s.,0.03810160427807487,0.8332667138980837,n.s.
2020Q1-2026Q2,ISDI,18,15,0.24674568081017428,0.43797290404658207,-0.19122722323640778,-4.309205072804948,***,-0.5685160427807486,0.0005568432757302379,***
2020Q1-2026Q2,SDI,18,15,0.4225378464634656,0.44108463925357505,-0.018546792790109456,-0.4905199284207625,n.s.,-0.14872994652406418,0.40877363131776534,n.s.
2022Q1-2026Q2,ISDI,18,15,0.20979988071764197,0.44305698811240124,-0.23325710739475927,-3.9645161472051336,***,-0.5909090909090909,0.0002937944888229101,***
2022Q1-2026Q2,SDI,18,15,0.49533624113751923,0.5331438067689205,-0.03780756563140125,-0.7542653546193601,n.s.,-0.21189839572192515,0.23648055470858262,n.s.
