n_days,n_days_used,TM_beta2,TM_alpha,idio_vol,sys_vol,factor_drift,fund_code,year,TM_alpha_annual,idio_vol_annual
250.0,250.0,0.947748693619041,-4.0504940168738784e-05,0.0028478017655342,0.0036296370991214,0.4396493467616288,390,2014.0,-0.0102072449225221,0.0452074515288859
489.0,489.0,1.7965851797598382,8.62470170952415e-05,0.0073057808852962,0.0119135235904889,0.3801272254415326,390,2015.0,0.0217342483080008,0.1159756761337393
488.0,488.0,2.4279636358984225,3.1913889283689145e-05,0.007559031852226,0.0131215453178423,0.3655135826270089,390,2016.0,0.0080423000994896,0.119995910600436
488.0,488.0,2.6496962093822654,-0.0002275147873904,0.0042986731756821,0.0068163328374468,0.3867450157565899,390,2017.0,-0.0573337264224057,0.0682393211423955
487.0,487.0,2.571412736006064,-0.0001582697614807,0.0049067786945383,0.0096117874754854,0.3379657906349764,390,2018.0,-0.0398839798931418,0.0778926969850712
487.0,487.0,2.727727129867689,0.0001914022995856,0.005854566467266,0.0124501188311157,0.3198397771844576,390,2019.0,0.0482333794955948,0.0929383614389034
487.0,487.0,1.564958537793425,0.0006817044528747,0.0068287388346372,0.0136414869532582,0.3335937231662213,390,2020.0,0.1717895221244431,0.1084028683479556
486.0,486.0,2.2107933912386315,0.0002824220872867,0.0092325345118644,0.0141581039238086,0.3947106675713421,390,2021.0,0.0711703659962719,0.1465619417352862
485.0,485.0,-2.993487031726542,0.0010378961746379,0.009435247617488,0.0133625973105592,0.4138657687718645,390,2022.0,0.261549836008775,0.1497799125251279
484.0,484.0,-4.94777300850027,0.00107779407748,0.0067900544113784,0.0107020062182088,0.3881792177128227,390,2023.0,0.2716041075249664,0.1077887721666265
484.0,484.0,-1.097790026256494,1.2993633484981849e-05,0.0046712446838404,0.0112821183046806,0.2928062683210776,390,2024.0,0.0032743956382154,0.0741537104794466
485.0,485.0,-1.0930323741307022,0.0009557188393661,0.0118064674289786,0.0151097583522926,0.4386375536050728,390,2025.0,0.2408411475202644,0.1874218600755696
299.0,299.0,8.249472277498585,0.0011767716839465,0.0135920711365246,0.0183942449743624,0.4249339339173953,390,2026.0,0.2965464643545302,0.2157674401772588
267.0,267.0,-3.953652966678092,6.132178358964839e-07,0.0071371447294901,0.013053947253526,0.3534798779329801,404,2014.0,0.0001545308946459,0.1132986601518379
489.0,489.0,0.8923013962324045,0.0009676431226053,0.0110314913959616,0.0228346276188277,0.3257382811164203,404,2015.0,0.2438460668965453,0.1751194969431789
488.0,488.0,1.4712393203532494,0.0003802884542726,0.0111674026219251,0.026447252059134,0.2968896754899221,404,2016.0,0.0958326904767135,0.1772770207688678
488.0,488.0,2.451734270168334,-0.0010236938586337,0.0088533357803976,0.0177846204842947,0.3323579216222522,404,2017.0,-0.2579708523757103,0.1405423484896923
487.0,487.0,1.5639725761951784,-0.0002233856014538,0.0089981972850369,0.0148369214918542,0.3775184579218864,404,2018.0,-0.0562931715663818,0.1428419535846262
487.0,487.0,0.5213216251633996,0.0004796794204611,0.0083344511301389,0.0166521599426969,0.3335566838513643,404,2019.0,0.1208792139562058,0.1323053100274126
487.0,487.0,-0.5761968836004733,0.0012901953204771,0.0081749608801677,0.0165101983207721,0.3311690564206074,404,2020.0,0.3251292207602315,0.1297734807996333
486.0,486.0,-0.627733077108911,0.0008439414137101,0.0091940422306481,0.0166763244520748,0.3553889414636029,404,2021.0,0.2126732362549703,0.1459508957143239
485.0,485.0,5.527422664461271,-0.0007631648475967,0.0100644166483662,0.0169014781114526,0.3732276172553699,404,2022.0,-0.1923175415943891,0.1597676612550925
484.0,484.0,4.584341499572353,-0.0008088864815006,0.0113044351467131,0.0149847675096605,0.4300029671676814,404,2023.0,-0.2038393933381641,0.1794523446615661
484.0,484.0,0.8703709586060837,-0.0002900518075065,0.01034655876127,0.0135104256236327,0.4336909726032912,404,2024.0,-0.073093055491656,0.1642465284458216
485.0,485.0,1.1665963368468657,0.0003030497512344,0.0103739745846822,0.0168283626137974,0.3813633552510354,404,2025.0,0.0763685373110776,0.1646817411502434
299.0,299.0,9.108120522242212,0.0001269302599545,0.0108532476813786,0.0185180613644692,0.3695186913336749,404,2026.0,0.0319864255085452,0.1722899656938973
307.0,307.0,-0.2097459555127602,0.0008823264056661,0.0076651518299891,0.0241573059213023,0.2408724018080627,742,2015.0,0.2223462542278799,0.1216805130222181
488.0,488.0,0.0141012324919905,0.0009378723082445,0.0077702030196342,0.0213557437639855,0.2667794141546717,742,2016.0,0.2363438216776262,0.1233481489586117
488.0,488.0,-0.8168428987909886,0.0009441133038227,0.0075000964885282,0.0114033280622887,0.3967586120898987,742,2017.0,0.2379165525633405,0.1190603407058073
487.0,487.0,3.3166603841550493,5.578551987639107e-05,0.0079878747025456,0.0106487592676684,0.4286114496486973,742,2018.0,0.0140579510088505,0.1268035798012783
487.0,487.0,3.7378855615351214,-0.0007463353473549,0.0077580455230834,0.0134158258788914,0.3663971210460753,742,2019.0,-0.188076507533445,0.1231551546839808
487.0,487.0,0.5681601124741762,0.0005947304550727,0.0083705124079431,0.0165775125559218,0.3355180388053586,742,2020.0,0.1498720746783333,0.1328777650655874
486.0,486.0,0.2493683023130885,0.0005476266658577,0.0105775722673129,0.0170728090523435,0.3825470667123655,742,2021.0,0.138001919796164,0.1679137541647429
485.0,485.0,3.745939581581295,-0.0007160534813016,0.0112132744213203,0.0157771866536688,0.4154532369849412,742,2022.0,-0.1804454772880233,0.1780052130092118
484.0,484.0,1.744234547901709,-0.0005674970606547,0.0133103949978196,0.014074811804493,0.4860432529834172,742,2023.0,-0.1430092592849965,0.2112959700976138
484.0,484.0,6.653302883566361,-0.0009349218600784,0.0141265498138504,0.0177199638302837,0.4435823014005938,742,2024.0,-0.2356003087397637,0.2242520261448845
485.0,485.0,5.881558266224823,-0.0008111880137825,0.0117974394068384,0.0208283206872692,0.3615989136439807,742,2025.0,-0.2044193794732083,0.1872785446670878
299.0,299.0,8.312066278376022,-0.0011067728177488,0.0103059559884399,0.0195389762465534,0.3453167830066686,742,2026.0,-0.2789067500727209,0.1636019794091333
249.0,249.0,-0.097742013782287,-0.0003788410850483,0.0102100368061222,0.0270432821604187,0.2740705281935387,823,2015.0,-0.0954679534321934,0.1620793095948942
484.0,484.0,-0.2748348351060856,-0.0004944979064319,0.0087641060089894,0.0231012739616909,0.2750353523809665,823,2016.0,-0.124613472420849,0.1391258697815581
488.0,488.0,-1.782301806029246,-0.0003141594558029,0.0061630158391488,0.0134771759576674,0.313796112731847,823,2017.0,-0.0791681828623417,0.0978348434192397
487.0,487.0,1.26876636345274,-0.0001374664544209,0.0052572505315634,0.0098951203189205,0.3469589401843043,823,2018.0,-0.0346415465140686,0.0834562649188746
487.0,487.0,1.1210647817511832,-8.84868589819855e-05,0.004865831919684,0.0120282898209686,0.2880192290774914,823,2019.0,-0.0222986884634603,0.0772426870855443
487.0,487.0,0.1576072827721506,0.0006177466410814,0.00575841947196,0.0138152263509184,0.2941924833047395,823,2020.0,0.1556721535525253,0.0914120752055897
486.0,486.0,0.9195729546003986,0.0006189955178821,0.008443037441618,0.0148309092271957,0.3627677575170945,823,2021.0,0.1559868705063094,0.1340290642831699
485.0,485.0,5.11257532335974,-0.0005653309209368,0.0092652856635669,0.0157440505076869,0.3704730745399217,823,2022.0,-0.1424633920760919,0.1470818501506204
484.0,484.0,3.7969696476840658,-0.0010526283582851,0.0089314986050689,0.0135348839383232,0.3975494758810601,823,2023.0,-0.2652623462878519,0.1417831448647964
484.0,484.0,2.4024225438546143,-0.0008003634128565,0.0087154245117348,0.0137123922794015,0.3885988811527663,823,2024.0,-0.2016915800398533,0.1383530749704412
485.0,485.0,2.9038879648485567,1.2546282680831e-05,0.0101881837795756,0.0165995395165469,0.3803303351670187,823,2025.0,0.0031616632355694,0.1617324035530762
