fund_code,report_date,TO_wind,TO_wind_clean
11,2005-01-01,113.125168128112,113.125168128112
11,2005-04-01,113.125168128112,113.125168128112
11,2005-07-01,211.107161153833,211.107161153833
11,2005-10-01,211.107161153833,211.107161153833
11,2006-01-01,326.004491203976,326.004491203976
11,2006-04-01,326.004491203976,326.004491203976
11,2006-07-01,186.581858177454,186.581858177454
11,2006-10-01,186.581858177454,186.581858177454
11,2007-01-01,234.779191380535,234.779191380535
11,2007-04-01,234.779191380535,234.779191380535
11,2007-07-01,200.164144659554,200.164144659554
11,2007-10-01,200.164144659554,200.164144659554
11,2008-01-01,208.449130770729,208.449130770729
11,2008-04-01,208.449130770729,208.449130770729
11,2008-07-01,143.23401814008,143.23401814008
11,2008-10-01,143.23401814008,143.23401814008
11,2009-01-01,162.245690628341,162.245690628341
11,2009-04-01,162.245690628341,162.245690628341
11,2009-07-01,101.788151440116,101.788151440116
11,2009-10-01,101.788151440116,101.788151440116
11,2010-01-01,56.4569489879777,56.4569489879777
11,2010-04-01,56.4569489879777,56.4569489879777
11,2010-07-01,82.9962162174853,82.9962162174853
11,2010-10-01,82.9962162174853,82.9962162174853
11,2011-01-01,80.958693891601,80.958693891601
11,2011-04-01,80.958693891601,80.958693891601
11,2011-07-01,49.1297897152073,49.1297897152073
11,2011-10-01,49.1297897152073,49.1297897152073
11,2012-01-01,203.733777874058,203.733777874058
11,2012-04-01,203.733777874058,203.733777874058
11,2012-07-01,80.417195559225,80.417195559225
11,2012-10-01,80.417195559225,80.417195559225
11,2013-01-01,86.7991988257732,86.7991988257732
11,2013-04-01,86.7991988257732,86.7991988257732
11,2013-07-01,210.965166650956,210.965166650956
11,2013-10-01,210.965166650956,210.965166650956
11,2014-01-01,226.420443560688,226.420443560688
11,2014-04-01,226.420443560688,226.420443560688
11,2014-07-01,378.306925435552,378.306925435552
11,2014-10-01,378.306925435552,378.306925435552
11,2015-01-01,364.45220893745,364.45220893745
11,2015-04-01,364.45220893745,364.45220893745
11,2015-07-01,187.684505256463,187.684505256463
11,2015-10-01,187.684505256463,187.684505256463
11,2016-01-01,143.376359171335,143.376359171335
11,2016-04-01,143.376359171335,143.376359171335
11,2016-07-01,119.428802444658,119.428802444658
11,2016-10-01,119.428802444658,119.428802444658
11,2017-01-01,124.971880753371,124.971880753371
11,2017-04-01,124.971880753371,124.971880753371
11,2017-07-01,65.4376270020606,65.4376270020606
11,2017-10-01,65.4376270020606,65.4376270020606
11,2018-01-01,83.3570511092876,83.3570511092876
11,2018-04-01,83.3570511092876,83.3570511092876
11,2018-07-01,52.6573019514423,52.6573019514423
11,2018-10-01,52.6573019514423,52.6573019514423
11,2019-01-01,69.8321970191716,69.8321970191716
11,2019-04-01,69.8321970191716,69.8321970191716
11,2019-07-01,32.2964955997457,32.2964955997457
11,2019-10-01,32.2964955997457,32.2964955997457
11,2020-01-01,109.149458597933,109.149458597933
11,2020-04-01,109.149458597933,109.149458597933
11,2020-07-01,88.1104054067981,88.1104054067981
11,2020-10-01,88.1104054067981,88.1104054067981
11,2021-01-01,167.478749151509,167.478749151509
11,2021-04-01,167.478749151509,167.478749151509
11,2021-07-01,98.4881605695707,98.4881605695707
11,2021-10-01,98.4881605695707,98.4881605695707
11,2022-01-01,30.3597402922701,30.3597402922701
11,2022-04-01,30.3597402922701,30.3597402922701
11,2022-07-01,48.8412287739194,48.8412287739194
11,2022-10-01,48.8412287739194,48.8412287739194
11,2023-01-01,40.7992248893431,40.7992248893431
11,2023-04-01,40.7992248893431,40.7992248893431
11,2023-07-01,70.3476709506824,70.3476709506824
11,2023-10-01,70.3476709506824,70.3476709506824
11,2024-01-01,106.589410091081,106.589410091081
11,2024-04-01,106.589410091081,106.589410091081
11,2024-07-01,135.694004887786,135.694004887786
11,2024-10-01,135.694004887786,135.694004887786
11,2025-01-01,114.728918042395,114.728918042395
11,2025-04-01,114.728918042395,114.728918042395
11,2025-07-01,124.720095692426,124.720095692426
11,2025-10-01,124.720095692426,124.720095692426
17,2013-07-01,1240.5979977787,1240.5979977787
17,2013-10-01,1240.5979977787,1240.5979977787
17,2014-01-01,974.419996667898,974.419996667898
17,2014-04-01,974.419996667898,974.419996667898
17,2014-07-01,1168.60975306112,1168.60975306112
17,2014-10-01,1168.60975306112,1168.60975306112
17,2015-01-01,751.065416957979,751.065416957979
17,2015-04-01,751.065416957979,751.065416957979
17,2015-07-01,470.889792490908,470.889792490908
17,2015-10-01,470.889792490908,470.889792490908
17,2016-01-01,504.135135403844,504.135135403844
17,2016-04-01,504.135135403844,504.135135403844
17,2016-07-01,695.462012892449,695.462012892449
17,2016-10-01,695.462012892449,695.462012892449
17,2017-01-01,331.945184216111,331.945184216111
17,2017-04-01,331.945184216111,331.945184216111
17,2017-07-01,287.866699311663,287.866699311663
17,2017-10-01,287.866699311663,287.866699311663
17,2018-01-01,422.147075393264,422.147075393264
17,2018-04-01,422.147075393264,422.147075393264
17,2018-07-01,274.446027745489,274.446027745489
17,2018-10-01,274.446027745489,274.446027745489
17,2019-01-01,180.390242156043,180.390242156043
17,2019-04-01,180.390242156043,180.390242156043
17,2019-07-01,118.668511951208,118.668511951208
17,2019-10-01,118.668511951208,118.668511951208
17,2020-01-01,199.747148795812,199.747148795812
17,2020-04-01,199.747148795812,199.747148795812
17,2020-07-01,326.355250594645,326.355250594645
17,2020-10-01,326.355250594645,326.355250594645
17,2021-01-01,228.215939175094,228.215939175094
17,2021-04-01,228.215939175094,228.215939175094
17,2021-07-01,244.333940806747,244.333940806747
17,2021-10-01,244.333940806747,244.333940806747
17,2022-01-01,127.606178582127,127.606178582127
17,2022-04-01,127.606178582127,127.606178582127
17,2022-07-01,243.742446059962,243.742446059962
17,2022-10-01,243.742446059962,243.742446059962
17,2023-01-01,201.042602179723,201.042602179723
17,2023-04-01,201.042602179723,201.042602179723
17,2023-07-01,298.877602249112,298.877602249112
17,2023-10-01,298.877602249112,298.877602249112
17,2024-01-01,196.28200072291,196.28200072291
17,2024-04-01,196.28200072291,196.28200072291
17,2024-07-01,269.02930750014,269.02930750014
17,2024-10-01,269.02930750014,269.02930750014
17,2025-01-01,300.551475195411,300.551475195411
17,2025-04-01,300.551475195411,300.551475195411
17,2025-07-01,218.76554954951,218.76554954951
17,2025-10-01,218.76554954951,218.76554954951
20,2013-07-01,129.432205961602,129.432205961602
20,2013-10-01,129.432205961602,129.432205961602
20,2014-01-01,101.87662504565,101.87662504565
20,2014-04-01,101.87662504565,101.87662504565
20,2014-07-01,135.18268706619,135.18268706619
20,2014-10-01,135.18268706619,135.18268706619
20,2015-01-01,293.709317955223,293.709317955223
20,2015-04-01,293.709317955223,293.709317955223
20,2015-07-01,180.515493676392,180.515493676392
20,2015-10-01,180.515493676392,180.515493676392
20,2016-01-01,122.713597906983,122.713597906983
20,2016-04-01,122.713597906983,122.713597906983
20,2016-07-01,143.40987967786,143.40987967786
20,2016-10-01,143.40987967786,143.40987967786
20,2017-01-01,150.880523258455,150.880523258455
20,2017-04-01,150.880523258455,150.880523258455
20,2017-07-01,215.739028146381,215.739028146381
20,2017-10-01,215.739028146381,215.739028146381
