fund_code,year,quarter,report_date,mgr_total_tenure_v2,log_fund_age,gender,education,CFA,school,AS_improved,ICI,industry_hhi,ICI_raw,industry_hhi_raw,ISDI,SDI,TO_two_sided,OCI_two_sided,total_buy,total_sell,ARG,return_volatility,de,pgr,plr,lsv,risk_asym,n_gain,n_loss,quarter_return,future_return,excess_return,RG,abs_return,ff3_adj_return,ff4_adj_return,ff5_adj_return,MKT_excess,SMB,HML,MOM,rf,ff5_MKT_excess,ff5_SMB,ff5_HML,ff5_RMW,ff5_CMA,ff5_RF,avg_aum,TO_wind,TO_wind_clean,sharpe8,sortino8,mppm8,rsstab,log_aum,ex,sharpe8_lag,sortino8_lag,mppm8_lag,rsstab_lag,oc_conf,alpha_q
11,2020,1,2020-04-01,1065.0,2.749660321237935,男,硕士,否,厦门大学,0.7452798554975917,0.103061,0.112705,0.026586,0.029074,0.330951365771799,,,,,,0.0221211577609467,,,,,0.1642768189308835,,,,-0.1600943643749083,0.1901380098547049,-0.1625943643749083,-0.2105732417662789,0.1600943643749083,0.0171349148926868,0.0002468754957617,-0.0084148888388725,-0.0669393001203791,-0.010742354130266,-0.0236504363426955,-0.0398160868484914,0.0025,-0.0815508045995108,0.0676415657078447,-0.0639494697939244,-0.0035560049293466,-0.0510078103996129,0.0039896966053394,37.03,109.149458597933,109.149458597933,,,,,3.6117283949255214,-0.1625943643749083,,,,,,-0.04602420666792681
11,2020,2,2020-07-01,1156.0,2.7654661214091227,男,硕士,否,厦门大学,0.948203015883598,0.06229,0.051926,0.049584,0.041335,0.1801762151284752,,,,,,0.0617734233400986,,0.0363636363636363,0.6363636363636364,0.6,0.0440064259618058,,,,0.1901380098547049,0.2400524857220884,0.1876380098547049,-0.1181189461701959,0.1901380098547049,0.0171349148926868,0.0002468754957617,-0.0084148888388725,0.0742880097946145,0.0079414004903473,-0.0334048297458239,0.0946845864187219,0.0025,0.1202213978122816,-0.0104279623124276,-0.1594389877849423,0.059865014309694,-0.0790681800330151,0.002592650501375,39.76,88.1104054067981,88.1104054067981,,,,,3.6828613817883733,0.18763800985470488,,,,,-0.0,-0.04014200375637142
11,2020,3,2020-10-01,1248.0,2.781195630189986,男,硕士,否,厦门大学,0.8177698478307971,0.07504,0.080087,0.028097,0.029986,0.0716761221501711,,,,,,0.0405471950992667,0.2221934540514183,,,,0.0117607514078166,,,,0.2400524857220884,0.1680033897063046,0.2375524857220884,0.1585059169330311,0.2400524857220884,0.0171349148926868,0.0002468754957617,-0.0084148888388725,-0.050010337474552,-0.0238599529669955,0.021135437471268,0.2033647441356879,0.0025,0.0986193007248001,0.0057437756309392,-0.0365939161415855,-0.0045854686690272,-0.0013686131614662,0.0045829870321277,49.03,88.1104054067981,88.1104054067981,,,,,3.892432355663142,0.2375524857220884,,,,,0.0,0.0884501855380676
11,2020,4,2021-01-01,1340.0,2.7966815481438667,男,硕士,否,厦门大学,0.9248962807713464,0.052573,0.048511,0.040242,0.037133,0.2979240304838331,,1.0,0.9285548371365654,534.5,195.15,0.048593326724981,0.1818545038795909,-0.4663865546218487,0.3571428571428571,0.8235294117647058,0.0237082869069783,,,,0.1680033897063046,0.016991411148429,0.1655033897063046,-0.0166590781853849,0.1680033897063046,0.0171349148926868,0.0002468754957617,-0.0084148888388725,0.0481097270864462,-0.0433052801557347,-0.0145525357641029,0.2599599555825196,0.0025,0.0772605072507496,-0.099022413113348,-0.0045306772734945,-1.633238474719849e-05,-0.0167140647187894,0.0048351696298313,71.38,167.478749151509,167.478749151509,0.5872273550719972,,0.2531502983890572,-0.0357942100475395,4.268017718062014,0.1655033897063046,,,,,79.3683437447109,0.02434386563692606
11,2021,1,2021-04-01,1430.0,2.8116022493538697,男,硕士,否,厦门大学,0.7961431857197621,0.066721,0.079902,0.024827,0.029732,0.0427590975268367,,,,,,0.0239674265522568,0.1600746438983195,,,,0.0203242314604677,,,,0.016991411148429,0.0236327689868918,0.014491411148429,0.0853500484238901,0.016991411148429,0.0171349148926868,0.0002468754957617,-0.0084148888388725,-0.0565402689946206,0.036712034687064,0.0031758350461555,0.3330840637955585,0.0025,-0.018387959935281,-0.0065251524063853,0.0952295006399945,0.060542839196871,0.0228005420949827,0.0043100105004975,53.09,167.478749151509,167.478749151509,0.5424845489319039,,0.2124390216797998,-0.086202053925244,3.97198858659558,0.014491411148429,0.5872273550719972,,0.2531502983890572,-0.0357942100475395,0.0,0.03406349288724637
11,2021,2,2021-07-01,1521.0,2.82646573246168,男,硕士,否,厦门大学,0.901846324938749,0.051891,0.057143,0.037394,0.041179,0.1099229282253407,,0.9925402164710188,0.8947851215123797,1207.0199999999998,527.98,0.0150933108135032,0.1443296534203399,-0.1591187270501836,0.631578947368421,0.7906976744186046,0.0676576297030198,,,,0.0236327689868918,-0.0444021402966924,0.0211327689868918,-0.1489319302936802,0.0236327689868918,0.0171349148926868,0.0002468754957617,-0.0084148888388725,-0.0226683556625908,0.0319371334778681,0.0171102431429312,0.241840489582544,0.0025,0.0673780057200432,0.0384436559068217,-0.1048621688642355,-0.0745216642484342,-0.001034167681472,0.0041494809108363,57.57,98.4881605695707,98.4881605695707,0.5203990373894385,,0.190353740772288,-0.0140521161070496,4.053001598687718,0.0211327689868918,0.5424845489319039,,0.2124390216797998,-0.086202053925244,-68.9905885819383,-0.055877096928555095
11,2021,3,2021-10-01,1613.0,2.841271281312659,男,硕士,否,厦门大学,0.7984065176086268,0.075309,0.08982,0.028456,0.033939,0.0588212579450228,,,,,,0.021240852498195,0.1376833146732795,,,,0.1102593487344711,0.0298128103879657,5.0,2.0,-0.0444021402966924,0.0526397446146007,-0.0469021402966924,-0.0129690739869105,0.0444021402966924,0.0171349148926868,0.0002468754957617,-0.0084148888388725,0.0101462613487154,-0.0335596793516158,-0.0310321590305567,0.0684583154306194,0.0025,-0.0054312421421896,0.0428321043629952,0.098892596846445,-0.0855277650769835,0.0455682688685867,0.0041862400495986,57.3,98.4881605695707,98.4881605695707,0.4150376147761548,,0.131106396136146,-0.0201020457923142,4.048300623720694,-0.0469021402966924,0.5203990373894385,,0.190353740772288,-0.0140521161070496,0.0,0.0017307396159899763
11,2021,4,2022-01-01,1705.0,2.855860820145486,男,硕士,否,厦门大学,0.935692969049484,0.068609,0.047453,0.057605,0.039842,0.1190404730151521,,0.473316900014061,-1.4556884108734396,1353.56,295.85,0.0534716857002832,0.127478623069039,0.0678571428571429,0.8,0.7321428571428571,0.0459507212230703,0.0253242447974638,6.0,2.0,0.0526397446146007,-0.2023082895686708,0.0501397446146007,-0.1172973830824178,0.0526397446146007,0.0171349148926868,0.0002468754957617,-0.0084148888388725,0.0199226856395226,-0.0077183422555258,-0.0520544129924097,-0.0466036410114274,0.0025,0.0312476592306879,0.1098661851352277,-0.0715511479143139,-0.0027746796229767,-0.0400899854222325,0.0041271866225277,54.08,30.3597402922701,30.3597402922701,0.439302375620924,,0.1390086933607204,-0.0492070169325249,3.9904644317347087,0.0501397446146007,0.4150376147761548,,0.131106396136146,-0.0201020457923142,-0.0,0.0038896357714135812
11,2022,1,2022-04-01,1795.0,2.8699301471096588,男,硕士,否,厦门大学,0.8219231778862981,0.119306,0.083375,0.052364,0.036594,0.2154316271963331,,,,,,0.0154476979334159,0.1361187757614722,,,,0.0385128178050467,0.0078495662184953,6.0,2.0,-0.2023082895686708,0.1624366214924253,-0.2048082895686708,-0.0095037885282692,0.2023082895686708,0.0171349148926868,0.0002468754957617,-0.0084148888388725,-0.0808668140227332,0.0012730951938115,0.0168792771246358,-0.1673966005746484,0.0025,-0.1190123728522933,0.0410961120889667,0.1902925160544236,-0.009162629710109,0.0804329496989201,0.0038432290142346,42.25,30.3597402922701,30.3597402922701,0.3704385333476913,,0.0979541923097614,-0.0731742522521008,3.7436043538031827,-0.2048082895686708,0.439302375620924,,0.1390086933607204,-0.0492070169325249,0.0,0.013489557084263054
11,2022,2,2022-07-01,1886.0,2.883957352059265,男,硕士,否,厦门大学,0.9316762237703962,0.070187,0.052308,0.059032,0.043995,0.1902450340799443,0.2416766460339419,0.5744612165966706,-0.9978179117191828,264.9,1585.79,0.0632728413947119,0.1320403696356147,-0.2826086956521739,0.5,0.782608695652174,0.0694462798224481,0.0032865026380387,6.0,2.0,0.1624366214924253,-0.1556843125105964,0.1599366214924253,0.1193280284231552,0.1624366214924253,0.0171349148926868,0.0002468754957617,-0.0084148888388725,0.0936728629814167,-0.0251764849763698,-0.0086261835432994,-0.1366764917328542,0.0025,0.0636232733132493,-0.0347702700586021,-0.1016987443082396,0.0267027744948271,-0.0566756914804945,0.0034473335806209,48.66,48.8412287739194,48.8412287739194,0.3547466394677766,,0.0889898727708769,-0.0407413034080356,3.8848573373553763,0.1599366214924253,0.3704385333476913,,0.0979541923097614,-0.0731742522521008,0.0,0.030347150804926643
