fund_code,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha_in,quarter_return,excess_return,abnormal_alpha,grp,score_pct
13312,1.2561482159668096,-0.23576703309790464,0.8196003379147613,0.693237826799108,-2.7770499556791,0.8444419414296775,0.10010188888889189,-0.0329288481962827,0.3138095780330053,0.31130957803300535,0.2617391839032432,Q4,0.6165644171779141
13369,1.1643375031097423,-0.16571178573627549,1.230879089127827,0.5814832428064225,-1.0019012769074414,1.3997423889004508,0.5348048602167875,-0.03099958216208546,0.31411992378998704,0.31161992378998704,0.17436488386598406,Q5最高,0.9355828220858896
13370,1.3323862088807346,-0.16596216849048112,1.230879089127827,0.584378062794541,-1.0425665474081003,1.3997423889004508,0.5564761723008287,-0.03200820037716563,0.31280266088337033,0.31030266088337033,0.17321819965912466,Q5最高,0.9386503067484663
13840,0.545508074733898,-0.7976290821801262,3.1604710250324546,1.7731202198549876,-0.8164768748252159,0.03767866530301578,0.6504453379865024,0.002087728863196914,0.3323272052060805,0.3298272052060805,0.2916898102403049,Q5最高,0.9662576687116564
13841,0.7336489291105189,-0.7882857652623301,3.108057045558353,1.7725182395463945,-0.8400908671618277,0.07633594603854177,0.6770305879716084,0.0016093680893817673,0.33164339878102017,0.32914339878102017,0.2908571237244597,Q5最高,0.9723926380368099
13949,1.0167152404968498,-0.8285116774773311,0.5401071496681914,0.007489531116265824,-1.5049474056285266,0.8014812750082685,0.00538901886395297,-0.014745059932944109,0.27355684860543683,0.27105684860543683,0.24566623186717962,Q3,0.5276073619631901
14282,1.345551410790776,-1.3541584370637372,0.6828828576639411,-0.4833846082761454,-2.165585928370984,0.4369581672061783,-0.2562894230083286,-0.025327065635546854,0.2591582503948487,0.25665825039484874,0.1567696571157769,Q2,0.24233128834355827
14319,1.0906653343404873,0.44275424139738717,3.197577851971462,0.9208698709866173,-0.41869028373002876,0.7512897093865746,0.9974111207254167,0.022267771087817707,0.28481220374959987,0.28231220374959987,0.3403681242778494,Q5最高,1.0
14320,0.7264161124526156,0.450669808554022,3.197577851971462,0.9447111545807194,-0.5087913234712569,0.6225633603541714,0.9055244940736221,0.0212740013755878,0.2835161860387001,0.2810161860387001,0.33870734203698766,Q5最高,0.9969325153374233
14497,1.2726118399777133,-1.2454926177879224,-0.8112288078517416,0.5806307960910135,-2.617750166964217,1.2122477718820681,-0.26816353077551436,-0.07470639464507599,0.28580011720887216,0.28330011720887216,0.3174244401070091,Q2,0.22699386503067484
14549,1.0615288805681333,-0.3455026509443989,0.06009989256834067,-0.03481323184276319,-1.6452062488856045,1.0230672875599456,0.019862321503942165,-0.01874951126248065,0.28343622058584056,0.28093622058584056,0.29375916238233685,Q3,0.5429447852760736
14611,0.8554088401873124,0.6937894882778326,0.7238006912903117,1.6851169582177297,-0.6719628049336778,1.1051183325935088,0.7318785842721697,0.008685734375729438,0.2729240524749938,0.2704240524749938,0.2573894329699484,Q5最高,0.9815950920245399
14612,1.205292099944506,0.6934673681731092,0.7238006912903117,1.6855628861248517,-0.7447303193251077,1.1051183325935088,0.7780851764668633,0.0071627494798649485,0.2709891065725763,0.2684891065725763,0.25557160292077913,Q5最高,0.9877300613496932
14833,0.7700831262081264,0.08237862414989104,1.4636433941471365,1.2520540054482472,-0.6483159780627669,1.2072964740168861,0.6878566076512534,0.023262756812936648,0.17603883540578194,0.17353883540578197,0.03545908351198732,Q5最高,0.9754601226993865
14989,1.2333149611468237,-0.10850449391536174,1.8602111358405717,1.357416124041764,-1.6251650450633088,0.823786506332721,0.5901765313972017,-0.011121259801215056,0.2774103995527659,0.27491039955276597,0.09079106606789655,Q5最高,0.9478527607361963
20018,-0.07556710121684666,-0.7876737365174104,-0.18960028064901013,-0.10866226876042556,0.4200368922166879,-0.4248222655466638,-0.19438146007894475,-0.0025036062549975303,0.22494933787736363,0.22244933787736362,0.22094560370687358,Q2,0.3006134969325153
40001,-0.5139930799215245,-0.8254094557475729,-0.08950618165830847,-0.49683413216349237,-0.40785635491292743,-0.5991017433080075,-0.4887834912853055,-0.01440369481950234,0.1951890855400141,0.1926890855400141,0.056132848965020854,Q1最低,0.06441717791411043
40008,-1.9166048445139758,0.09021276696857997,-0.732057197824986,-0.8003600999494312,-0.3870189296449551,-0.9697120491712907,-0.7859233923560098,-0.007256150179252694,0.06499223713462475,0.06249223713462474,0.012251309692223461,Q1最低,0.003067484662576687
40011,-0.574813914692557,-0.31516504616986296,-0.6995633886514301,-0.4447829703878443,0.7849837050679017,-0.4108487459572292,-0.2766983934651703,0.009607772135838837,0.10847593801829324,0.10597593801829323,0.020562253843544157,Q2,0.2085889570552147
40016,-0.43584764093249145,0.1397090565801679,-0.43049810538517275,0.2597242547382609,-0.23898991030563652,0.26207368673122033,-0.0739714430956086,0.0031806438071445013,0.11161870460622414,0.10911870460622412,0.07117333371096922,Q3,0.450920245398773
40025,-0.4510514002544033,0.38057165238154256,0.47178918012046867,-0.5296163343438419,0.9136029812106884,-0.8486051652527469,-0.010551514356382094,0.03285651481348085,0.22093013868402508,0.21843013868402508,0.17303160241286894,Q3,0.5153374233128835
50004,-0.6453921886616564,-0.10365900643385903,-0.6127143463283229,-0.4965981430732062,-1.149135484389373,-0.5095439188464738,-0.586173847955482,-0.016885278890621355,0.1651493998342908,0.1626493998342908,0.11940144959841568,Q1最低,0.024539877300613498
50009,-1.8125716127080154,-0.16021457033494468,0.43510958828052804,-0.16421295146180614,-0.07884017927736348,0.1576850182385058,-0.27050745121051595,0.011511589085305415,0.23967821556610178,0.23717821556610177,0.09987123948056076,Q2,0.21779141104294478
50010,-0.5564320070241598,0.12346941157328317,0.5280568591051865,-0.1568220997556977,0.00949652267808592,0.31565667260261765,0.04390422652988595,0.017384876815338613,0.24962957034370237,0.24712957034370234,0.09301120188830363,Q3,0.5705521472392638
70027,-0.38700308191720606,-0.3327543852053639,-0.1418442533908992,-0.4486180020721583,0.6647229238839003,-1.5059851744330777,-0.35858032885580077,0.00020446568573737178,0.09895231751209499,0.09645231751209499,0.05372948642200278,Q1最低,0.1411042944785276
100022,-1.1873645520199405,0.5755704696480448,-0.610759920511085,-0.20681996706384098,0.5529595377393551,-0.6961889588271142,-0.26210056517243013,0.020450782192752374,0.1994466243583786,0.19694662435837862,0.09808442635785908,Q2,0.2331288343558282
