fund_code,report_date,ISDI
11,2019-01-01,0.061622948909550584
11,2019-07-01,0.15628712082601337
11,2020-01-01,0.08070670176675446
11,2020-04-01,0.33095136577179907
11,2020-07-01,0.18017621512847523
11,2020-10-01,0.07167612215017116
11,2021-01-01,0.2979240304838331
11,2021-04-01,0.042759097526836765
11,2021-07-01,0.10992292822534078
11,2021-10-01,0.05882125794502285
11,2022-01-01,0.11904047301515214
11,2022-04-01,0.2154316271963331
11,2022-07-01,0.19024503407994436
11,2022-10-01,0.23459075544453373
11,2023-01-01,0.24857069543232163
11,2023-04-01,0.12223086481801337
11,2023-07-01,0.14111087282865103
11,2023-10-01,0.14335841751224504
11,2024-01-01,0.6339999526171199
11,2024-04-01,0.09358606096067842
11,2024-07-01,0.1181832364327369
11,2024-10-01,0.23871511467037065
11,2025-01-01,0.4287972823599919
11,2025-04-01,0.3695540748334187
11,2025-07-01,0.35766585311737287
11,2025-10-01,0.20990489265452467
11,2026-01-01,0.10079891458686019
11,2026-04-01,0.2385000582275532
11,2026-07-01,0.18821803959912
17,2019-01-01,0.0749173796860294
17,2019-07-01,0.3499984337792328
17,2020-01-01,0.32652911403935486
17,2020-04-01,0.4008221065129545
17,2020-07-01,0.33380824778582935
17,2020-10-01,0.6310986907114624
17,2021-01-01,0.0765485690395507
17,2021-04-01,0.6567685589519652
17,2021-07-01,0.5799629346996622
17,2021-10-01,0.4631831092874411
17,2022-01-01,0.3734135158092534
17,2022-04-01,0.22751340487566502
17,2022-07-01,0.2615052973137615
17,2022-10-01,0.38627325111227534
17,2023-01-01,0.15794112325057547
17,2023-04-01,0.1667981597587736
17,2023-07-01,0.6753580551094684
17,2023-10-01,0.3769881116978449
17,2024-01-01,0.3484182232420965
17,2024-04-01,0.2800176512074995
17,2024-07-01,0.39409530859334685
17,2024-10-01,0.20990239963199794
17,2025-01-01,0.4672342061878445
17,2025-04-01,0.08316109422492401
17,2025-07-01,0.4568765591419528
17,2025-10-01,0.047776913751895224
17,2026-01-01,0.1791418928939567
17,2026-04-01,0.1250924458531431
17,2026-07-01,0.0
20,2019-01-01,0.04154090660565746
20,2019-07-01,0.27401723495821906
20,2020-01-01,0.22766150249093237
20,2020-04-01,0.5096555694600132
20,2020-07-01,0.5209110633445349
20,2020-10-01,0.1540616388663862
20,2021-01-01,0.08726103177075906
20,2021-04-01,0.4169013100373004
20,2021-07-01,0.3183250981925316
20,2021-10-01,0.16356346870811836
20,2022-01-01,0.43774757753493265
20,2022-04-01,0.5446478515128401
20,2022-07-01,0.47106029476087996
20,2022-10-01,0.1318915828763615
20,2023-01-01,0.2611592338123488
20,2023-04-01,0.4100424565057495
20,2023-07-01,0.6777733811891811
20,2023-10-01,0.18671769667380833
20,2024-01-01,0.23190162105417234
20,2024-04-01,0.2922951626069299
20,2024-07-01,0.1528734823029735
20,2024-10-01,0.2935178441369264
20,2025-01-01,0.20982367758186393
20,2025-04-01,0.13238746902582374
20,2025-07-01,0.24272848331931596
20,2025-10-01,0.38285309400094475
20,2026-01-01,0.1348086259455798
20,2026-04-01,0.1620699131348519
20,2026-07-01,0.4488487321480618
21,2019-01-01,0.04717632337288544
21,2019-07-01,0.10095537016075717
21,2020-01-01,0.030534725128537776
21,2020-04-01,0.0930662534843329
21,2020-07-01,0.10824331391263686
21,2020-10-01,0.11383073168999423
21,2021-01-01,0.08606464931856288
21,2021-04-01,0.14697158572374136
21,2021-07-01,0.29405875342832416
21,2021-10-01,0.28442611640076854
21,2022-01-01,0.34058494057538746
21,2022-04-01,0.10669449332589395
21,2022-07-01,0.09636229965123369
21,2022-10-01,0.35326066824072694
21,2023-01-01,0.4269669465150292
21,2023-04-01,0.4371383880908757
21,2023-07-01,0.3965086902017614
21,2023-10-01,0.21064539010040156
21,2024-01-01,0.1536130869000617
21,2024-04-01,0.12820878136761887
21,2024-07-01,0.10279824748809831
21,2024-10-01,0.09559402657344834
21,2025-01-01,0.1546612050544048
21,2025-04-01,0.19250827940966236
21,2025-07-01,0.07846581618823623
21,2025-10-01,0.1417729887609404
21,2026-01-01,0.1136895772792633
21,2026-04-01,0.26995098655272093
21,2026-07-01,0.0
31,2019-01-01,0.5197652687396404
31,2019-07-01,0.30915877234262706
31,2020-01-01,0.2189426688277664
31,2020-04-01,0.18875741794840728
31,2020-07-01,0.2039586919104991
31,2020-10-01,0.09325569127770056
31,2021-01-01,0.0133432701281649
31,2021-04-01,0.13732631954989022
31,2021-07-01,0.10206063221490985
31,2021-10-01,0.19749235634374096
31,2022-01-01,0.10170350581789363
31,2022-04-01,0.19815885007806813
31,2022-07-01,0.18868464630307058
31,2022-10-01,0.09564537147295536
