year,quarter,399372_q_return,399373_q_return,399376_q_return,399377_q_return
2011,1,0.031330111440222685,,,
2011,2,-0.045004710891940025,-0.035824351919063,,
2011,3,-0.13189422551159535,-0.1327336573980003,,
2011,4,-0.1048463438258076,-0.0099182688986275,,
2012,1,0.06457597220071287,0.0421243921011833,,
2012,2,0.0500408591593029,0.0026841026596489,,
2012,3,-0.06616058562790283,-0.0610900454669508,,
2012,4,0.12573174841828827,0.205371306646876,,
2013,1,-0.024417985223264438,-0.0129040864650755,,
2013,2,-0.10418017364253318,-0.1158539279411803,,
2013,3,0.06641956014189776,0.0829325792493651,,
2013,4,-0.04665088729138467,-0.0164140008957534,,
2014,1,-0.07432490077307374,-0.0579758139740256,,
2014,2,0.0017139221294235618,0.0191504321078073,,
2014,3,0.07120105647489705,0.0856887437587492,,
2014,4,0.3785308018779461,0.6110612475079231,,
2015,1,0.12903826927682838,0.0567582535871407,,
2015,2,0.10822915195267635,0.1065455733014011,0.2479481290326137,0.2517116237611154
2015,3,-0.24127028216056146,-0.2463227750434972,-0.3126869972465174,-0.3449520793135683
2015,4,0.21251867315106443,0.1408965209883772,0.2821062675289376,0.2598673028308154
2016,1,-0.11666835091280747,-0.1020999228546397,-0.1850231468430713,-0.1716832485974754
2016,2,-0.01354579657553412,-0.0117736145797686,0.010366095503977,-0.0125983028090297
2016,3,0.02397074864280513,0.0468432259585629,0.0311596110335972,0.0626296795585661
2016,4,-0.011129885395239514,0.0296079545754468,-0.0412803154160789,0.0148011800600116
2017,1,0.027414950365435065,0.0519042850258222,-0.0248964188311487,0.025990160512846
2017,2,0.056292904423536294,0.1022068929663408,-0.0605566043096428,-0.0383003971713649
2017,3,0.0628170282104219,0.0314915017901442,0.049538802735261,0.0578090177660819
2017,4,-0.00624577160042783,0.0807599863961521,-0.0830703966062352,-0.0288990593633665
2018,1,-0.03476920818241691,-0.0280741698597679,0.0032228610136824,-0.0323560730838472
2018,2,-0.11676966246408549,-0.0886006380214532,-0.1751443105029506,-0.1128560050795098
2018,3,-0.10136081965957322,0.0404145943912732,-0.1330292455895322,-0.065276057413945
2018,4,-0.12234793593578452,-0.1105329454027935,-0.112962728626634,-0.0963779503502899
2019,1,0.3861693177951062,0.2055381806392715,0.3224255991572293,0.2902257863429374
2019,2,-0.023503594145161455,0.0101777051128015,-0.1188158659032445,-0.1061236856759147
2019,3,0.032781003731772174,-0.0366809046058077,0.0194577720439019,-0.0538217569986606
2019,4,0.08970205359232386,0.0757496597142974,0.0840701935889114,0.0494163529612246
2020,1,-0.06265061569370589,-0.1520593028085759,-0.0541735188609309,-0.0659627588217601
2020,2,0.24181743188683447,0.0305207626799306,0.1684035089694937,0.0925540321624718
2020,3,0.1380166533266809,0.0720770397499483,0.0266800571343757,0.0761732205725198
2020,4,0.20240633404269293,0.1022759209689785,0.0820738315265348,0.0341507674471355
2021,1,-0.033250035062923566,0.0231080371906964,0.0009126683925237,0.0469405992071227
2021,2,0.12736738009443282,-0.0574427725637357,0.1191246372590828,0.022499460714402
2021,3,-0.10577161254939949,-0.0550125716984692,0.0477929786733088,0.1538226870591879
2021,4,0.02906291163669872,0.0064120586361777,0.0533373741554927,-0.0243627485800125
2022,1,-0.19301008288948707,-0.03388844653774,-0.1844173196408747,-0.0532454627698373
2022,2,0.10122471534279076,-0.015586432902767,0.0244445974084079,-0.0294871155859044
2022,3,-0.20136173713164995,-0.1060930495898376,-0.1284681219186481,-0.1057683136732408
2022,4,0.011363141469197924,0.0322356358787532,-0.0052328674186061,0.0205113731461821
2023,1,0.04917130848328344,0.038879713100258,0.0840907461622371,0.077868786560286
2023,2,-0.11656601109044329,0.0186412728112455,-0.0708479738062131,-0.0404761123360175
2023,3,-0.06772243822789137,-0.0016697256505607,-0.0732282964755397,-0.011887197553532
2023,4,-0.07520351951106952,-0.0737654806197488,-0.0422406296244791,-0.0500183300895106
2024,1,-8.422962460519212e-05,0.0973138963275876,-0.0826227248791334,0.0321890366807611
2024,2,-0.06668958324013674,0.0358948432760364,-0.0693781712698307,-0.0392161896754233
2024,3,0.20307480920138699,0.1148919461853152,0.1608835369908772,0.1312536324343822
2024,4,-0.04179833197153948,0.0012239613689519,-0.0139522984886648,-0.0410444621273971
2025,1,-0.0055211515273678735,-0.016303250617735,0.0432807126083514,0.0054883221129349
2025,2,-0.026416483823314407,0.051070103824875,0.0019299397850285,-0.0047540597067028
2025,3,0.35024201540038646,-0.038611231900985,0.3264713432006261,0.1670499876157847
2025,4,-0.019624731755964797,0.0683233838098762,0.015756040455217,0.0146637191589322
2026,1,-0.027709106927769955,-0.0452912580593992,0.0227321392583634,0.013552786622859
2026,2,0.17006529288139216,-0.1100748639060195,0.2188649792017538,-0.0530837786462573
2026,3,-0.12462345680659348,0.0936261926007275,-0.1680595849915945,0.0271580739872405
