# 2026Q2 FF5月度因子（数据源：BetaPlus / factorwar.com 经与历史 vintage 100% 同源校准）
date,RF,MKT,SMB,HML,RMW,CMA
2026-04-30,0.000838,0.066354,0.00926,-0.072614,-0.038105,-0.027005
2026-05-31,0.000695,-0.00263,-0.033084,-0.057377,0.006525,-0.057759
2026-06-30,0.000817,0.006111,-0.057329,-0.109989,-0.042054,-0.081907

# 2026Q2 季度加总因子（按流水线06_因变量月度求和逻辑汇总）
year,quarter,report_date,ff5_RF,ff5_MKT_excess,ff5_SMB,ff5_HML,ff5_RMW,ff5_CMA,rf_const_quarterly
2026,2,2026-06-30,0.00235,0.06983500000000001,-0.081153,-0.23998,-0.073634,-0.166671,0.0025
