fund_code,year,report_period,turnover_rate,source
100022.OF,2016,2016,1002.0,mx-ds-mcp
100039.OF,2016,2016,214.2,mx-ds-mcp
100060.OF,2016,2016,932.1,mx-ds-mcp
110002.OF,2016,2016,474.1,mx-ds-mcp
110005.OF,2016,2016,538.2,mx-ds-mcp
110009.OF,2016,2016,381.8,mx-ds-mcp
110013.OF,2016,2016,533.2,mx-ds-mcp
110015.OF,2016,2016,468.2,mx-ds-mcp
110025.OF,2016,2016,228.7,mx-ds-mcp
110029.OF,2016,2016,83.58,mx-ds-mcp
121003.OF,2016,2016,896.7,mx-ds-mcp
570008.OF,2016,2016,342.6,mx-ds-mcp
580001.OF,2016,2016,400.3,mx-ds-mcp
580002.OF,2016,2016,454.1,mx-ds-mcp
580006.OF,2016,2016,1879.0,mx-ds-mcp
610006.OF,2016,2016,711.8,mx-ds-mcp
630001.OF,2016,2016,126.9,mx-ds-mcp
630002.OF,2016,2016,55.49,mx-ds-mcp
630010.OF,2016,2016,106.0,mx-ds-mcp
630011.OF,2016,2016,74.8,mx-ds-mcp
660005.OF,2016,2016,501.9,mx-ds-mcp
660015.OF,2016,2016,740.4,mx-ds-mcp
151001.OF,2016,2016,258.1,mx-ds-mcp
160605.OF,2016,2016,387.5,mx-ds-mcp
161606.OF,2016,2016,438.2,mx-ds-mcp
161810.OF,2016,2016,94.93,mx-ds-mcp
161903.OF,2016,2016,223.2,mx-ds-mcp
162006.OF,2016,2016,299.6,mx-ds-mcp
162201.OF,2016,2016,382.2,mx-ds-mcp
162204.OF,2016,2016,409.1,mx-ds-mcp
162209.OF,2016,2016,1058.0,mx-ds-mcp
162214.OF,2016,2016,507.4,mx-ds-mcp
162703.OF,2016,2016,200.2,mx-ds-mcp
163402.OF,2016,2016,160.4,mx-ds-mcp
163406.OF,2016,2016,144.6,mx-ds-mcp
163411.OF,2016,2016,1849.0,mx-ds-mcp
163412.OF,2016,2016,151.0,mx-ds-mcp
166001.OF,2016,2016,75.51,mx-ds-mcp
166005.OF,2016,2016,102.0,mx-ds-mcp
200012.OF,2016,2016,1747.0,mx-ds-mcp
202002.OF,2016,2016,384.3,mx-ds-mcp
202027.OF,2016,2016,187.3,mx-ds-mcp
206009.OF,2016,2016,477.0,mx-ds-mcp
210004.OF,2016,2016,351.8,mx-ds-mcp
210008.OF,2016,2016,524.5,mx-ds-mcp
213003.OF,2016,2016,151.9,mx-ds-mcp
213008.OF,2016,2016,153.2,mx-ds-mcp
240005.OF,2016,2016,302.4,mx-ds-mcp
240011.OF,2016,2016,339.6,mx-ds-mcp
240017.OF,2016,2016,306.7,mx-ds-mcp
202001.OF,2016,2016,370.2,mx-ds-mcp
240022.OF,2016,2016,273.7,mx-ds-mcp
257020.OF,2016,2016,269.6,mx-ds-mcp
257030.OF,2016,2016,100.8,mx-ds-mcp
257070.OF,2016,2016,245.8,mx-ds-mcp
260112.OF,2016,2016,115.9,mx-ds-mcp
260117.OF,2016,2016,500.3,mx-ds-mcp
310358.OF,2016,2016,275.0,mx-ds-mcp
270028.OF,2016,2016,273.9,mx-ds-mcp
290014.OF,2016,2016,385.2,mx-ds-mcp
320007.OF,2016,2016,188.6,mx-ds-mcp
340007.OF,2016,2016,157.8,mx-ds-mcp
360016.OF,2016,2016,367.1,mx-ds-mcp
370027.OF,2016,2016,753.0,mx-ds-mcp
375010.OF,2016,2016,656.2,mx-ds-mcp
377010.OF,2016,2016,64.36,mx-ds-mcp
377240.OF,2016,2016,651.3,mx-ds-mcp
378010.OF,2016,2016,490.0,mx-ds-mcp
379010.OF,2016,2016,707.3,mx-ds-mcp
400001.OF,2016,2016,199.8,mx-ds-mcp
460007.OF,2016,2016,235.4,mx-ds-mcp
470009.OF,2016,2016,388.9,mx-ds-mcp
470028.OF,2016,2016,446.6,mx-ds-mcp
470098.OF,2016,2016,81.05,mx-ds-mcp
481001.OF,2016,2016,143.7,mx-ds-mcp
481008.OF,2016,2016,108.5,mx-ds-mcp
481010.OF,2016,2016,48.03,mx-ds-mcp
481015.OF,2016,2016,196.0,mx-ds-mcp
519005.OF,2016,2016,838.8,mx-ds-mcp
519013.OF,2016,2016,1130.0,mx-ds-mcp
519018.OF,2016,2016,69.66,mx-ds-mcp
519026.OF,2016,2016,579.1,mx-ds-mcp
519089.OF,2016,2016,550.2,mx-ds-mcp
519110.OF,2016,2016,132.3,mx-ds-mcp
519158.OF,2016,2016,265.3,mx-ds-mcp
519181.OF,2016,2016,183.9,mx-ds-mcp
519185.OF,2016,2016,475.8,mx-ds-mcp
519670.OF,2016,2016,288.0,mx-ds-mcp
519672.OF,2016,2016,428.2,mx-ds-mcp
519674.OF,2016,2016,342.6,mx-ds-mcp
519688.OF,2016,2016,431.8,mx-ds-mcp
519698.OF,2016,2016,203.9,mx-ds-mcp
519704.OF,2016,2016,633.5,mx-ds-mcp
530019.OF,2016,2016,688.2,mx-ds-mcp
570001.OF,2016,2016,58.97,mx-ds-mcp
519679.OF,2016,2016,219.2,mx-ds-mcp
