证券代码,证券简称,日期,月涨跌幅
920077.BJ,吉林碳谷,20260831,-0.57347670250896
920077.BJ,吉林碳谷,20260830,-0.57347670250896
920077.BJ,吉林碳谷,20260829,-0.57347670250896
920077.BJ,吉林碳谷,20260828,-0.57347670250896
920077.BJ,吉林碳谷,20260827,-0.57347670250896
920077.BJ,吉林碳谷,20260826,-0.57347670250896
920077.BJ,吉林碳谷,20260825,-0.57347670250896
920077.BJ,吉林碳谷,20260824,-0.57347670250896
920077.BJ,吉林碳谷,20260823,-0.57347670250896
920077.BJ,吉林碳谷,20260822,-0.57347670250896
920077.BJ,吉林碳谷,20260821,-0.57347670250896
920077.BJ,吉林碳谷,20260820,-0.57347670250896
920077.BJ,吉林碳谷,20260819,-0.57347670250896
920077.BJ,吉林碳谷,20260818,-0.57347670250896
920077.BJ,吉林碳谷,20260817,-0.57347670250896
920077.BJ,吉林碳谷,20260816,-0.57347670250896
920077.BJ,吉林碳谷,20260815,-0.57347670250896
920077.BJ,吉林碳谷,20260814,-0.57347670250896
920077.BJ,吉林碳谷,20260813,-0.57347670250896
920077.BJ,吉林碳谷,20260812,-0.57347670250896
920077.BJ,吉林碳谷,20260811,-0.57347670250896
920077.BJ,吉林碳谷,20260810,-0.57347670250896
920077.BJ,吉林碳谷,20260809,-0.57347670250896
920077.BJ,吉林碳谷,20260808,-0.57347670250896
920077.BJ,吉林碳谷,20260807,-0.57347670250896
920077.BJ,吉林碳谷,20260806,-0.57347670250896
920077.BJ,吉林碳谷,20260805,-0.57347670250896
920077.BJ,吉林碳谷,20260804,-0.57347670250896
920077.BJ,吉林碳谷,20260803,-0.57347670250896
920077.BJ,吉林碳谷,20260802,-0.57347670250896
920077.BJ,吉林碳谷,20260801,-0.57347670250896
920077.BJ,吉林碳谷,20260731,-21.364148816234
920077.BJ,吉林碳谷,20260730,-21.364148816234
920077.BJ,吉林碳谷,20260729,-21.364148816234
920077.BJ,吉林碳谷,20260728,-21.364148816234
920077.BJ,吉林碳谷,20260727,-21.364148816234
920077.BJ,吉林碳谷,20260726,-21.364148816234
920077.BJ,吉林碳谷,20260725,-21.364148816234
920077.BJ,吉林碳谷,20260724,-21.364148816234
920077.BJ,吉林碳谷,20260723,-21.364148816234
920077.BJ,吉林碳谷,20260722,-21.364148816234
920077.BJ,吉林碳谷,20260721,-21.364148816234
920077.BJ,吉林碳谷,20260720,-21.364148816234
920077.BJ,吉林碳谷,20260719,-21.364148816234
920077.BJ,吉林碳谷,20260718,-21.364148816234
920077.BJ,吉林碳谷,20260717,-21.364148816234
920077.BJ,吉林碳谷,20260716,-21.364148816234
920077.BJ,吉林碳谷,20260715,-21.364148816234
920077.BJ,吉林碳谷,20260714,-21.364148816234
920077.BJ,吉林碳谷,20260713,-21.364148816234
920077.BJ,吉林碳谷,20260712,-21.364148816234
920077.BJ,吉林碳谷,20260711,-21.364148816234
920077.BJ,吉林碳谷,20260710,-21.364148816234
920077.BJ,吉林碳谷,20260709,-21.364148816234
920077.BJ,吉林碳谷,20260708,-21.364148816234
920077.BJ,吉林碳谷,20260707,-21.364148816234
920077.BJ,吉林碳谷,20260706,-21.364148816234
920077.BJ,吉林碳谷,20260705,-21.364148816234
920077.BJ,吉林碳谷,20260704,-21.364148816234
920077.BJ,吉林碳谷,20260703,-21.364148816234
920077.BJ,吉林碳谷,20260702,-21.364148816234
920077.BJ,吉林碳谷,20260701,-21.364148816234
920077.BJ,吉林碳谷,20260630,10.186335403727
920077.BJ,吉林碳谷,20260629,10.186335403727
920077.BJ,吉林碳谷,20260628,10.186335403727
920077.BJ,吉林碳谷,20260627,10.186335403727
920077.BJ,吉林碳谷,20260626,10.186335403727
920077.BJ,吉林碳谷,20260625,10.186335403727
920077.BJ,吉林碳谷,20260624,10.186335403727
920077.BJ,吉林碳谷,20260623,10.186335403727
920077.BJ,吉林碳谷,20260622,10.186335403727
920077.BJ,吉林碳谷,20260621,10.186335403727
920077.BJ,吉林碳谷,20260620,10.186335403727
920077.BJ,吉林碳谷,20260619,10.186335403727
920077.BJ,吉林碳谷,20260618,10.186335403727
920077.BJ,吉林碳谷,20260617,10.186335403727
920077.BJ,吉林碳谷,20260616,10.186335403727
920077.BJ,吉林碳谷,20260615,10.186335403727
920077.BJ,吉林碳谷,20260614,10.186335403727
920077.BJ,吉林碳谷,20260613,10.186335403727
920077.BJ,吉林碳谷,20260612,10.186335403727
920077.BJ,吉林碳谷,20260611,10.186335403727
920077.BJ,吉林碳谷,20260610,10.186335403727
920077.BJ,吉林碳谷,20260609,10.186335403727
920077.BJ,吉林碳谷,20260608,10.186335403727
920077.BJ,吉林碳谷,20260607,10.186335403727
920077.BJ,吉林碳谷,20260606,10.186335403727
920077.BJ,吉林碳谷,20260605,10.186335403727
920077.BJ,吉林碳谷,20260604,10.186335403727
920077.BJ,吉林碳谷,20260603,10.186335403727
920077.BJ,吉林碳谷,20260602,10.186335403727
920077.BJ,吉林碳谷,20260601,10.186335403727
920077.BJ,吉林碳谷,20260531,-11.000552791598
920077.BJ,吉林碳谷,20260530,-11.000552791598
920077.BJ,吉林碳谷,20260529,-11.000552791598
920077.BJ,吉林碳谷,20260528,-11.000552791598
920077.BJ,吉林碳谷,20260527,-11.000552791598
920077.BJ,吉林碳谷,20260526,-11.000552791598
920077.BJ,吉林碳谷,20260525,-11.000552791598
920077.BJ,吉林碳谷,20260524,-11.000552791598
920077.BJ,吉林碳谷,20260523,-11.000552791598
920077.BJ,吉林碳谷,20260522,-11.000552791598
920077.BJ,吉林碳谷,20260521,-11.000552791598
920077.BJ,吉林碳谷,20260520,-11.000552791598
920077.BJ,吉林碳谷,20260519,-11.000552791598
920077.BJ,吉林碳谷,20260518,-11.000552791598
920077.BJ,吉林碳谷,20260517,-11.000552791598
920077.BJ,吉林碳谷,20260516,-11.000552791598
920077.BJ,吉林碳谷,20260515,-11.000552791598
920077.BJ,吉林碳谷,20260514,-11.000552791598
920077.BJ,吉林碳谷,20260513,-11.000552791598
920077.BJ,吉林碳谷,20260512,-11.000552791598
920077.BJ,吉林碳谷,20260511,-11.000552791598
920077.BJ,吉林碳谷,20260510,-11.000552791598
920077.BJ,吉林碳谷,20260509,-11.000552791598
920077.BJ,吉林碳谷,20260508,-11.000552791598
920077.BJ,吉林碳谷,20260507,-11.000552791598
920077.BJ,吉林碳谷,20260506,-11.000552791598
