stock_code,bench_weight,benchmark
000001,0.00433,000300
000002,0.0008699999999999999,000300
000063,0.00418,000300
000100,0.00378,000300
000157,0.00145,000300
000166,0.0016200000000000001,000300
000301,0.0011899999999999999,000300
000333,0.01634,000300
000338,0.00577,000300
000408,0.00243,000300
000425,0.0028199999999999996,000300
000538,0.00181,000300
000568,0.0025700000000000002,000300
000596,0.0006,000300
000617,0.0007000000000000001,000300
000625,0.0015,000300
000630,0.00192,000300
000651,0.0072699999999999996,000300
000657,0.0017299999999999998,000300
000708,0.00058,000300
000725,0.00769,000300
000768,0.00113,000300
000776,0.00242,000300
000792,0.00333,000300
000807,0.00213,000300
000858,0.005809999999999999,000300
000895,0.00104,000300
000938,0.00306,000300
000963,0.00098,000300
000975,0.00149,000300
000977,0.0028299999999999996,000300
000988,0.00368,000300
000999,0.00066,000300
001280,0.0004,000300
001391,0.00025,000300
001965,0.00079,000300
001979,0.00096,000300
002001,0.0017699999999999999,000300
002027,0.00218,000300
002028,0.00374,000300
002049,0.0017000000000000001,000300
002050,0.00322,000300
002074,0.0011899999999999999,000300
002142,0.00404,000300
002179,0.00166,000300
002202,0.0019500000000000001,000300
002230,0.00311,000300
002236,0.00126,000300
002241,0.0022,000300
002304,0.00099,000300
002311,0.00156,000300
002352,0.00322,000300
002353,0.00318,000300
002371,0.01141,000300
002384,0.00844,000300
002415,0.0053,000300
002422,0.0018599999999999999,000300
002460,0.00215,000300
002463,0.00536,000300
002466,0.0018,000300
002475,0.01125,000300
002493,0.0014199999999999998,000300
002532,0.00164,000300
002558,0.00149,000300
002594,0.00998,000300
002600,0.0017399999999999998,000300
002602,0.00306,000300
002625,0.0020399999999999997,000300
002648,0.00164,000300
002709,0.00196,000300
002714,0.00411,000300
002736,0.00122,000300
002837,0.0013900000000000002,000300
002916,0.00322,000300
002920,0.00106,000300
002938,0.00217,000300
003816,0.00125,000300
300014,0.00317,000300
300015,0.0016200000000000001,000300
300033,0.00271,000300
300059,0.0098,000300
300122,0.0006,000300
300124,0.00466,000300
300251,0.00067,000300
300274,0.0057599999999999995,000300
300308,0.038599999999999995,000300
300316,0.00097,000300
300394,0.0042899999999999995,000300
300408,0.00575,000300
300413,0.00047,000300
300418,0.00149,000300
300433,0.00241,000300
300442,0.00199,000300
300450,0.0014199999999999998,000300
300476,0.00446,000300
300498,0.0028799999999999997,000300
300502,0.02119,000300
300628,0.0007599999999999999,000300
300661,0.0016,000300
300750,0.040119999999999996,000300
300760,0.0037,000300
300803,0.00116,000300
300832,0.0007199999999999999,000300
300866,0.001,000300
300896,0.00063,000300
300999,0.00062,000300
301165,0.00061,000300
301236,0.00091,000300
301269,0.00073,000300
301308,0.00338,000300
302132,0.00066,000300
600000,0.00486,000300
600009,0.0011799999999999998,000300
600010,0.00194,000300
600011,0.00121,000300
600015,0.0017000000000000001,000300
600016,0.00345,000300
600018,0.00061,000300
600019,0.0020499999999999997,000300
600023,0.00078,000300
600025,0.0007199999999999999,000300
600026,0.00108,000300
600027,0.00073,000300
600028,0.00294,000300
600029,0.00109,000300
600030,0.01065,000300
600031,0.00468,000300
600036,0.01882,000300
600039,0.0009,000300
600048,0.00146,000300
600050,0.00268,000300
600061,0.00064,000300
600066,0.00164,000300
600085,0.0006900000000000001,000300
600089,0.00406,000300
600104,0.002,000300
600111,0.00386,000300
600115,0.00122,000300
600118,0.0013,000300
600150,0.0060999999999999995,000300
600160,0.0020499999999999997,000300
600176,0.0034899999999999996,000300
600183,0.0059099999999999995,000300
600188,0.0013900000000000002,000300
600196,0.00113,000300
600219,0.00125,000300
600221,0.00135,000300
600233,0.00124,000300
600276,0.00927,000300
600309,0.005370000000000001,000300
600346,0.00135,000300
600362,0.00172,000300
600372,0.00105,000300
600406,0.00375,000300
600415,0.00135,000300
600426,0.00159,000300
600436,0.00161,000300
600438,0.00121,000300
600460,0.00126,000300
600482,0.00116,000300
600489,0.0025700000000000002,000300
600515,0.00064,000300
600519,0.03239,000300
600522,0.00299,000300
600547,0.00196,000300
600549,0.00201,000300
600570,0.00133,000300
600584,0.00361,000300
600585,0.0017100000000000001,000300
600588,0.0008699999999999999,000300
600600,0.0007599999999999999,000300
600660,0.00367,000300
600674,0.0011799999999999998,000300
600690,0.00334,000300
600741,0.0010199999999999999,000300
600760,0.00189,000300
600795,0.0017399999999999998,000300
600803,0.00063,000300
600809,0.0023799999999999997,000300
600845,0.00061,000300
600875,0.00147,000300
600886,0.0014099999999999998,000300
600887,0.00658,000300
600893,0.00178,000300
600900,0.01366,000300
600905,0.00214,000300
600918,0.0006900000000000001,000300
600919,0.00666,000300
600926,0.0032,000300
600930,0.00054,000300
600938,0.00296,000300
600941,0.00337,000300
600958,0.00184,000300
600989,0.00197,000300
600999,0.0025,000300
601006,0.00227,000300
601009,0.0027600000000000003,000300
601012,0.00302,000300
601018,0.00052,000300
601021,0.0008799999999999999,000300
601058,0.0014299999999999998,000300
601059,0.00062,000300
601066,0.00128,000300
601077,0.0013800000000000002,000300
601088,0.00482,000300
601100,0.00223,000300
601111,0.0011200000000000001,000300
601117,0.0011,000300
601127,0.0019500000000000001,000300
601136,0.00031,000300
601138,0.00864,000300
601166,0.01228,000300
601169,0.00296,000300
601186,0.00113,000300
601211,0.00796,000300
601225,0.00369,000300
601229,0.00361,000300
601238,0.00047,000300
601288,0.0076100000000000004,000300
601318,0.02246,000300
601319,0.0009,000300
601328,0.00735,000300
601336,0.00202,000300
601360,0.00125,000300
601377,0.0016,000300
601390,0.00181,000300
601398,0.00992,000300
601456,0.00109,000300
601600,0.00291,000300
601601,0.00425,000300
601607,0.0007199999999999999,000300
601618,0.00075,000300
601628,0.00253,000300
601633,0.0008,000300
601658,0.00219,000300
601668,0.00373,000300
601669,0.0016200000000000001,000300
601688,0.0044,000300
601689,0.00156,000300
601698,0.00123,000300
601727,0.00167,000300
601728,0.00375,000300
601766,0.0028799999999999997,000300
601788,0.00111,000300
601800,0.00086,000300
601816,0.0057799999999999995,000300
601818,0.00226,000300
601825,0.00191,000300
601838,0.00181,000300
601857,0.00551,000300
601868,0.0014000000000000002,000300
601872,0.00208,000300
601877,0.00104,000300
601878,0.00101,000300
601881,0.00105,000300
601888,0.00217,000300
601898,0.00097,000300
601899,0.02084,000300
601901,0.0011200000000000001,000300
601916,0.0017499999999999998,000300
601919,0.00377,000300
601939,0.0035299999999999997,000300
601985,0.0028599999999999997,000300
601988,0.00333,000300
601995,0.00158,000300
601998,0.00159,000300
603019,0.00469,000300
603259,0.012190000000000001,000300
603260,0.00046,000300
603288,0.00246,000300
603296,0.0017699999999999999,000300
603369,0.00082,000300
603392,0.00045,000300
603501,0.0028799999999999997,000300
603799,0.00232,000300
603893,0.0015199999999999999,000300
603986,0.0097,000300
603993,0.006540000000000001,000300
605117,0.0016,000300
605499,0.0014099999999999998,000300
688008,0.00901,000300
688009,0.0005099999999999999,000300
688012,0.00989,000300
688036,0.0014199999999999998,000300
688041,0.00988,000300
688047,0.00082,000300
688072,0.00505,000300
688082,0.00151,000300
688111,0.0024,000300
688126,0.00149,000300
688183,0.00121,000300
688223,0.00068,000300
688256,0.01333,000300
688271,0.00219,000300
688303,0.00045,000300
688396,0.00111,000300
688472,0.0005899999999999999,000300
688506,0.00094,000300
688521,0.00312,000300
688981,0.009689999999999999,000300
000009,0.00151,000905
000021,0.00437,000905
000027,0.00099,000905
000032,0.0008799999999999999,000905
000034,0.00209,000905
000039,0.0017000000000000001,000905
000050,0.00101,000905
000060,0.00209,000905
000062,0.00097,000905
000088,0.00099,000905
000155,0.00169,000905
000400,0.0017299999999999998,000905
000415,0.0018,000905
000423,0.00262,000905
000429,0.0008100000000000001,000905
000513,0.00117,000905
000519,0.00128,000905
000528,0.0015199999999999999,000905
000537,0.00068,000905
000539,0.00053,000905
000559,0.00159,000905
000582,0.00133,000905
000591,0.00132,000905
000598,0.00117,000905
000623,0.00187,000905
000629,0.00153,000905
000661,0.0028199999999999996,000905
000683,0.00166,000905
000703,0.00328,000905
000709,0.00094,000905
000723,0.0011899999999999999,000905
000728,0.0020499999999999997,000905
000729,0.00194,000905
000733,0.00169,000905
000737,0.00136,000905
000738,0.00127,000905
000739,0.00125,000905
000750,0.00183,000905
000783,0.0030399999999999997,000905
000785,0.0006,000905
000786,0.0021,000905
000800,0.0010199999999999999,000905
000825,0.0008799999999999999,000905
000830,0.00154,000905
000831,0.00379,000905
000878,0.00245,000905
000883,0.00107,000905
000887,0.00145,000905
000893,0.00306,000905
000898,0.00052,000905
000921,0.00135,000905
000932,0.0014399999999999999,000905
000937,0.0005899999999999999,000905
000951,0.00145,000905
000959,0.00064,000905
000960,0.00359,000905
000967,0.0011200000000000001,000905
000983,0.00197,000905
000987,0.00126,000905
000997,0.0014199999999999998,000905
001203,0.00169,000905
001221,0.00017,000905
001286,0.00084,000905
001309,0.00653,000905
001386,0.00017,000905
001389,0.0025800000000000003,000905
001696,0.00121,000905
002007,0.00157,000905
002008,0.0074199999999999995,000905
002025,0.00179,000905
002032,0.00074,000905
002044,0.0016,000905
002056,0.0018,000905
002064,0.00232,000905
002065,0.0017299999999999998,000905
002078,0.0026,000905
002085,0.00168,000905
002120,0.00107,000905
002126,0.0034699999999999996,000905
002130,0.0022400000000000002,000905
002131,0.00336,000905
002138,0.00368,000905
002152,0.00136,000905
002153,0.00074,000905
002155,0.00269,000905
002157,0.00231,000905
002185,0.00438,000905
002195,0.00411,000905
002203,0.00269,000905
002223,0.0018,000905
002244,0.00123,000905
002252,0.00255,000905
002261,0.0034799999999999996,000905
002262,0.0014399999999999999,000905
002265,0.00064,000905
002266,0.00154,000905
002271,0.00242,000905
002273,0.00375,000905
002281,0.00834,000905
002299,0.00111,000905
002312,0.0010199999999999999,000905
002318,0.00147,000905
002335,0.0016,000905
002340,0.00364,000905
002402,0.00198,000905
002407,0.0039900000000000005,000905
002409,0.00407,000905
002410,0.00166,000905
002414,0.0023,000905
002423,0.00091,000905
002429,0.00179,000905
002430,0.0012,000905
002432,0.0023799999999999997,000905
002436,0.00498,000905
002444,0.00229,000905
002461,0.00043,000905
002465,0.00212,000905
002472,0.0027800000000000004,000905
002487,0.00161,000905
002500,0.00124,000905
002508,0.0008,000905
002517,0.00313,000905
002568,0.00114,000905
002583,0.00096,000905
002601,0.00291,000905
002603,0.0015,000905
002608,0.0006,000905
002624,0.00159,000905
002670,0.00075,000905
002673,0.00193,000905
002683,0.00136,000905
002738,0.00362,000905
002739,0.00156,000905
002756,0.00181,000905
002773,0.0008500000000000001,000905
002797,0.00294,000905
002812,0.0033,000905
002821,0.0032500000000000003,000905
002831,0.0014399999999999999,000905
002841,0.00201,000905
002850,0.00377,000905
002851,0.00462,000905
002926,0.0014099999999999998,000905
002939,0.0014299999999999998,000905
002945,0.00042,000905
002966,0.004050000000000001,000905
002984,0.00098,000905
003021,0.0008,000905
003022,0.0008,000905
003031,0.00182,000905
003035,0.00067,000905
300001,0.0027600000000000003,000905
300002,0.00179,000905
300003,0.0018,000905
300012,0.0025800000000000003,000905
300017,0.00373,000905
300024,0.0020499999999999997,000905
300037,0.0035199999999999997,000905
300054,0.005580000000000001,000905
300058,0.00549,000905
300073,0.00193,000905
300100,0.00082,000905
300115,0.0027900000000000004,000905
300136,0.0059299999999999995,000905
300140,0.00055,000905
300142,0.0021,000905
300144,0.00106,000905
300146,0.00113,000905
300207,0.003,000905
300223,0.00523,000905
300285,0.00527,000905
300339,0.0032,000905
300346,0.00356,000905
300373,0.00292,000905
300383,0.00207,000905
300390,0.00336,000905
300395,0.0032600000000000003,000905
300432,0.0017100000000000001,000905
300454,0.0033,000905
300458,0.00249,000905
300474,0.0020499999999999997,000905
300475,0.00511,000905
300487,0.00159,000905
300496,0.0023799999999999997,000905
300548,0.0035299999999999997,000905
300558,0.00155,000905
300567,0.0039900000000000005,000905
300570,0.00193,000905
300604,0.01229,000905
300620,0.0032700000000000003,000905
300623,0.00124,000905
300627,0.00168,000905
300666,0.0046,000905
300676,0.0011899999999999999,000905
300677,0.00246,000905
300679,0.00116,000905
300699,0.00161,000905
300718,0.0010299999999999999,000905
300724,0.0017000000000000001,000905
300735,0.0008100000000000001,000905
300748,0.00187,000905
300751,0.00266,000905
300757,0.0052,000905
300759,0.00406,000905
300763,0.0015199999999999999,000905
300857,0.00788,000905
300888,0.0007599999999999999,000905
300919,0.00203,000905
300953,0.0014000000000000002,000905
300957,0.00078,000905
300972,0.0023,000905
301200,0.00214,000905
301301,0.00062,000905
301358,0.0034200000000000003,000905
301377,0.00307,000905
301498,0.00057,000905
301526,0.00386,000905
301536,0.00203,000905
301606,0.0007099999999999999,000905
301611,0.00157,000905
600004,0.0008699999999999999,000905
600008,0.0013800000000000002,000905
600021,0.00218,000905
600032,0.0005600000000000001,000905
600038,0.00117,000905
600060,0.00227,000905
600062,0.0007199999999999999,000905
600095,0.00106,000905
600098,0.0007199999999999999,000905
600100,0.00178,000905
600105,0.0039900000000000005,000905
600109,0.00242,000905
600126,0.00094,000905
600131,0.001,000905
600132,0.0012,000905
600141,0.0025900000000000003,000905
600143,0.0035199999999999997,000905
600153,0.00167,000905
600157,0.00367,000905
600161,0.00135,000905
600166,0.00159,000905
600170,0.00135,000905
600171,0.0013900000000000002,000905
600177,0.00193,000905
600208,0.0013,000905
600256,0.0026,000905
600282,0.00132,000905
600292,0.00065,000905
600295,0.0008100000000000001,000905
600298,0.00271,000905
