fund_code,year,quarter,industry_hhi,hhi_normalized,ICI,ICI_normalized,industry_count,industry_max_pct,total_weight_pct
20,2025,1,0.018372,0.118588,0.023379,0.150911,7,12.36,39.36
20,2025,2,0.029321,0.04089,0.061444,0.085688,15,18.44,84.68
20,2025,3,0.01571,0.10604,0.020074,0.135501,7,10.2,38.49
20,2025,4,0.024269,0.030937,0.084859,0.108175,19,22.65,88.57
20,2026,1,0.012447,0.105736,0.016817,0.142863,6,7.7,34.31
20,2026,2,0.017526,0.105078,0.039954,0.239545,4,15.33,40.84
21,2018,2,0.011462,0.016202,0.073779,0.104289,24,26.52,84.11
21,2018,4,0.008763,0.017107,0.024753,0.048324,27,12.92,71.57
21,2019,2,0.011864,0.019927,0.039866,0.066961,24,13.84,77.16
21,2019,4,0.020278,0.023818,0.049832,0.058531,23,18.72,92.27
21,2020,1,0.011361,0.099559,0.015937,0.139666,10,10.62,33.78
21,2020,2,0.022703,0.026523,0.089441,0.104488,25,23.17,92.52
21,2020,3,0.015904,0.108139,0.036073,0.245275,6,17.34,38.35
21,2020,4,0.023021,0.027092,0.062918,0.074046,27,19.2,92.18
21,2021,1,0.012412,0.11288,0.017012,0.154713,9,11.4,33.16
21,2021,2,0.022504,0.027075,0.088358,0.106302,30,23.72,91.17
21,2021,3,0.012959,0.115607,0.030654,0.273478,6,15.93,33.48
21,2021,4,0.015507,0.018656,0.076779,0.092372,28,20.95,91.17
21,2022,1,0.010178,0.117428,0.022369,0.258094,5,11.44,29.44
21,2022,2,0.014235,0.017331,0.088814,0.108128,24,24.16,90.63
21,2022,3,0.008801,0.113476,0.017264,0.222581,6,11.62,27.85
21,2022,4,0.012656,0.015409,0.071181,0.08666,28,18.81,90.63
21,2023,1,0.009332,0.115707,0.019606,0.243083,5,11.62,28.4
21,2023,2,0.011625,0.01506,0.070199,0.090939,28,22.18,87.86
21,2023,3,0.007251,0.092952,0.015799,0.202528,6,10.7,27.93
21,2023,4,0.012284,0.015179,0.110599,0.136664,25,30.7,89.96
21,2024,1,0.008335,0.103342,0.025962,0.321887,5,15.47,28.4
21,2024,2,0.013411,0.017185,0.102424,0.131246,23,29.0,88.34
21,2024,3,0.010222,0.101467,0.026888,0.266894,6,15.03,31.74
21,2024,4,0.012849,0.016698,0.068563,0.089103,24,16.39,87.72
21,2025,1,0.009382,0.098199,0.01989,0.208183,5,10.12,30.91
21,2025,2,0.01397,0.021083,0.083157,0.125502,18,22.49,81.4
21,2025,3,0.007801,0.103977,0.01481,0.197414,6,10.01,27.39
21,2025,4,0.012351,0.019507,0.093396,0.147512,17,29.08,79.57
21,2026,1,0.008668,0.106864,0.029449,0.363072,4,16.29,28.48
21,2026,2,0.018733,0.111168,0.103515,0.614294,3,32.38,41.05
31,2018,2,0.035535,0.048181,0.127427,0.172773,17,27.07,85.88
31,2018,4,0.021369,0.033356,0.042914,0.066986,19,12.83,80.04
31,2019,2,0.040744,0.051682,0.091089,0.115542,18,26.59,88.79
31,2019,4,0.039321,0.046457,0.156863,0.18533,17,33.26,92.0
31,2020,1,0.024167,0.073249,0.068681,0.208164,7,20.54,57.44
31,2020,2,0.042079,0.048694,0.107068,0.123899,18,23.93,92.96
31,2020,3,0.03529,0.080916,0.076136,0.174573,8,23.39,66.04
31,2020,4,0.04165,0.047663,0.078569,0.089911,24,20.95,93.48
31,2021,1,0.030931,0.0971,0.035337,0.110932,8,12.35,56.44
31,2021,2,0.054689,0.063655,0.082873,0.09646,24,20.41,92.69
31,2021,3,0.047142,0.096236,0.063216,0.129049,9,20.27,69.99
31,2021,4,0.048906,0.058059,0.085769,0.10182,19,18.56,91.78
31,2022,1,0.040128,0.093761,0.059188,0.138297,8,16.03,65.42
31,2022,2,0.045531,0.062357,0.113378,0.155277,14,25.42,85.45
31,2022,3,0.036158,0.087809,0.060596,0.147158,7,13.99,64.17
31,2022,4,0.043226,0.05027,0.088535,0.102962,18,19.51,92.73
31,2023,1,0.039848,0.084676,0.05027,0.106822,8,12.99,68.6
31,2023,2,0.051114,0.058794,0.077927,0.089636,19,17.0,93.24
31,2023,3,0.049404,0.096936,0.05615,0.110173,8,14.92,71.39
31,2023,4,0.056298,0.064994,0.081015,0.093529,21,15.52,93.07
31,2024,1,0.053204,0.108487,0.062164,0.126757,8,16.51,70.03
31,2024,2,0.060616,0.071198,0.091368,0.107318,13,17.27,92.27
31,2024,3,0.057048,0.106905,0.061113,0.114523,8,15.59,73.05
