fund_code,基金经理,基金简称,典型定位,fund_code,report_date,year,quarter,quarter_return,excess_return,ff5_adj_return,ARG,total_buy,total_sell,pgr,plr,TO_wind_clean,TO_two_sided,ICI,industry_hhi,ISDI,SDI,de,oc_conf,risk_asym,anchor_high,timing,mppm8_lag,sortino8_lag,sharpe8_lag,return_volatility,lsv,avg_aum,log_aum,mgr_total_tenure_v2,log_fund_age
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2022-10-01,2022,3,-0.0033,-0.0058,0.0667092488602562,,,,,,,,,,,,,,,,2.566757422320225,,,,,,1.32,0.2776317365982795,37.0,-2.289746270137261
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2023-01-01,2022,4,-0.0630079261563154,-0.0655079261563154,0.0667092488602562,,,,,,299.975154053228,,0.224314,0.125174,,,,,,0.6707725762950548,2.566757422320225,,,,,,0.25,0.0,129.0,-1.0408517784198132
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2023-04-01,2023,1,-0.0977620730270909,-0.1002620730270909,0.0667092488602562,0.1799762507704575,,,,,299.975154053228,,0.587311,0.106153,0.7770424266189733,,,0.0,,0.8631912962352791,2.566757422320225,,,,0.0477772093701221,0.0228669878683339,0.22,0.0,219.0,-0.5115924529649846
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2023-07-01,2023,2,-0.1329219083788271,-0.1354219083788271,0.0667092488602562,0.1666698710530701,,,1.0,0.7142857142857143,408.136402905653,,0.246043,0.050111,0.710239797831856,,0.2857142857142857,0.0,,0.8306232352600984,2.566757422320225,,,,0.0552433921200225,0.0521803934878444,0.17,0.0,310.0,-0.1640918853022934
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2023-10-01,2023,3,-0.1683547768957026,-0.1708547768957026,0.0667092488602562,0.0853717722693075,,,,,408.136402905653,,0.365763,0.112035,0.502605976698311,,,0.0,,0.7850250185991327,2.566757422320225,-0.3343073897645074,-1.389269810293594,-1.389269810293594,0.0637188531059416,0.0334195573320996,0.13,0.0,402.0,0.0957879058375356
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2024-01-01,2023,4,-0.076201448321263,-0.078701448321263,0.0667092488602562,0.092656618560744,,,1.0,0.8461538461538461,224.321661922396,,0.164629,0.047528,1.1858234328764867,,0.1538461538461538,-0.0,,0.7942817628044548,2.566757422320225,-0.424030543190309,-1.4998596527261658,-1.4998596527261658,0.0574063997917137,0.0556768433865848,0.11,0.0,494.0,0.301871334406437
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2024-04-01,2024,1,-0.0965615535364332,-0.0990615535364332,0.0667092488602562,0.5124134588893079,,,,,224.321661922396,,0.23726,0.10733,0.1220422042021329,,,0.0,,0.8960297964794873,2.566757422320225,-0.4081873834514911,-1.615813262396148,-1.615813262396148,0.0524587644966827,0.1089427158045998,0.09,0.0,585.0,0.4709476644503709
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2024-07-01,2024,2,0.0936698875961352,0.0911698875961352,0.0667092488602562,0.2118782322743145,,,0.3333333333333333,1.0,202.099894875778,,0.257995,0.090264,0.1610794211094026,,-0.6666666666666667,-0.0,,0.9588665452481392,2.566757422320225,-0.4093306726923719,-1.7853742366052363,-1.7853742366052363,0.0814185672909085,0.2494390575131115,0.1,0.0,676.0,0.6155288932614787
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2024-10-01,2024,3,0.0584204832311561,0.0559204832311561,0.0667092488602562,0.3698418210034923,,,,,202.099894875778,,0.425567,0.116037,0.2961063184891583,,,0.0,-0.0177445194170579,0.9511498222289432,2.566757422320225,-0.3289147397593067,-1.344960666094198,-0.8665710683392917,0.0908134187452614,0.126616078654312,0.13,0.0,768.0,0.7431255503661868
16371,童昌希,信澳业绩驱动混合C,攻守转换型：操作质量最高,16371,2025-01-01,2024,4,0.2197614991482124,0.2172614991482124,0.0667092488602562,0.3538747138564365,,,0.1818181818181818,0.8571428571428571,374.206661320465,,0.319467,0.085249,0.0,0.0,-0.6753246753246753,172.106766444687,0.0366767874652996,0.950725935471604,2.566757422320225,-0.3044715294235905,-1.621882769431911,-0.6919672808741331,0.1342622190708977,0.1210236974018044,0.36,0.0,860.0,0.8562682064660679
