fund_code,基金经理,基金简称,典型定位,fund_code,report_date,year,quarter,quarter_return,excess_return,ff5_adj_return,ARG,total_buy,total_sell,pgr,plr,TO_wind_clean,TO_two_sided,ICI,industry_hhi,ISDI,SDI,de,oc_conf,risk_asym,anchor_high,timing,mppm8_lag,sortino8_lag,sharpe8_lag,return_volatility,lsv,avg_aum,log_aum,mgr_total_tenure_v2,log_fund_age
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2020-04-01,2020,1,-0.1026115126059217,-0.1051115126059217,-0.0035578487745378,0.0319989943707031,,,,,346.058397663545,,0.095791,0.102115,0.4393372112441567,,,,,0.8743354919280788,0.3091271019033598,,,,,0.1008844794910477,53.28,3.9755610262321337,2492.0,2.538783660009899
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2020-07-01,2020,2,0.2211201929148927,0.2186201929148927,-0.0035578487745378,0.0662176239244375,,,0.8095238095238095,0.8235294117647058,329.157818603825,,0.083311,0.048013,0.3189228184264787,,-0.0140056022408963,-0.0,,0.9652792007177202,0.3091271019033598,,,,,0.0533364254732087,59.49,4.085808231199814,2583.0,2.558264100502776
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2020-10-01,2020,3,0.0907946779533046,0.0882946779533046,-0.0035578487745378,0.0883399846050169,,,,,329.157818603825,,0.143922,0.089899,0.2065097322930631,,,0.0,,0.9041376044978136,0.3091271019033598,,,,0.1707469972149608,0.1362240011441779,56.1,4.027135812528651,2675.0,2.577580258496177
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2021-01-01,2020,4,0.1761241021451891,0.1736241021451891,-0.0035578487745378,0.0516535605487728,939.17,589.5699999999999,0.5,0.8823529411764706,269.526620149681,1.0000000000000002,0.053001,0.035641,0.436037983567851,,-0.3823529411764705,-59.631198454144,,0.9622879686490772,0.3091271019033598,,,,0.1501585937828861,0.0996863309514681,61.47,4.118549250918918,2767.0,2.596530362128062
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2021-04-01,2021,1,0.022898276401269,0.020398276401269,-0.0035578487745378,0.0319558124686093,,,,,269.526620149681,,0.223722,0.087749,0.6123292438918166,,,0.0,,0.9277169818498294,0.3091271019033598,0.2709668406639923,,0.6552688317632964,0.1337072769445525,0.0439105201890267,61.28,4.115453525432336,2857.0,2.614727386688124
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2021-07-01,2021,2,0.0806803475069424,0.0781803475069424,-0.0035578487745378,0.0618929353273431,1756.0599999999995,816.23,0.5319148936170213,0.8297872340425532,187.714136976937,0.9127518921853542,0.084857,0.048142,0.3884678199630703,,-0.2978723404255319,-81.81248317274398,,0.9486394488504396,0.3091271019033598,0.2314103678340637,,0.6169311831227426,0.1195936813382326,0.1164492918722045,67.74,4.215676847389625,2948.0,2.632795981098624
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2021-10-01,2021,3,-0.0445504719355622,-0.0470504719355622,-0.0035578487745378,0.0571151899376003,,,,,187.714136976937,,0.127705,0.102883,0.2842389272340349,,,0.0,0.0346947279307169,0.888958058383716,0.3091271019033598,0.2427406990190901,,0.6883157479334435,0.1187916158994848,0.0017784895551745,71.96,4.2761104090823325,3040.0,2.650737179964489
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2022-01-01,2021,4,-0.0172567779340875,-0.0197567779340875,-0.0035578487745378,0.0057768615110705,302.59000000000003,1811.25,0.8153846153846154,0.8142857142857143,143.546021441724,0.9397601074092844,0.094389,0.043191,0.3542975348070484,,0.001098901098901,-0.0,0.0287767936339558,0.8359733288130133,0.3091271019033598,0.1744958698264401,,0.5299293234370404,0.1134461307865157,0.0504303728466903,63.3,4.147885329150131,3132.0,2.6683621572747693
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2022-04-01,2022,1,-0.159777073902128,-0.162277073902128,-0.0035578487745378,0.0361479230208425,,,,,143.546021441724,,0.141409,0.094866,0.6120624211360011,,,0.0,0.0091289027452985,0.7368074920566514,0.3091271019033598,0.1409091737581687,1.1676479284619476,0.4613919912739391,0.1231270177086577,0.1128482322590394,52.72,3.964994890194252,3222.0,2.685308524029577
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2022-07-01,2022,2,0.0294103664351959,0.0269103664351959,-0.0035578487745378,0.0287815711449622,949.33,251.39,0.6363636363636364,0.6282051282051282,191.130505908768,0.8346331901405513,0.064419,0.036647,0.6334445308366361,0.10706322395104,0.0081585081585081,0.0,-0.0067559561724035,0.6792762216575082,0.3091271019033598,0.0943527836327196,0.5784047027215877,0.3557520171373631,0.1008504514069401,0.0290063416470143,54.1,3.990834185852436,3313.0,2.702156094602189
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2022-10-01,2022,3,-0.1573095977200738,-0.1598095977200738,-0.0035578487745378,0.025160406257909,,,,,191.130505908768,,0.100373,0.078099,0.3580595599326635,0.315612920332025,,0.0,-0.0032232310788541,0.711667005784603,0.3091271019033598,0.0236984466484072,0.2616180607090291,0.1965079711275222,0.114050314164774,0.0744706409643712,45.17,3.8104331496665127,3405.0,2.7189050752516186
40008,杨明,华安策略优选混合A,反例：综合能力最低,40008,2023-01-01,2022,4,0.0254815772057781,0.0229815772057781,-0.0035578487745378,0.1868546025336717,625.99,1067.02,0.4782608695652174,0.8431372549019608,150.967192548025,0.9985137390668404,0.061231,0.033397,0.2352041441311891,0.3423739287921963,-0.3648763853367434,-0.0,-0.0408374055814669,0.6897796512991592,0.3091271019033598,-0.1156773524738368,-0.1505636570139242,-0.0985006378884807,0.0887473956157242,0.0485459972130247,44.57,3.797060986958464,3497.0,2.735378142473133
