fund_code,基金经理,基金简称,典型定位,fund_code,report_date,year,quarter,quarter_return,excess_return,ff5_adj_return,ARG,total_buy,total_sell,pgr,plr,TO_wind_clean,TO_two_sided,ICI,industry_hhi,ISDI,SDI,de,oc_conf,risk_asym,anchor_high,timing,mppm8_lag,sortino8_lag,sharpe8_lag,return_volatility,lsv,avg_aum,log_aum,mgr_total_tenure_v2,log_fund_age
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2020-04-01,2020,1,-0.0026315849372285,-0.0051315849372285,0.0275394459193409,0.0337078714145481,,,,,137.65950255349,,0.508934,0.114026,0.233642887294217,,,,,0.8116532266771335,2.104864005561097,,,,,0.030598095163912,25.39,3.234355395716587,629.0,1.6431386847200242
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2020-07-01,2020,2,0.3588356645753776,0.3563356645753776,0.0275394459193409,0.1004835289480726,,,0.25,1.0,132.585091955447,,0.238732,0.039743,0.4002603570466959,,-0.75,-0.0,,0.9771068776955392,2.104864005561097,,,,,0.0759136207233665,31.2,3.4404180948154366,720.0,1.6901879409070957
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2020-10-01,2020,3,0.0718742017026228,0.0693742017026228,0.0275394459193409,0.0638249012909138,,,,,132.585091955447,,0.302633,0.126937,0.1767453265571156,,,0.0,,0.9649539978327942,2.104864005561097,,,,0.2009058386405155,0.1576820806238956,33.57,3.513632810991944,812.0,1.735605420597888
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2021-01-01,2020,4,0.255793757257563,0.253293757257563,0.0275394459193409,0.0744830148561103,9117.72,8211.4,0.3928571428571428,0.7857142857142857,120.955817488062,0.972629173172706,0.224815,0.040504,0.177273197095133,,-0.3928571428571428,-11.629274467385017,,0.988812527597559,2.104864005561097,,,,0.1749925730929485,0.0965105041054974,39.36,3.6727500721840527,904.0,1.7790494571848867
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2021-04-01,2021,1,-0.1217400548101235,-0.1242400548101235,0.0275394459193409,0.0150939277203721,,,,,120.955817488062,,0.260251,0.113726,0.1715465135596797,,,0.0,0.0720104889483819,0.8390534508041477,2.104864005561097,0.5314241114720248,,1.016232559862273,0.1983839892027111,0.0846148798433014,29.2,3.374168709274236,994.0,1.819797511818236
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2021-07-01,2021,2,0.3636611678985679,0.3611611678985679,0.0275394459193409,0.0390621589724186,5110.839999999999,8731.6,0.4729729729729729,0.9375,113.791916577469,0.9165758418894024,0.266336,0.044533,0.1307230838566616,,-0.464527027027027,-0.0,0.0715766703053037,0.9902897850991956,2.104864005561097,0.2695447898271459,,0.5657962833368316,0.2060572484564881,0.0903356462404836,37.98,3.63705970538414,1085.0,1.8593764980988945
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2021-10-01,2021,3,-0.0297737942110715,-0.0322737942110715,0.0275394459193409,0.1493578591196441,,,,,113.791916577469,,0.499981,0.111357,0.3904944928302998,,,0.0,0.0745952695010192,0.92624594855953,2.104864005561097,0.4009611368348539,,0.7522771720112476,0.2000082895726866,0.0491214549985114,39.23,3.669441760221461,1177.0,1.8978588708437207
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2022-01-01,2021,4,-0.0383614681219383,-0.0408614681219383,0.0275394459193409,0.0356968935483801,15104.310000000003,4987.77,0.5072463768115942,0.8412698412698413,30.2734309508099,0.9302698568208716,0.394834,0.049316,0.0819814527094434,,-0.334023464458247,-0.0,0.0793331158662679,0.8400461191840569,2.104864005561097,0.315762176138527,2.010455226366357,0.6373766345582631,0.1939231992193065,0.0519185136568773,36.23,3.5898875049069856,1269.0,1.93491506388848
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2022-04-01,2022,1,-0.172908558858663,-0.175408558858663,0.0275394459193409,0.0126138883987602,,,,,30.2734309508099,,0.625292,0.112928,0.1207479139385231,,,0.0,0.0587834692035973,0.6989226526714116,2.104864005561097,0.2487333816888937,2.0377434175846703,0.5466233489559369,0.2137585983719537,0.0348465797955593,28.46,3.3484995926617063,1359.0,1.9698836617262263
1000,葛兰,中欧明睿新起点混合,赛道深耕·高信念高波动型,1000,2022-07-01,2022,2,0.140355589898375,0.137855589898375,0.0275394459193409,0.0745709570751522,3696.02,13038.259999999998,0.4230769230769231,0.8604651162790697,69.9480903245418,0.7479870304598251,0.425861,0.050177,0.0649430821353137,0.5255876776853603,-0.4373881932021466,0.0,0.052011323627813,0.8313644403314765,2.104864005561097,0.1228823590499395,1.2137036655929443,0.3904033763661659,0.1860892782754171,0.1018446737153824,31.94,3.4638591427868666,1450.0,2.004039731092261
