fund_code,基金经理,基金简称,典型定位,fund_code,report_date,year,quarter,quarter_return,excess_return,ff5_adj_return,ARG,total_buy,total_sell,pgr,plr,TO_wind_clean,TO_two_sided,ICI,industry_hhi,ISDI,SDI,de,oc_conf,risk_asym,anchor_high,timing,mppm8_lag,sortino8_lag,sharpe8_lag,return_volatility,lsv,avg_aum,log_aum,mgr_total_tenure_v2,log_fund_age
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2023-01-01,2022,4,-9.9999999999989e-05,-0.0025999999999999,-0.0082806088335663,,,,,,183.472725435792,,,,,,,,,,2.385106280261499,,,,,,0.69,0.0,12.0,-3.415757532993485
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2023-04-01,2023,1,-0.0387038703870388,-0.0412038703870388,-0.0082806088335663,,,,,,183.472725435792,,0.124311,0.103083,,,,0.0,,0.6462914195087187,2.385106280261499,,,,,,0.53,0.0,102.0,-1.2756913694972143
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2023-07-01,2023,2,-0.0639825218476901,-0.0664825218476901,-0.0082806088335663,0.0713269839534128,,,,,84.7498678687095,,0.039695,0.026295,0.6596709758318111,,,-0.0,,0.6640306285487683,2.385106280261499,,,,0.0321720521212355,0.1054224772210763,0.44,0.0,193.0,-0.6379739938765999
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2023-10-01,2023,3,-0.0251194842725361,-0.0276194842725361,-0.0082806088335663,0.1068154201480913,,,,,84.7498678687095,,0.088349,0.101257,0.077030122962116,,,0.0,,0.6717092328286346,2.385106280261499,,,,0.0266631635018058,0.0642921988997873,0.32,0.0,285.0,-0.2481750025128349
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2024-01-01,2023,4,-0.0824307376581924,-0.0849307376581924,-0.0082806088335663,0.1022019573820396,,,0.1818181818181818,0.03125,82.8154486794762,,0.034734,0.022635,0.0951839553148661,,0.1505681818181818,-0.0,,0.6054099046252126,2.385106280261499,-0.1434009213825243,-1.2930374568824583,-1.2930374568824583,0.0322849788376927,0.0356208155592454,0.35,0.0,377.0,0.0315810046665252
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2024-04-01,2024,1,0.0027335984095429,0.0002335984095429,-0.0082806088335663,0.2539211552914752,,,,,82.8154486794762,,0.091081,0.103698,0.3145718381839145,,,0.0,,0.6749264694647841,2.385106280261499,-0.1873531727921824,-1.3804352500011277,-1.3804352500011277,0.0341815200199123,0.0936708746825008,0.34,0.0,468.0,0.2478041131361613
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2024-07-01,2024,2,-0.0350681536555154,-0.0375681536555154,-0.0082806088335663,0.1661652306876232,,,0.0,0.2666666666666666,55.7203221508612,,0.033659,0.022433,0.3193602316528392,,-0.2666666666666666,-27.095126528615005,,0.6459777586121357,2.385106280261499,-0.1571776725010956,-1.1491567893695165,-1.0853965126294254,0.0312038165650342,0.0518953948657539,0.22,0.0,559.0,0.4254852903736136
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2024-10-01,2024,3,0.1226402979324514,0.1201402979324514,-0.0082806088335663,0.35794616305107,,,,,55.7203221508612,,0.072219,0.104477,0.3029849790744962,,,0.0,0.033464034068829,0.7128551126165187,2.385106280261499,-0.1565498461328464,-1.2808544067952707,-1.1911142291987038,0.0626720968447799,0.0657739326397045,0.25,0.0,651.0,0.5778454594270838
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2025-01-01,2024,4,-0.073095401509952,-0.075595401509952,-0.0082806088335663,0.1109277493777161,,,0.3428571428571428,0.1176470588235294,604.645629423648,,0.032644,0.021526,0.2097531807335728,,0.2252100840336134,548.9253072727868,0.0387643739709644,0.7615172543278549,2.385106280261499,-0.0897938048280739,-0.6032154305321853,-0.2792926966880355,0.0654446366763019,0.0828793885352203,0.19,0.0,743.0,0.7100318619362737
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2025-04-01,2025,1,-0.0898432679254596,-0.0923432679254596,-0.0082806088335663,0.0372640272619642,,,,,604.645629423648,,0.389264,0.113337,1.2464171122994654,0.0,,0.0,0.0361339292177793,0.9424743649513084,2.385106280261499,-0.128745314066679,-1.1472091294369748,-0.4068826030057042,0.0694469066691877,0.1450850394540112,0.16,0.0,29.0,0.8243694593853573
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2025-07-01,2025,2,-0.0661694915254239,-0.0686694915254239,-0.0082806088335663,0.2989609142912507,,,1.0,1.0,456.29216646468,,0.337298,0.051758,0.2348399549622003,0.0,0.0,-0.0,0.0360834261181918,0.8824987586423592,2.385106280261499,-0.1579842375761308,-1.2655070715739378,-0.4754813482652864,0.0696015751506715,-0.0035834957084347,0.14,0.0,120.0,0.9280478888601988
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2025-10-01,2025,3,0.5670103092783505,0.5645103092783506,-0.0082806088335663,0.1003864041258343,,,,,456.29216646468,,0.505451,0.112432,0.2348399549622003,0.0,,0.0,0.2238043361177059,0.9725225374496348,2.385106280261499,-0.1592264992179548,-1.2732842477113209,-0.4783523929388317,0.2227815490330656,0.0594343584355052,0.16,0.0,212.0,1.022964445356942
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2026-01-01,2025,4,0.1693847294292065,0.1668847294292065,-0.0082806088335663,0.2355523750338421,,,1.0,1.0,,,0.279988,0.055364,0.0675324675324675,0.0,0.0,,0.1920363525756118,0.9885175057036678,2.385106280261499,-0.0036878022156683,1.924765387005892,0.1827895727674518,0.2202671438608779,0.1390908361255238,0.12,0.0,304.0,1.1096476845257437
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2026-04-01,2026,1,0.0342313787638675,0.0317313787638675,-0.0082806088335663,0.2128019475268301,,,,,,,0.274558,0.102764,0.0987284020327497,0.0,,,0.1844338212673959,0.9443172913021032,2.385106280261499,0.1141939794393671,3.1503798426284964,0.3277796056580795,0.2190752947336218,0.1307671345980341,0.07,0.0,394.0,1.1877445958939092
16772,Yi Xie、周建胜,诺德兴新趋势混合A,基本面优势型：背景条件最高,16772,2026-07-01,2026,2,0.8571866380631317,,-0.0082806088335663,0.9860169046441776,,,0.7666666666666667,,,,0.231845,0.111997,0.5324290867666605,0.0,,,0.3025856906539851,1.0,2.385106280261499,0.1301267523782419,3.322179081062984,0.3475348518463312,0.3442704486325708,0.0768398814675286,0.18,0.0,485.0,1.260957820157702
