model,risk_asym_b,risk_asym_t,egarch_gamma_b,egarch_gamma_t,n,r2
M1: RA + 控制变量,0.91499,18.7,,,6931,0.0772
M2: RA + γ_wins(1/99) + 控制变量,0.92358,19.1,0.318625,3.3,6931,0.079
