model,risk_asym_b,risk_asym_t,egarch_gamma_b,egarch_gamma_t,n,r2
M1: RA + 控制变量,0.9149927016150707,18.703364535732963,,,6931,0.07721444352864748
M2: RA + EGARCHγ + 控制变量,0.9180081825546845,19.25755749428408,1.3491962838168966e-05,26.29730272499899,6931,0.07853449903380516
