fund_code,year,quarter,report_date,AS_improved,ICI,industry_hhi,ICI_raw,industry_hhi_raw,ISDI
20,2020,2,2020-07-01,0.880299093318222,0.068695,0.027033,0.051995,0.020462,0.5209110633445349
20,2020,3,2020-10-01,0.6629631052184204,0.100269,0.11035,0.012516,0.013774,0.1540616388663862
20,2020,4,2021-01-01,0.8889958240970682,0.103507,0.028612,0.077178,0.021334,0.087261031770759
20,2021,1,2021-04-01,0.6641228920482007,0.217118,0.103743,0.03155,0.015075,0.4169013100373004
20,2021,2,2021-07-01,0.8580153727562124,0.124205,0.034439,0.094682,0.026253,0.3183250981925316
20,2021,3,2021-10-01,0.6652260937682294,0.172791,0.103227,0.027536,0.01645,0.1635634687081183
20,2021,4,2022-01-01,0.8887892114868581,0.107249,0.030735,0.081925,0.023478,0.4377475775349326
20,2022,1,2022-04-01,0.6841662861047684,0.152519,0.104446,0.026141,0.017902,0.5446478515128401
20,2022,2,2022-07-01,0.892659140985683,0.107562,0.030627,0.085238,0.02427,0.4710602947608799
20,2022,3,2022-10-01,0.6893365014416906,0.187764,0.107814,0.029817,0.017121,0.1318915828763615
20,2022,4,2023-01-01,0.8968892823213721,0.068497,0.030142,0.053346,0.023474,0.2611592338123488
20,2023,1,2023-04-01,0.6762430290504842,0.140028,0.105043,0.021189,0.015895,0.4100424565057495
20,2023,2,2023-07-01,0.878072312038534,0.073051,0.027643,0.056944,0.021548,0.6777733811891811
20,2023,3,2023-10-01,0.6551829322155369,0.134686,0.102462,0.01731,0.013169,0.1867176966738083
20,2023,4,2024-01-01,0.8884391456524275,0.100054,0.027568,0.074569,0.020546,0.2319016210541723
20,2024,1,2024-04-01,0.6440563776062935,0.129258,0.108062,0.013469,0.01126,0.2922951626069299
20,2024,2,2024-07-01,0.848798785813097,0.133624,0.030017,0.090684,0.020371,0.1528734823029735
20,2024,3,2024-10-01,0.6638660852680878,0.178274,0.106691,0.028168,0.016858,0.2935178441369264
20,2024,4,2025-01-01,0.847802120868681,0.08966,0.03589,0.056525,0.022627,0.2098236775818639
20,2025,1,2025-04-01,0.6844326763779396,0.150911,0.118588,0.023379,0.018372,0.1323874690258237
20,2025,2,2025-07-01,0.8786556084268071,0.085688,0.04089,0.061444,0.029321,0.2427284833193159
20,2025,3,2025-10-01,0.6656062192703212,0.135501,0.10604,0.020074,0.01571,0.3828530940009447
20,2025,4,2026-01-01,0.8646753637560625,0.108175,0.030937,0.084859,0.024269,0.1348086259455798
20,2026,1,2026-04-01,0.640209477657961,0.142863,0.105736,0.016817,0.012447,0.1620699131348519
20,2026,2,2026-07-01,0.6536458240970682,0.239545,0.105078,0.039954,0.017526,0.4488487321480618
21,2020,1,2020-04-01,0.634712763546059,0.139666,0.099559,0.015937,0.011361,0.0930662534843329
21,2020,2,2020-07-01,0.8248414156902614,0.104488,0.026523,0.089441,0.022703,0.1082433139126368
21,2020,3,2020-10-01,0.6589061192686545,0.245275,0.108139,0.036073,0.015904,0.1138307316899942
21,2020,4,2021-01-01,0.8346378864647741,0.074046,0.027092,0.062918,0.023021,0.0860646493185628
21,2021,1,2021-04-01,0.6436362972716212,0.154713,0.11288,0.017012,0.012412,0.1469715857237413
21,2021,2,2021-07-01,0.8389616018600308,0.106302,0.027075,0.088358,0.022504,0.2940587534283241
21,2021,3,2021-10-01,0.6494063667727795,0.273478,0.115607,0.030654,0.012959,0.2844261164007685
21,2021,4,2022-01-01,0.8176912373539557,0.092372,0.018656,0.076779,0.015507,0.3405849405753874
21,2022,1,2022-04-01,0.6251062984383073,0.258094,0.117428,0.022369,0.010178,0.1066944933258939
21,2022,2,2022-07-01,0.8058711436857278,0.108128,0.017331,0.088814,0.014235,0.0963622996512336
21,2022,3,2022-10-01,0.6009660286004765,0.222581,0.113476,0.017264,0.008801,0.3532606682407269
21,2022,4,2023-01-01,0.8174345255754262,0.08666,0.015409,0.071181,0.012656,0.4269669465150292
21,2023,1,2023-04-01,0.6036526942115701,0.243083,0.115707,0.019606,0.009332,0.4371383880908757
21,2023,2,2023-07-01,0.7675975966266102,0.090939,0.01506,0.070199,0.011625,0.3965086902017614
21,2023,3,2023-10-01,0.596675950432507,0.202528,0.092952,0.015799,0.007251,0.2106453901004015
21,2023,4,2024-01-01,0.7950042817380287,0.136664,0.015179,0.110599,0.012284,0.1536130869000617
21,2024,1,2024-04-01,0.5968425807096783,0.321887,0.103342,0.025962,0.008335,0.1282087813676188
21,2024,2,2024-07-01,0.7532376856280937,0.131246,0.017185,0.102424,0.013411,0.1027982474880983
21,2024,3,2024-10-01,0.6224060617676961,0.266894,0.101467,0.026888,0.010222,0.0955940265734483
21,2024,4,2025-01-01,0.7799779412990215,0.089103,0.016698,0.068563,0.012849,0.1546612050544048
21,2025,1,2025-04-01,0.6203727637127285,0.208183,0.098199,0.01989,0.009382,0.1925082794096623
21,2025,2,2025-07-01,0.7593911148519139,0.125502,0.021083,0.083157,0.01397,0.0784658161882362
21,2025,3,2025-10-01,0.6052394714911915,0.197414,0.103977,0.01481,0.007801,0.1417729887609404
21,2025,4,2026-01-01,0.7280406015100249,0.147512,0.019507,0.093396,0.012351,0.1136895772792633
21,2026,1,2026-04-01,0.5918824913748562,0.363072,0.106864,0.029449,0.008668,0.2699509865527209
21,2026,2,2026-07-01,0.6489223945399089,0.614294,0.111168,0.103515,0.018733,0.0
31,2020,1,2020-04-01,0.761979579659661,0.208164,0.073249,0.068681,0.024167,0.1887574179484072
31,2020,2,2020-07-01,0.935506203436724,0.123899,0.048694,0.107068,0.042079,0.2039586919104991
31,2020,3,2020-10-01,0.8069296121602025,0.174573,0.080916,0.076136,0.03529,0.0932556912777005
31,2020,4,2021-01-01,0.936606158435974,0.089911,0.047663,0.078569,0.04165,0.0133432701281649
31,2021,1,2021-04-01,0.7619563292721545,0.110932,0.0971,0.035337,0.030931,0.1373263195498902
31,2021,2,2021-07-01,0.9389029325488758,0.09646,0.063655,0.082873,0.054689,0.1020606322149098
31,2021,3,2021-10-01,0.8305063426057101,0.129049,0.096236,0.063216,0.047142,0.1974923563437409
31,2021,4,2022-01-01,0.9333195869931166,0.10182,0.058059,0.085769,0.048906,0.1017035058178936
31,2022,1,2022-04-01,0.8087296938282305,0.138297,0.093761,0.059188,0.040128,0.1981588500780681
31,2022,2,2022-07-01,0.9035629618826979,0.155277,0.062357,0.113378,0.045531,0.1886846463030705
31,2022,3,2022-10-01,0.7997663152719212,0.147158,0.087809,0.060596,0.036158,0.0956453714729553
31,2022,4,2023-01-01,0.9405396181603026,0.102962,0.05027,0.088535,0.043226,0.0655666990186562
31,2023,1,2023-04-01,0.8270264004400074,0.106822,0.084676,0.05027,0.039848,0.0655666990186563
31,2023,2,2023-07-01,0.9431096151602526,0.089636,0.058794,0.077927,0.051114,0.1203827734439979
31,2023,3,2023-10-01,0.8376996791613194,0.110173,0.096936,0.05615,0.049404,0.1336927947097439
31,2023,4,2024-01-01,0.9412029408823479,0.093529,0.064994,0.081015,0.056298,0.0486345574928931
31,2024,1,2024-04-01,0.8308996791613195,0.126757,0.108487,0.062164,0.053204,0.0735321940108217
31,2024,2,2024-07-01,0.9289227945465757,0.107318,0.071198,0.091368,0.060616,0.1424186735929689
31,2024,3,2024-10-01,0.8442463166052768,0.114523,0.106905,0.061113,0.057048,0.0624254904085837
31,2024,4,2025-01-01,0.8221328447140785,0.122491,0.063372,0.060519,0.03131,0.3419839719460857
31,2025,1,2025-04-01,0.8309463232720544,0.136722,0.087412,0.067588,0.043212,0.2717198649097824
31,2025,2,2025-07-01,0.9035362281038017,0.141056,0.068901,0.10435,0.050971,0.139709289161089
