fund_code,year,quarter,report_date
263,2024,1,2024-04-01
263,2024,2,2024-07-01
263,2024,3,2024-10-01
263,2024,4,2025-01-01
263,2025,1,2025-04-01
263,2025,2,2025-07-01
263,2025,3,2025-10-01
263,2025,4,2026-01-01
263,2026,1,2026-04-01
263,2026,2,2026-07-01
308,2020,1,2020-04-01
308,2020,2,2020-07-01
308,2020,3,2020-10-01
308,2020,4,2021-01-01
308,2021,1,2021-04-01
308,2021,2,2021-07-01
308,2021,3,2021-10-01
308,2021,4,2022-01-01
308,2022,1,2022-04-01
308,2022,2,2022-07-01
308,2022,3,2022-10-01
308,2022,4,2023-01-01
308,2023,1,2023-04-01
308,2023,2,2023-07-01
308,2023,3,2023-10-01
308,2023,4,2024-01-01
308,2024,1,2024-04-01
308,2024,2,2024-07-01
308,2024,3,2024-10-01
308,2024,4,2025-01-01
308,2025,1,2025-04-01
308,2025,2,2025-07-01
308,2025,3,2025-10-01
308,2025,4,2026-01-01
308,2026,1,2026-04-01
308,2026,2,2026-07-01
327,2020,1,2020-04-01
327,2020,2,2020-07-01
327,2020,3,2020-10-01
327,2020,4,2021-01-01
327,2021,1,2021-04-01
327,2021,2,2021-07-01
327,2021,3,2021-10-01
327,2021,4,2022-01-01
327,2022,1,2022-04-01
327,2022,2,2022-07-01
327,2022,3,2022-10-01
327,2022,4,2023-01-01
327,2023,1,2023-04-01
327,2023,2,2023-07-01
327,2023,3,2023-10-01
327,2023,4,2024-01-01
327,2024,1,2024-04-01
327,2024,2,2024-07-01
327,2024,3,2024-10-01
327,2024,4,2025-01-01
327,2025,1,2025-04-01
327,2025,2,2025-07-01
327,2025,3,2025-10-01
327,2025,4,2026-01-01
327,2026,1,2026-04-01
327,2026,2,2026-07-01
354,2020,1,2020-04-01
354,2020,2,2020-07-01
354,2020,3,2020-10-01
354,2020,4,2021-01-01
354,2021,1,2021-04-01
354,2021,2,2021-07-01
354,2021,3,2021-10-01
354,2021,4,2022-01-01
354,2022,1,2022-04-01
354,2022,2,2022-07-01
354,2022,3,2022-10-01
354,2022,4,2023-01-01
354,2023,1,2023-04-01
354,2023,2,2023-07-01
354,2023,3,2023-10-01
354,2023,4,2024-01-01
354,2024,1,2024-04-01
354,2024,2,2024-07-01
354,2024,3,2024-10-01
354,2024,4,2025-01-01
354,2025,1,2025-04-01
354,2025,2,2025-07-01
354,2025,3,2025-10-01
354,2025,4,2026-01-01
354,2026,1,2026-04-01
354,2026,2,2026-07-01
390,2013,4,2014-01-01
