fund_code,report_date,alloc_ret,select_ret,interaction,alloc_share,select_share,fund_ret_6m,mkt_ret_6m,excess_ret,identity_residual,n_stocks_fund,match_rate,panel_date
11,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,40,1.0,2018-07-01
17,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,45,1.0,2018-07-01
21,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,100,1.0,2018-07-01
31,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,44,1.0,2018-07-01
73,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,36,1.0,2018-07-01
308,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,41,1.0,2018-07-01
522,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,29,1.0,2018-07-01
601,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,43,1.0,2018-07-01
845,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,41,1.0,2018-07-01
1000,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,54,1.0,2018-07-01
1076,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,26,1.0,2018-07-01
1088,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,52,1.0,2018-07-01
1170,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,51,1.0,2018-07-01
1475,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,54,1.0,2018-07-01
1513,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,57,1.0,2018-07-01
1723,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,32,1.0,2018-07-01
1811,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,63,1.0,2018-07-01
1881,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,44,1.0,2018-07-01
1985,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,87,1.0,2018-07-01
2125,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,59,1.0,2018-07-01
2692,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,35,1.0,2018-07-01
2910,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,40,1.0,2018-07-01
4148,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,46,1.0,2018-07-01
4232,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,95,1.0,2018-07-01
4374,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,28,1.0,2018-07-01
4375,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,28,1.0,2018-07-01
5094,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,38,1.0,2018-07-01
5765,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,63,1.0,2018-07-01
5787,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,44,1.0,2018-07-01
40008,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,35,1.0,2018-07-01
50004,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,33,1.0,2018-07-01
50009,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,40,1.0,2018-07-01
50010,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,54,1.0,2018-07-01
70027,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,43,1.0,2018-07-01
100022,2018-06-30,-0.009562973031212566,-0.05341506963901397,-0.004371157782748618,0.2951920152683179,0.45415951690187395,-0.23154764233923225,-0.16419844188625715,-0.0673492004529751,5.0306980803327406e-17,49,1.0,2018-07-01
