fund_code,report_date,quarter_return,future_return,excess_return,abs_return,RG,ff3_adj_return,ff4_adj_return,ff5_adj_return,MKT_excess,SMB,HML,MOM,rf,ff5_MKT_excess,ff5_SMB,ff5_HML,ff5_RMW,ff5_CMA,ff5_RF
11,2020-04-01,-0.16009436437490832,0.19013800985470497,-0.16259436437490832,0.16009436437490832,-0.21057324176627892,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,-0.0669393001203791,-0.010742354130266,-0.0236504363426955,-0.0398160868484914,0.0025,-0.08155080459951089,0.0676415657078447,-0.06394946979392441,-0.003556004929346601,-0.0510078103996129,0.0039896966053394
11,2020-07-01,0.19013800985470497,0.24005248572208848,0.18763800985470497,0.19013800985470497,-0.11811894617019597,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,0.0742880097946145,0.0079414004903473,-0.0334048297458239,0.0946845864187219,0.0025,0.1202213978122816,-0.0104279623124276,-0.1594389877849423,0.059865014309694,-0.0790681800330151,0.002592650501375
11,2020-10-01,0.24005248572208848,0.16800338970630468,0.23755248572208848,0.24005248572208848,0.15850591693303118,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,-0.050010337474552,-0.0238599529669955,0.021135437471268,0.2033647441356879,0.0025,0.0986193007248001,0.0057437756309392,-0.036593916141585504,-0.0045854686690272005,-0.001368613161466201,0.0045829870321277
11,2021-01-01,0.16800338970630468,0.01699141114842906,0.16550338970630468,0.16800338970630468,-0.01665907818538495,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,0.0481097270864462,-0.0433052801557347,-0.0145525357641029,0.2599599555825196,0.0025,0.0772605072507496,-0.099022413113348,-0.004530677273494509,-1.633238474719849e-05,-0.016714064718789494,0.0048351696298313
11,2021-04-01,0.01699141114842906,0.023632768986891817,0.014491411148429058,0.01699141114842906,0.08535004842389012,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,-0.0565402689946206,0.036712034687064,0.0031758350461555,0.3330840637955585,0.0025,-0.018387959935281,-0.00652515240638539,0.0952295006399945,0.060542839196871,0.022800542094982702,0.0043100105004975
11,2021-07-01,0.023632768986891817,-0.04440214029669243,0.021132768986891818,0.023632768986891817,-0.14893193029368024,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,-0.0226683556625908,0.0319371334778681,0.0171102431429312,0.241840489582544,0.0025,0.0673780057200432,0.0384436559068217,-0.1048621688642355,-0.0745216642484342,-0.0010341676814720991,0.0041494809108363
11,2021-10-01,-0.04440214029669243,0.05263974461460075,-0.04690214029669243,0.04440214029669243,-0.012969073986910579,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,0.0101462613487154,-0.0335596793516158,-0.0310321590305567,0.0684583154306194,0.0025,-0.0054312421421896,0.0428321043629952,0.098892596846445,-0.0855277650769835,0.0455682688685867,0.0041862400495986
11,2022-01-01,0.05263974461460075,-0.20230828956867086,0.050139744614600745,0.05263974461460075,-0.11729738308241788,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,0.0199226856395226,-0.0077183422555258,-0.0520544129924097,-0.0466036410114274,0.0025,0.0312476592306879,0.10986618513522779,-0.0715511479143139,-0.0027746796229767973,-0.04008998542223251,0.0041271866225277
11,2022-04-01,-0.20230828956867086,0.16243662149242533,-0.20480828956867086,0.20230828956867086,-0.009503788528269275,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,-0.0808668140227332,0.0012730951938115,0.0168792771246358,-0.1673966005746484,0.0025,-0.1190123728522933,0.041096112088966796,0.19029251605442368,-0.009162629710109001,0.0804329496989201,0.0038432290142346
11,2022-07-01,0.16243662149242533,-0.15568431251059645,0.15993662149242532,0.16243662149242533,0.11932802842315528,0.017134914892686808,0.0002468754957617048,-0.00841488883887253,0.0936728629814167,-0.0251764849763698,-0.0086261835432994,-0.1366764917328542,0.0025,0.0636232733132493,-0.0347702700586021,-0.1016987443082396,0.0267027744948271,-0.056675691480494596,0.0034473335806209
