fund_code,year,quarter,report_date,de,pgr,plr,gains_sold,gains_held,losses_sold,losses_held,lsv,risk_asym,n_gain,n_loss
17,2021,1,2021-04-01,,,,,,,,0.010465166211330168,0.05066440770298202,2.0,3.0
17,2021,2,2021-07-01,-0.06325474410580789,0.7027027027027027,0.7659574468085106,26.0,11.0,36.0,11.0,0.09910545168363197,0.05210820995920061,3.0,3.0
17,2021,3,2021-10-01,,,,,,,,0.09577300402447829,0.030123534962487212,3.0,4.0
17,2021,4,2022-01-01,-0.13169041201386222,0.7551020408163265,0.8867924528301887,37.0,12.0,47.0,6.0,0.10914143823520735,0.02393473164817428,3.0,5.0
17,2022,1,2022-04-01,,,,,,,,0.05838952800334859,0.025584486523611026,3.0,5.0
17,2022,2,2022-07-01,-0.24820788530465954,0.6129032258064516,0.8611111111111112,19.0,12.0,62.0,10.0,0.0680670706689721,-0.02112056403380149,3.0,5.0
17,2022,3,2022-10-01,,,,,,,,0.12369069875099596,-0.03316695368703943,2.0,6.0
17,2022,4,2023-01-01,-0.21802935010482183,0.5555555555555556,0.7735849056603774,10.0,8.0,41.0,12.0,0.10457964301769394,-0.03931037786714695,2.0,6.0
17,2023,1,2023-04-01,,,,,,,,0.03668461304915952,0.013610001461218206,3.0,5.0
17,2023,2,2023-07-01,0.024926686217008776,0.8636363636363636,0.8387096774193549,38.0,6.0,26.0,5.0,0.09543165679987939,0.014654322270964672,2.0,6.0
17,2023,3,2023-10-01,,,,,,,,0.08241004179441659,0.014167322916391833,2.0,6.0
17,2023,4,2024-01-01,0.2107843137254901,0.9166666666666666,0.7058823529411765,11.0,1.0,36.0,15.0,0.07691174559449167,0.0015088818924375025,3.0,5.0
17,2024,1,2024-04-01,,,,,,,,0.11416764079774479,-0.004243818087439212,4.0,4.0
17,2024,2,2024-07-01,-0.6388888888888888,0.08333333333333333,0.7222222222222222,1.0,11.0,26.0,10.0,0.10450954964522115,-0.030426372909154835,4.0,4.0
17,2024,3,2024-10-01,,,,,,,,0.11324926745492195,-0.01680562771228539,5.0,3.0
17,2024,4,2025-01-01,-0.1487179487179487,0.38461538461538464,0.5333333333333333,10.0,16.0,8.0,7.0,0.10754161310745863,-0.009475583032622657,6.0,2.0
17,2025,1,2025-04-01,,,,,,,,0.1682774596071835,-0.010248646584768366,5.0,3.0
17,2025,2,2025-07-01,-0.17069243156199682,0.48148148148148145,0.6521739130434783,13.0,14.0,15.0,8.0,0.07763373987306398,0.02555636714220736,6.0,2.0
17,2025,3,2025-10-01,,,,,,,,0.06345992177593346,,,
17,2025,4,2026-01-01,-0.1575757575757576,0.43333333333333335,0.5909090909090909,13.0,17.0,13.0,9.0,0.09880227097143036,,,
17,2026,1,2026-04-01,,,,,,,,0.3173196478127382,0.15449667089308022,6.0,2.0
17,2026,2,2026-07-01,-0.25,0.75,1.0,24.0,8.0,29.0,0.0,0.08262041319581459,0.3763071848003022,6.0,2.0
20,2020,1,2020-04-01,,,,,,,,0.0551576525874168,,,
20,2020,2,2020-07-01,-0.2238095238095238,0.6428571428571429,0.8666666666666667,27.0,15.0,13.0,2.0,0.06901459068513242,,,
20,2020,3,2020-10-01,,,,,,,,0.03964989360916406,,,
20,2020,4,2021-01-01,-0.2692307692307693,0.5641025641025641,0.8333333333333334,22.0,17.0,25.0,5.0,0.061889709993977686,,,
20,2021,1,2021-04-01,,,,,,,,0.016101282326666296,,,
20,2021,2,2021-07-01,-0.09268454154253558,0.6792452830188679,0.7719298245614035,36.0,17.0,44.0,13.0,0.10256257211980796,,,
20,2021,3,2021-10-01,,,,,,,,0.04069473060467443,0.059917964044792965,5.0,2.0
20,2021,4,2022-01-01,-0.1185038066865276,0.8113207547169812,0.9298245614035088,43.0,10.0,53.0,4.0,0.05887044401806526,0.06471030776274378,6.0,2.0
20,2022,1,2022-04-01,,,,,,,,0.09400400763567804,-0.0006882595964906868,5.0,3.0
20,2022,2,2022-07-01,-0.0736842105263158,0.8,0.8736842105263158,20.0,5.0,83.0,12.0,0.03360682139098632,-0.017098852985035863,5.0,3.0
20,2022,3,2022-10-01,,,,,,,,0.09709833817834931,-0.008588897604204365,4.0,4.0
20,2022,4,2023-01-01,-0.29759584145549056,0.5789473684210527,0.8765432098765432,11.0,8.0,71.0,10.0,0.0786054576643856,-0.004855607217126599,4.0,4.0
20,2023,1,2023-04-01,,,,,,,,0.03947650971481276,-0.02242479599203049,4.0,4.0
20,2023,2,2023-07-01,-0.06082289803220031,0.8461538461538461,0.9069767441860465,55.0,10.0,39.0,4.0,0.022685183984852652,-0.045357154717101784,3.0,5.0
20,2023,3,2023-10-01,,,,,,,,0.04967515031635004,-0.04638737866663426,3.0,5.0
