fund_code,report_date,fund_ret_6m,bench_ret_6m,benchmark_adj_return,coverage,equity_weight,matched_weight,rf_approx_weight,missing_weight,n_components,panel_date
110029,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
112002,2018-06-30,-0.2315476423392322,0.010510721183795368,-0.24205836352302756,partial_rf,0.0,0.0,0.25,0.75,2,2018-07-01
121003,2018-06-30,-0.2315476423392322,-0.1718439746686507,-0.059703667670581495,partial,0.95,0.95,0.0,0.05,2,2018-07-01
150968,2018-06-30,-0.2315476423392322,-0.1263975933454715,-0.10515004899376071,partial_rf,0.85,0.85,0.1,0.05,3,2018-07-01
160605,2018-06-30,-0.2315476423392322,0.0,-0.2315476423392322,partial,0.0,0.0,0.0,1.0,3,2018-07-01
161606,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.7,0.7,0.0,0.3,2,2018-07-01
161810,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
161903,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
162201,2018-06-30,-0.2315476423392322,0.010510721183795368,-0.24205836352302756,partial_rf,0.0,0.0,0.35,0.65,2,2018-07-01
162204,2018-06-30,-0.2315476423392322,0.0,-0.2315476423392322,partial,0.0,0.0,0.0,1.0,2,2018-07-01
162209,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
162214,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
163402,2018-06-30,-0.2315476423392322,-0.14250445387832647,-0.08904318846090573,partial,0.9,0.9,0.0,0.1,3,2018-07-01
163406,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
163411,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
166001,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
166005,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
180031,2018-06-30,-0.2315476423392322,-0.1588446521304209,-0.0727029902088113,full,0.8,0.8,0.2,0.0,2,2018-07-01
200012,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
210008,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
213008,2018-06-30,-0.2315476423392322,-0.1444907702907838,-0.08705687204844839,full,0.85,0.85,0.15,0.0,2,2018-07-01
240005,2018-06-30,-0.2315476423392322,-0.1353730354981615,-0.09617460684107071,full,0.8,0.8,0.2,0.0,2,2018-07-01
240011,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
257020,2018-06-30,-0.2315476423392322,-0.11955217761900817,-0.11199546472022402,full,0.85,0.85,0.15,0.0,2,2018-07-01
257030,2018-06-30,-0.2315476423392322,-0.09659990135968989,-0.13494774097954232,full,0.7,0.7,0.3,0.0,2,2018-07-01
257070,2018-06-30,-0.2315476423392322,-0.20946734786302842,-0.02208029447620377,partial_rf,0.9,0.9,0.05,0.05,3,2018-07-01
260117,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
270028,2018-06-30,-0.2315476423392322,0.0,-0.2315476423392322,partial,0.0,0.0,0.0,1.0,3,2018-07-01
310358,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.85,0.85,0.0,0.15,2,2018-07-01
320005,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
320007,2018-06-30,-0.2315476423392322,-0.2216883516989631,-0.009859290640269108,partial,0.9,0.9,0.0,0.1,3,2018-07-01
340007,2018-06-30,-0.2315476423392322,0.0,-0.2315476423392322,partial,0.0,0.0,0.0,1.0,2,2018-07-01
360016,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
370024,2018-06-30,-0.2315476423392322,-0.11955217761900817,-0.11199546472022402,full,0.85,0.85,0.15,0.0,2,2018-07-01
370027,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
375010,2018-06-30,-0.2315476423392322,-0.09659990135968989,-0.13494774097954232,full,0.7,0.7,0.3,0.0,2,2018-07-01
377010,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
377240,2018-06-30,-0.2315476423392322,-0.18685849076654928,-0.04468915157268291,full,0.85,0.85,0.15,0.0,2,2018-07-01
379010,2018-06-30,-0.2315476423392322,0.0,-0.2315476423392322,partial,0.0,0.0,0.0,1.0,2,2018-07-01
