fc,egarch_omega,egarch_alpha,egarch_gamma,egarch_beta,egarch_persistence,egarch_gamma_t,n_obs,fit_ok
11,-0.6571738397906953,0.28850119904507715,-0.050599696987671174,0.9238105861880875,1.2123117852331646,-1.1953670613311174,1598.0,1
17,-0.19258506314682447,0.23977309540484767,-0.007865670908064774,0.9753770546129342,1.215150150017782,-0.39439742848186665,1598.0,1
20,-0.5689513683622751,0.3141261690411685,-0.06006198688995436,0.9337161361672607,1.247842305208429,-1.3036372594675052,1598.0,1
21,-0.3010003139706006,0.22935667803451482,-0.009741026689250563,0.9631423720184733,1.1924990500529882,-0.42204143782138454,1598.0,1
31,-0.4611653327675671,0.2929317129996075,-0.047125701828675697,0.9442888391076483,1.2372205521072557,-1.3718808976412116,1597.0,1
61,-0.2997501886639041,0.26058729516836643,-0.03198673256194852,0.9632953155802314,1.2238826107485978,-0.9907784598480185,1598.0,1
73,-0.3547645382501067,0.28256025307542704,-0.03395637724282143,0.9569576717064587,1.2395179247818857,-0.8643420270570111,1598.0,1
263,-0.2298841185344061,0.2208263946953489,-0.008281503581886385,0.9723766295071034,1.1932030242024523,-0.18311828212019926,1598.0,1
308,-0.3785835635174681,0.28215491935299014,-0.010982872774203166,0.9538083569068891,1.2359632762598793,-0.4029913196439263,1598.0,1
327,-0.404546741218746,0.35430352060560183,-0.08626426818979559,0.94993230361446,1.3042358242200618,-1.9593414292972329,1598.0,1
354,-0.13720672669864556,0.15314260612329783,0.025613651596248493,0.9807648642293557,1.1339074703526535,1.5805472991374587,1598.0,1
390,-0.01590741666489861,0.04710825632553026,0.05933954404994487,0.9971353149125539,1.0442435712380842,3.714640407696492,3075.0,1
404,-0.14610513931612695,0.1584031177228931,0.005332268350369778,0.9808622757131824,1.1392653934360755,0.3891006066492148,3092.0,1
522,-0.25658045148976893,0.1654757014146663,0.03724489671673505,0.9659325411919634,1.1314082426066296,2.096761526767259,1598.0,1
601,-0.18319453633108937,0.1860185271889139,0.0034892192743970507,0.9769148540121259,1.1629333812010398,0.20651046972028717,1598.0,1
742,-0.25790398496952754,0.10235313320957838,0.014258126827506584,0.9659847596584429,1.0683378928680212,1.045056133996447,2888.0,1
800,-0.6398944919432155,0.27790383539840935,-0.046990592964963676,0.9224888671679226,1.200392702566332,-1.3614365518424718,1598.0,1
823,-0.17934354719003545,0.24518354048966215,0.0009148915073518997,0.9768864906240001,1.2220700311136623,0.05229350895219956,2830.0,1
845,-1.2069120184227435,0.321005882682159,-0.060007097064928364,0.8514537187426167,1.1724596014247757,-0.8531342047097813,2819.0,1
940,-0.22788639185195161,0.16870489647310902,0.03626109571294049,0.9717339305177914,1.1404388269909005,2.3062238711315066,1598.0,1
1000,-0.1810169206921889,0.2317701556809342,0.024837778521923027,0.9760387808965796,1.2078089365775138,1.3162408502720655,1598.0,1
1037,-0.07548973660049771,0.0873686201398734,0.01711526163931971,0.9897510619346453,1.0771196820745188,1.3103420137652326,2733.0,1
1060,-0.0782027470961874,0.31818063599827373,-0.005226340168488666,0.9887725231255332,1.306953159123807,-0.25050459789578644,2751.0,1
1075,-0.06514622468989698,0.1317745321608077,-0.001942145149239499,0.9911714913039472,1.1229460234647548,-0.14892199165622155,2717.0,1
1076,-0.44620701122836887,0.2624075244559875,-0.02159151676354068,0.9454406948565248,1.2078482193125124,-0.6828820687107041,1598.0,1
1088,-0.8132451018367103,0.3085938160728995,-0.056016949247755465,0.9048457100830978,1.2134395261559972,-1.4048015971721852,1598.0,1
1170,-0.020085113821887837,0.07575709076902885,0.02163503587974055,0.9969038717820129,1.0726609625510417,2.1982563892043663,2753.0,1
1184,-0.10974995945148057,0.1673803759956963,-0.020883565311728323,0.9858038850053229,1.1531842610010192,-1.4646788221961065,2740.0,1
1194,-0.19586266866747712,1.2737745807758043,0.9324909437889619,0.9800200560702228,2.253794636846027,3.3242367469825185,2759.0,1
1198,-0.03163766392795116,0.03300047296593332,0.0706871871392022,0.9946138858708025,1.0276143588367357,2.9514122126946005,2746.0,1
1267,-0.09821850971466936,0.14057467541225843,0.006651857343152685,0.9874019012082542,1.1279765766205125,0.47746430380264726,2725.0,1
1407,-0.009078630524340657,0.24232443211552507,-0.0008613816227786054,0.997161532307583,1.239485964423108,-0.0483569977218494,2722.0,1
1411,-0.012035056018576325,0.01948506697240141,0.03425289948623382,0.9981770706539544,1.017662137626356,1.9810519321538507,2714.0,1
1412,-0.02453991184769091,0.22569015886649485,-0.011303227221468011,0.994908969993302,1.2205991288597968,-0.36869502460516224,2713.0,1
1437,-0.1704100151326085,0.27064409798777034,-0.019266485086398933,0.977554628950636,1.2481987269384063,-0.9794730345430508,2703.0,1
1438,-0.19289353629878442,0.23381614820314747,0.005146873936604007,0.9748478852199365,1.208664033423084,0.30163823988180916,2703.0,1
1475,-0.5763302760009482,0.26940055487494474,-0.010962730395357464,0.9273826708798264,1.1967832257547713,-0.3789437789515797,1598.0,1
1480,-0.10190788804629909,0.17734914926748466,0.026747702525989885,0.9861017591504105,1.1634509084178952,1.8236118828301662,2675.0,1
1513,-0.24212886010398604,0.16473655917725136,0.023435260622148582,0.9685835211793469,1.1333200803565981,1.3155114303715973,1598.0,1
1664,-0.03348127408774755,0.26141928290053124,-0.003421099773392869,0.9953212499622794,1.2567405328628107,-0.1538608690288032,1598.0,1
1665,-0.03291439319227536,0.261690175152083,-0.0033688735320130912,0.9953845820694965,1.2570747572215795,-0.14004406048315984,1598.0,1
1702,-0.4701229793107683,0.21967646235350205,-0.003933453096346483,0.9384807848661609,1.158157247219663,-0.1978290159145949,1598.0,1
1715,-0.13832488005541957,0.30977785626215343,-0.04950494767234279,0.9823850619875301,1.2921629182496834,-2.2160855760972336,2362.0,1
