date,RF,MKT,SMB,HML,RMW,CMA
1995-01-31,0.003463670049935308,-0.13185291525997123,-0.012175915879090235,0.011962041807877077,0.03862816109040601,-0.042714170110977334
1995-02-28,0.003098508966037361,-0.021627085389697376,-0.0159490472150909,0.03085476949633681,0.003545353483810909,0.005411230724191196
1995-03-31,0.004194391058314206,0.15878511851656518,0.017287244683231034,-0.08185193828747239,-0.04420551131774264,0.002430878332195574
1995-04-30,0.0036463004378843866,-0.110414175412207,0.0016427174810313462,-0.014453295647314346,-0.011566773015211751,-0.00012538440646558957
1995-05-31,0.0040116609360238975,0.18123007604085406,0.027807571634946515,-0.0970155532521646,-0.10236654384090027,0.0127258141730755
1995-06-30,0.0040116609360236755,-0.09245065405248554,0.017228821766159395,0.06887140931068736,0.006318762955158264,0.029333056829633386
1995-07-31,0.003828964064564344,0.07240869942944617,-0.0023352817997368595,0.06607968155928146,-0.051041960777456485,0.01185886711454498
1995-08-31,0.004194391058313984,0.048076480810557376,-0.026284364384492286,0.1646773196778386,0.007810554049788032,0.02443125668310031
1995-09-30,0.003828964064564344,-0.002871057697514945,-0.009669726059326353,0.10351476629967371,-0.015242376551405645,0.02078717084468834
1995-10-31,0.0036463004378848307,0.0011364790756742682,0.02430515653149719,0.06263786865228704,-0.01785380013959037,0.02379611807881382
1995-11-30,0.0040116609360238975,-0.07966751381592041,0.012522980472653175,-0.09373937499317914,0.027360370092998354,-0.022055108754598263
1995-12-31,0.003828964064564344,-0.11735752535186816,0.006021845861908089,0.013853935687103913,0.026284646329414574,-0.009097107618256828
1996-01-31,0.0040116609360238975,-0.04177005006540768,0.0031287503420492032,0.09323765895802966,-0.0157339065205625,0.021856350554082693
1996-02-29,0.002186187510827109,0.030944069323282086,-0.017619081115609364,-0.03869347429642822,0.008199765682386784,-0.008878384742803669
1996-03-31,0.0036463004378843866,0.0020401371520410994,-0.003241996067063189,0.009550448486666363,-0.020099957017843006,0.009099291277986477
1996-04-30,0.0040116609360241196,0.28785982327735926,0.021728847755881298,0.03476482278234905,0.17844983797902925,-0.012338908803196103
1996-05-31,0.00293008978434961,-0.028950221106438856,-0.057895275888308693,0.06889154436467088,0.12833745644586708,-0.07090252796296553
1996-06-30,0.002663363593521595,0.25357679856819404,-0.1379972272026736,0.028735896502707248,0.14017543923491627,-0.08434687386226425
1996-07-31,0.003063479486291154,0.1166219572741436,0.14188214653246392,0.2505735572489777,0.0017634571950010391,0.009804895238345157
1996-08-31,0.0026774115404468724,-0.003196243574933866,-0.010955040690726245,0.03598945265489334,0.08464311303559047,-0.01066494766302023
1996-09-30,0.001821574249404767,0.05851298831550955,-0.032534324040758685,-0.007776564035194222,-0.030466476435104695,-0.05724093082535342
1996-10-31,0.0019127400126612848,0.2149981071577416,0.16014827008859112,0.28112788225623553,-0.15405377693633393,0.14225011740552662
1996-11-30,0.0019127400126615068,0.06680822885415139,0.07015566443728977,0.05946595369173924,-0.004231670088610251,0.016013583257658115
1996-12-31,0.0020039140720027326,-0.179730462476679,-0.07444811774635302,-0.06944910907835217,0.07881680517214235,-0.04853538496954385
1997-01-31,0.0020039140720027326,0.07387685555651857,0.055865160087517886,0.045807775152296615,-0.018579478585049047,-0.032308489005870356
1997-02-28,0.0009103727354431435,0.06801394613988032,0.011224190005704774,-0.04715793255675815,-0.07122178691657577,0.01794463406441915
1997-03-31,0.0019127400126615068,0.18587312749794926,0.03378069938464936,-0.05467019523841432,0.04679281002886437,-0.07035265632171428
1997-04-30,0.0020039140720027326,0.10977834228663075,-0.038987257693827125,-0.08573561671107477,0.06330021943598485,-0.1284057155106908
1997-05-31,0.001821574249404323,-0.07457623061759722,-0.05136713439126941,-0.015016088329069976,0.018995028827110072,-0.017987076438476635
1997-06-30,0.001821574249404545,-0.0012886281093194007,-0.0018907052984348989,-0.06969208705100643,0.08198806877997072,-0.0625517726364202
1997-07-31,0.0020039140720025106,-0.07158508140460862,0.026237839731286683,0.030524893302775913,-0.03268993403815196,0.027061388472290893
1997-08-31,0.0019127400126606187,0.00893914881672786,0.026300689509404434,0.1206062240950111,-0.10738450324331567,0.08206602277777697
1997-09-30,0.0020039140720027326,-0.11423379536791323,0.0097603554345531,-0.039612399211410354,0.0070541401126451575,-0.0017812081144970016
1997-10-31,0.0017374319232907887,0.12060498971114875,-0.028653328086567776,-0.046463739183724706,0.04513890018994371,-0.039922972444625504
1997-11-30,0.0015811863522519065,-0.046413029641891534,0.01437902887744661,-0.02016821237251787,0.0273825716786667,-0.002283073974619354
1997-12-31,0.0018185798465160108,0.016354497953682712,0.07878578177286193,-0.03991437840047379,0.037695427117444225,-0.03850663004786137
1998-01-31,0.00118565552938521,0.016648070472870646,0.03155420728516114,0.006119309499175163,-0.007404364449565548,0.008354219940610363
1998-02-28,0.001185655529384988,-0.011110961615641846,0.029830216681474925,0.03982038765207374,-0.053800525812901456,0.0329884697346251
1998-03-31,0.0017394424305634537,0.025758105832840217,0.04643760842806966,0.02056494388075847,-0.05079596416139309,0.052528191510022526
1998-04-30,0.0017394424305638978,0.06850257375906477,0.06588926307277629,0.0412263433656872,-0.007808225083066556,0.003454058312340136
1998-05-31,0.0015811863522519065,0.06354330449564238,0.07350436738785808,0.07072303494002308,-0.09559741492270546,0.025985870559735003
1998-06-30,0.0017394424305643419,-0.06809743431855997,0.008410671324927899,-0.025631628929634775,0.03585820431976888,-0.04293768478019744
1998-07-31,0.0017494621057212445,-0.01587541902002454,0.026601325966826666,0.03036539460723736,-0.031058608785068442,0.024709581422832305
1998-08-31,0.0015972135440374124,-0.12730716418058263,0.036892639568584386,0.0174667855248945,-0.001013277040236349,0.016627892062353822
1998-09-30,0.0016733349322666236,0.08463916923077308,0.0676125701309726,0.01742177749881335,-0.02983070182792613,0.021139738900418314
1998-10-31,0.0015210979405935188,-0.02217214565265846,0.056953471663225584,-0.05413120494368667,0.040944979910921,-0.03151560354418731
1998-11-30,0.0015972135440371904,0.015586381988088371,-0.02496340201732382,-0.006620655170550327,0.02532470315479901,-0.01684714002043397
1998-12-31,0.0017494621057212445,-0.08936695482098023,-0.030130736525477524,-0.015476539820983515,0.015675191405460698,-0.013552662784922509
1999-01-31,0.0015210979405935188,-0.011460898097320538,0.022517552730996176,0.008902549081779065,0.0029736664123669043,-0.009569959715358511
1999-02-28,0.0005321213113651524,-0.04459373877138684,0.00836536257083472,0.0022527340581993127,-0.0024504092070460892,-0.004131100551061639
1999-03-31,0.0017494621057214665,0.0764793696322561,0.054910408079940916,0.059971537883390935,-0.08629361919044642,0.05355731077242165
1999-04-30,0.0016733349322664015,-0.03469903166259791,-0.007697347565366021,0.028158840703810972,-0.011303939272130525,0.0011361363775406752
