year,quarter,MKT,SMB,HML,MOM,rf,MKT_excess
2002,1,0.0553292897413872,,0.0070638132958189,,0.0025,0.0528292897413872
2002,2,0.1554994158619125,,0.0091002932955608,,0.0025,0.1529994158619125
2002,3,-0.0555690230941351,,-0.0009624508909182,,0.0025,-0.0580690230941351
2002,4,-0.0523579405435944,,0.0213322850085001,,0.0025,-0.0548579405435944
2003,1,0.001075904839265,,0.0118599458276458,-0.0515630842737386,0.0025,-0.0014240951607349
2003,2,-0.0663543104011561,,0.0027470198115979,-0.1494767615932966,0.0025,-0.0688543104011561
2003,3,-0.0436374805485273,,-0.0044110663928266,-0.1182130737972735,0.0025,-0.0461374805485273
2003,4,0.0452932041383231,,0.0216260870637499,0.0903387382166222,0.0025,0.0427932041383231
2004,1,0.0246698381929699,,-0.0015671638321921,0.1418727515029781,0.0025,0.0221698381929699
2004,2,-0.1063570097469344,,-0.0168255897814146,-0.0990376583766008,0.0025,-0.1088570097469344
2004,3,0.0505260566114567,,-0.0060407488793745,0.0039081820006954,0.0025,0.0480260566114567
2004,4,-0.0591015925646445,,-0.0090236663763577,-0.1562128716745042,0.0025,-0.0616015925646445
2005,1,-0.0940259945057111,-0.028204858893476,0.0095202561271998,-0.3582197348553687,0.0025,-0.0965259945057111
2005,2,0.0265670965224442,-0.0333059454216401,-0.0264322416382745,-0.1863104610627595,0.0025,0.0240670965224442
2005,3,-0.0113415438466413,0.0401733851230186,-0.0096899775326141,-0.1720414077199933,0.0025,-0.0138415438466413
2005,4,0.0567916917002833,-0.0198646272035984,0.013245932895841,-0.0624714043324938,0.0025,0.0542916917002833
2006,1,0.007671342152496,0.0291525850558511,-0.012791697392335,0.1315025749871679,0.0025,0.005171342152496
2006,2,0.0208810129400469,0.0387788964109481,-0.0026780138068814,0.4877876461388839,0.0025,0.0183810129400469
2006,3,0.0482343239007572,-0.0003236542609166,-0.0055809534035891,0.4546206276975013,0.0025,0.0457343239007572
2006,4,0.1905605480302248,-0.1275423242905893,-0.0275000018230462,0.8502548128015772,0.0025,0.1880605480302248
2007,1,0.0932231798601808,0.0709007842970432,0.0834026249581902,1.0349575915249314,0.0025,0.0907231798601808
2007,2,-0.0417199599180438,-0.1181511768624048,0.0185817856165968,1.0858349514553862,0.0025,-0.0442199599180438
2007,3,0.0536171467635349,-0.0156367823591572,-0.0186799611763004,1.500927622083656,0.0025,0.0511171467635349
2007,4,0.1268345474993919,0.0731859718785654,0.0052842833571057,1.0750537729078735,0.0025,0.1243345474993919
2008,1,-0.189113390593747,-0.0112811825817228,-0.0344598339074271,0.4345216784911291,0.0025,-0.191613390593747
2008,2,-0.2269277523793172,-0.0238729785764129,-0.051788514758006,-0.1771025632429789,0.0025,-0.2294277523793172
2008,3,-0.0618751149838603,-0.0123100946983546,0.0336836124477476,-0.8077385804840977,0.0025,-0.0643751149838603
2008,4,-0.0066680364867611,0.0598777353653622,-0.0370663904807849,-0.9519094482693822,0.0025,-0.0091680364867611
2009,1,0.1715963034614989,0.0341089058747345,0.0135206751018575,-0.2971477932409548,0.0025,0.1690963034614989
2009,2,0.1473929163622871,-0.0938291391050796,0.0632526010442033,0.2186034710539834,0.0025,0.1448929163622871
2009,3,0.0616668863158331,-0.0242580662345457,-0.016589540397512,0.4220509913688384,0.0025,0.0591668863158331
2009,4,0.0182292237679577,-8.596633060009573e-05,0.0175866201933706,0.7677329225761952,0.0025,0.0157292237679577
2010,1,0.0194843107129121,0.0067281216258665,0.0017367168391928,0.3646126585221793,0.0025,0.0169843107129121
2010,2,-0.0757930005942456,-0.0313856024731235,0.0200747351779145,-0.1356822111364801,0.0025,-0.0782930005942456
2010,3,0.0111553230448733,0.0043843389812052,-0.0344837217042064,0.007804789247286,0.0025,0.0086553230448733
2010,4,-0.0027810142541325,-0.0312951468728759,0.0068835023630055,-0.095929441970649,0.0025,-0.0052810142541325
2011,1,-0.005022597211534,-0.0135842977376023,0.034476313778133,-0.0042677830473023,0.0025,-0.007522597211534
2011,2,0.0141703169955849,0.0162184347381058,-0.0122638819756901,0.1953841718032981,0.0025,0.0116703169955849
2011,3,-0.0932370513169985,-0.0362528661602918,0.00709665393413,-0.1060952837008735,0.0025,-0.0957370513169985
2011,4,-0.0697111266220373,-0.0750991872518381,-0.0262046407848225,-0.2728513155698006,0.0025,-0.0722111266220373
2012,1,-0.0680464196514768,-0.0075155714397792,-0.0231625879504748,-0.252866679854642,0.0025,-0.0705464196514768
2012,2,-0.0647520062369825,-0.0105433174701961,-0.0237363257304784,-0.1904279543895712,0.0025,-0.0672520062369825
2012,3,0.0400196292930008,-0.0208280382753229,-0.0167702812024629,-0.098524254675943,0.0025,0.0375196292930008
2012,4,0.1791363211275058,-0.0160914844719919,0.0057612961836606,0.1028864435364335,0.0025,0.1766363211275058
2013,1,-0.0666749709257416,0.0220782067228801,-0.0110612586707624,0.0447249980587886,0.0025,-0.0691749709257416
2013,2,-0.1556871363315128,-0.001877469478415,0.002279554247152,-0.0723428072720766,0.0025,-0.1581871363315128
2013,3,0.0411109334416637,0.0158586540313312,-0.0242535439747625,0.0875799029127434,0.0025,0.0386109334416637
2013,4,-0.0446578519227994,0.0149377259238784,-0.0230696552660696,-0.0556284024796376,0.0025,-0.0471578519227994
2014,1,-0.0149914799233217,-0.019061693561416,0.0212812653301132,-0.1292889416425972,0.0025,-0.0174914799233217
2014,2,0.004013050994591,0.0209697262576977,-0.0142718415261619,-0.0107196219302756,0.0025,0.001513050994591
2014,3,0.0481981039966437,0.0620668784023783,-0.009272299715677,0.0251214530292611,0.0025,0.0456981039966437
2014,4,0.258075013021487,-0.2433098923898775,0.1258957809319721,0.4582290453397789,0.0025,0.255575013021487
2015,1,0.1338880549747079,0.071254188152815,-0.0404253417896772,0.6847306649879086,0.0025,0.1313880549747079
2015,2,-0.0759851256881828,-0.0304502608358374,0.0518063413263279,0.7916025424990678,0.0025,-0.0784851256881828
2015,3,-0.0485923810112234,-0.0209356903629841,-0.0246168875231969,0.3497251861441597,0.0025,-0.0510923810112234
2015,4,0.0461508653515074,-0.0179004970870551,-0.0003913366969077,0.1071410586804251,0.0025,0.0436508653515074
2016,1,0.1183752932700878,0.0321508135840475,-0.0316286277054471,-0.1542495493510421,0.0025,0.1158752932700878
2016,2,-0.0049341233483511,0.0345561952657619,-0.0247427693507528,-0.2898100834438637,0.0025,-0.0074341233483511
2016,3,-0.0223899075483638,0.0058961965877332,-0.0112430903704468,0.0555788201921657,0.0025,-0.0248899075483638
2016,4,-0.0644205583887624,0.01553312588094,0.0229337298356011,-0.0815507085714996,0.0025,-0.0669205583887624
2017,1,0.0009372076656404,-0.0085828795568444,-0.0006676552318052,0.0773495419145625,0.0025,-0.0015627923343595
2017,2,0.0497906458414747,0.0041321549876311,0.0032639115391286,0.157808800592647,0.0025,0.0472906458414747
2017,3,0.0037696623289911,0.0167595887589588,-0.0088814572135433,0.1713671411695264,0.0025,0.0012696623289911
2017,4,0.0061795776889188,-0.0081912578873281,0.0485816804600464,0.200206549287941,0.0025,0.0036795776889188
2018,1,-0.0311021706205472,0.0462193490482751,-0.0391613416813491,0.1272950205392645,0.0025,-0.0336021706205472
2018,2,-0.0766339257348562,-0.0166345305535106,-0.0321402938455125,-0.0340778725241022,0.0025,-0.0791339257348562
2018,3,0.0312973083852949,-0.034224725877606,0.0224377453998741,-0.0986315915209461,0.0025,0.0287973083852949
2018,4,-0.0510721186122816,0.0034066776164152,-0.0204415998118381,-0.2770027002920964,0.0025,-0.0535721186122816
2019,1,0.0553149450723149,0.0486322691288128,-0.0041307503271008,0.0171450786438172,0.0025,0.0528149450723149
2019,2,0.053941978445579,-0.0461083074019454,0.0119913423520175,0.1100645664616774,0.0025,0.051441978445579
2019,3,0.0039325337023559,0.0072020343540053,0.0184305785969601,0.1260934506430068,0.0025,0.0014325337023559
2019,4,0.0699749338608619,0.0061689714193231,-0.0076377148817341,0.32803723751033,0.0025,0.0674749338608619
2020,1,-0.0644393001203791,-0.010742354130266,-0.0236504363426955,-0.0398160868484914,0.0025,-0.0669393001203791
2020,2,0.0767880097946145,0.0079414004903473,-0.0334048297458239,0.0946845864187219,0.0025,0.0742880097946145
2020,3,-0.047510337474552,-0.0238599529669955,0.021135437471268,0.2033647441356879,0.0025,-0.050010337474552
2020,4,0.0506097270864462,-0.0433052801557347,-0.0145525357641029,0.2599599555825196,0.0025,0.0481097270864462
2021,1,-0.0540402689946206,0.036712034687064,0.0031758350461555,0.3330840637955585,0.0025,-0.0565402689946206
2021,2,-0.0201683556625908,0.0319371334778681,0.0171102431429312,0.241840489582544,0.0025,-0.0226683556625908
2021,3,0.0126462613487154,-0.0335596793516158,-0.0310321590305567,0.0684583154306194,0.0025,0.0101462613487154
2021,4,0.0224226856395226,-0.0077183422555258,-0.0520544129924097,-0.0466036410114274,0.0025,0.0199226856395226
2022,1,-0.0783668140227332,0.0012730951938115,0.0168792771246358,-0.1673966005746484,0.0025,-0.0808668140227332
2022,2,0.0961728629814167,-0.0251764849763698,-0.0086261835432994,-0.1366764917328542,0.0025,0.0936728629814167
2022,3,-0.0671649292445891,-0.0045864068241829,0.0340852751551003,-0.2283976473595557,0.0025,-0.0696649292445891
