000692,2021-01,2.51
000692,2021-02,2.63
000692,2021-03,3.06
000692,2021-04,3.61
000692,2021-05,3.36
000692,2021-06,3.46
000692,2021-07,2.9
000692,2021-08,3.12
000692,2021-09,3.88
000692,2021-10,3.44
000692,2021-11,3.86
000692,2021-12,3.93
000692,2022-01,4.1
000692,2022-02,3.96
000692,2022-03,4.41
000692,2022-04,3.26
000692,2022-05,3.76
000692,2022-06,3.58
000692,2022-07,4.05
000692,2022-08,4.33
000692,2022-09,3.75
000692,2022-10,3.5
000692,2022-11,3.87
000692,2022-12,3.4
000692,2023-01,3.31
000692,2023-02,3.62
000692,2023-03,2.92
000692,2023-04,2.74
000692,2023-05,2.35
000692,2023-06,2.55
000692,2023-07,2.51
000692,2023-08,2.63
000692,2023-09,2.71
000692,2023-10,2.57
000692,2023-11,2.68
000692,2023-12,3.28
000692,2024-01,3.02
000692,2024-02,2.75
000692,2024-03,2.64
000692,2024-04,2.72
000692,2024-05,3.09
000692,2024-06,3.08
000692,2024-07,3.07
000692,2024-08,2.91
000692,2024-09,3.28
000692,2024-10,3.66
000692,2024-11,3.7
000692,2024-12,3.49
000692,2025-01,3.37
000692,2025-02,3.33
000692,2025-03,3.3
000692,2025-04,3.33
000692,2025-05,3.47
000692,2025-06,3.52
000692,2025-07,3.63
000692,2025-08,3.57
000692,2025-09,3.48
000692,2025-10,3.73
000692,2025-11,3.73
000692,2025-12,3.44
000692,2026-01,3.78
000692,2026-02,4.04
000692,2026-03,4.97
000692,2026-04,5
000692,2026-05,5.27
000692,2026-06,3.94
000692,2026-07,3.71
000692,2026-08,4.58
000697,2021-01,9.19
000697,2021-02,8.3
000697,2021-03,7.97
000697,2021-04,7.17
000697,2021-05,7.95
000697,2021-06,8.43
000697,2021-07,8.03
000697,2021-08,9.25
000697,2021-09,8
000697,2021-10,7.77
000697,2021-11,9.03
000697,2021-12,8.62
000697,2022-01,7.66
000697,2022-02,7.84
000697,2022-03,7.41
000697,2022-04,6.16
000697,2022-05,6.95
000697,2022-06,7.86
000697,2022-07,8.02
000697,2022-08,7.12
000697,2022-09,7.48
000697,2022-10,7.66
000697,2022-11,7.72
000697,2022-12,7.2
000697,2023-01,6.99
000697,2023-02,6.69
000697,2023-03,6.35
000697,2023-04,6.79
000697,2023-05,6.51
000697,2023-06,6.32
000697,2023-07,6.17
000697,2023-08,4.99
000697,2023-09,5.22
000697,2023-10,4.99
000697,2023-11,6.18
000697,2023-12,6.32
000697,2024-01,5.63
000697,2024-02,5.67
000697,2024-03,7.25
000697,2024-04,6.92
000697,2024-05,7.67
000697,2024-06,5.98
000697,2024-07,6.52
000697,2024-08,5.47
000697,2024-09,7
000697,2024-10,8.83
000697,2024-11,8.27
000697,2024-12,8.83
000697,2025-01,7.6
000697,2025-02,7.17
000697,2025-03,7.8
000697,2025-04,6.42
000697,2025-05,7.06
000697,2025-06,7.6
000697,2025-07,7.96
000697,2025-08,8.87
000697,2025-09,8.99
000697,2025-10,8.28
000697,2025-11,8.45
000697,2025-12,8.65
000697,2026-01,8.87
000697,2026-02,9.57
000697,2026-03,9.35
000697,2026-04,10.17
000697,2026-05,11.77
000697,2026-06,10.38
000697,2026-07,8.23
000697,2026-08,8.6
000698,2021-01,6.46
000698,2021-02,7.36
000698,2021-03,6.63
000698,2021-04,6.84
000698,2021-05,6.98
000698,2021-06,6.76
000698,2021-07,5.83
000698,2021-08,7.2
000698,2021-09,6.41
000698,2021-10,5.61
000698,2021-11,5.78
000698,2021-12,5.87
000698,2022-01,5.35
000698,2022-02,5.35
000698,2022-03,4.91
000698,2022-04,4.05
000698,2022-05,4.63
000698,2022-06,4.36
000698,2022-07,4.29
000698,2022-08,4.36
000698,2022-09,4.07
000698,2022-10,3.88
000698,2022-11,4.54
000698,2022-12,5.54
000698,2023-01,5.02
000698,2023-02,5.05
000698,2023-03,4.5
000698,2023-04,4.26
000698,2023-05,4.06
000698,2023-06,4.11
000698,2023-07,4.38
000698,2023-08,4.15
000698,2023-09,4.11
000698,2023-10,4.17
000698,2023-11,4.21
000698,2023-12,4.22
000698,2024-01,3.7
000698,2024-02,3.45
000698,2024-03,3.68
000698,2024-04,3.62
000698,2024-05,3.49
000698,2024-06,3.04
000698,2024-07,3.07
000698,2024-08,2.66
000698,2024-09,3.25
000698,2024-10,3.43
000698,2024-11,3.69
000698,2024-12,3.37
000698,2025-01,3.23
000698,2025-02,3.25
000698,2025-03,3.37
000698,2025-04,3.61
000698,2025-05,3.67
000698,2025-06,3.81
000698,2025-07,4.04
000698,2025-08,4.25
000698,2025-09,3.99
000698,2025-10,3.84
000698,2025-11,3.76
000698,2025-12,3.66
000698,2026-01,4.16
000698,2026-02,4.08
000698,2026-03,3.83
000698,2026-04,3.86
000698,2026-05,3.43
000698,2026-06,2.98
000698,2026-07,3.27
000698,2026-08,3.44
000701,2021-01,4.49
000701,2021-02,4.65
000701,2021-03,4.71
000701,2021-04,4.71
000701,2021-05,5.18
000701,2021-06,5.71
000701,2021-07,5.38
000701,2021-08,5
000701,2021-09,5.02
000701,2021-10,4.62
000701,2021-11,5.06
000701,2021-12,5.41
000701,2022-01,5.12
000701,2022-02,6.32
000701,2022-03,6
000701,2022-04,5.65
000701,2022-05,6.23
000701,2022-06,6.25
000701,2022-07,6.11
000701,2022-08,5.76
000701,2022-09,5.16
000701,2022-10,5.24
000701,2022-11,6.31
000701,2022-12,5.86
000701,2023-01,7.24
000701,2023-02,7.25
000701,2023-03,7.13
000701,2023-04,6.25
000701,2023-05,6.23
000701,2023-06,6.65
000701,2023-07,6.66
000701,2023-08,7.2
000701,2023-09,6.51
000701,2023-10,5.8
000701,2023-11,6.28
000701,2023-12,6.15
000701,2024-01,4.22
000701,2024-02,4.06
000701,2024-03,5.27
000701,2024-04,4.36
000701,2024-05,4.18
000701,2024-06,3.74
000701,2024-07,3.84
000701,2024-08,3.52
000701,2024-09,4.38
000701,2024-10,5.29
000701,2024-11,5.21
000701,2024-12,4.57
000701,2025-01,4.51
000701,2025-02,4.78
000701,2025-03,4.75
000701,2025-04,5.22
000701,2025-05,5.49
000701,2025-06,6.64
000701,2025-07,6.25
000701,2025-08,5.88
000701,2025-09,5.58
000701,2025-10,6.01
000701,2025-11,7.2
