000697,2026-08,8.6
000697,2026-07,8.23
000697,2026-06,10.38
000697,2026-05,11.77
000697,2026-04,10.17
000697,2026-03,9.35
000697,2026-02,9.57
000697,2026-01,8.87
000697,2025-12,8.65
000697,2025-11,8.45
000697,2025-10,8.28
000697,2025-09,8.99
000697,2025-08,8.87
000697,2025-07,7.96
000697,2025-06,7.6
000697,2025-05,7.06
000697,2025-04,6.42
000697,2025-03,7.8
000697,2025-02,7.17
000697,2025-01,7.6
000697,2024-12,8.83
000697,2024-11,8.27
000697,2024-10,8.83
000697,2024-09,7
000697,2024-08,5.47
000697,2024-07,6.52
000697,2024-06,5.98
000697,2024-05,7.67
000697,2024-04,6.92
000697,2024-03,7.25
000697,2024-02,5.67
000697,2024-01,5.63
000697,2023-12,6.32
000697,2023-11,6.18
000697,2023-10,4.99
000697,2023-09,5.22
000697,2023-08,4.99
000697,2023-07,6.17
000697,2023-06,6.32
000697,2023-05,6.51
000697,2023-04,6.79
000697,2023-03,6.35
000697,2023-02,6.69
000697,2023-01,6.99
000697,2022-12,7.2
000697,2022-11,7.72
000697,2022-10,7.66
000697,2022-09,7.48
000697,2022-08,7.12
000697,2022-07,8.02
000697,2022-06,7.86
000697,2022-05,6.95
000697,2022-04,6.16
000697,2022-03,7.41
000697,2022-02,7.84
000697,2022-01,7.66
000697,2021-12,8.62
000697,2021-11,9.03
000697,2021-10,7.77
000697,2021-09,8
000697,2021-08,9.25
000697,2021-07,8.03
000697,2021-06,8.43
000697,2021-05,7.95
000697,2021-04,7.17
000697,2021-03,7.97
000697,2021-02,8.3
000697,2021-01,9.19
