000046,20210129,2.93
000046,20210226,3.02
000046,20210331,2.75
000046,20210430,2.75
000046,20210531,2.79
000046,20210630,2.3
000046,20210730,1.99
000046,20210831,2.01
000046,20210930,2.0
000046,20211029,1.78
000046,20211130,1.76
000046,20211231,1.88
000046,20220128,1.81
000046,20220228,1.79
000046,20220331,1.97
000046,20220429,1.48
000046,20220531,1.49
000046,20220630,1.52
000046,20220729,1.41
000046,20220831,1.38
000046,20220930,1.19
000046,20221031,1.13
000046,20221130,1.42
000046,20221230,1.25
000046,20230131,1.31
000046,20230228,1.18
000046,20230331,1.05
000046,20230428,0.86
000046,20230531,0.94
000046,20230630,0.98
000046,20230731,1.42
000046,20230831,1.86
000046,20230928,2.52
000046,20231031,1.36
000046,20231130,0.97
000046,20231227,0.38
