000022,20070629,26.45
000022,20070731,28.44
000022,20070831,32.5
000022,20070928,29.83
000022,20071031,26.63
000022,20071130,23.77
000022,20071228,26.66
000022,20080131,21.7
000022,20080229,22.82
000022,20080331,16.9
000022,20080430,18.36
000022,20080530,16.18
000022,20080630,13.9
000022,20080731,14.16
000022,20080829,11.91
000022,20080926,12.5
000022,20081031,9.43
000022,20081128,10.02
000022,20081231,9.5
000022,20090123,10.22
000022,20090227,10.56
000022,20090331,12.0
000022,20090430,12.38
000022,20090527,12.88
000022,20090630,14.1
000022,20090731,15.48
000022,20090831,12.19
000022,20090930,12.54
000022,20091030,13.55
000022,20091130,14.53
000022,20091231,15.13
000022,20100129,15.23
000022,20100226,15.6
000022,20100331,16.07
000022,20100430,14.15
000022,20100531,12.48
000022,20100630,11.54
000022,20100730,13.05
000022,20100831,14.28
000022,20100930,13.54
000022,20101029,14.86
000022,20101130,14.04
000022,20101231,14.03
000022,20110131,15.39
000022,20110228,18.74
000022,20110331,16.27
000022,20110429,15.45
000022,20110531,14.23
000022,20110630,13.99
000022,20110729,13.21
000022,20110831,12.21
000022,20110930,11.24
000022,20111031,11.13
000022,20111130,10.51
000022,20111230,9.31
000022,20120131,9.63
000022,20120229,10.25
000022,20120330,9.39
000022,20120427,10.43
000022,20120531,10.45
000022,20120629,10.96
000022,20120731,9.07
000022,20120831,8.82
000022,20120928,8.7
000022,20121031,8.79
000022,20121130,9.05
000022,20121231,10.17
000022,20130131,15.29
000022,20130228,13.62
000022,20130329,12.87
000022,20130426,15.48
000022,20130531,13.12
000022,20130628,10.44
000022,20130731,10.27
000022,20130830,14.11
000022,20130930,13.72
000022,20131031,14.74
000022,20131129,16.17
000022,20131231,15.78
000022,20140130,15.23
000022,20140228,14.59
000022,20140331,14.26
000022,20140430,13.15
000022,20140530,12.97
000022,20140630,12.98
000022,20140731,13.14
000022,20140829,13.57
000022,20140930,15.15
000022,20141031,16.15
000022,20141128,17.69
000022,20141231,22.32
000022,20150130,19.14
000022,20150227,20.73
000022,20150331,23.32
000022,20150422,26.69
000022,20151030,20.01
000022,20151130,18.24
000022,20151231,19.3
000043,20070629,20.06
000043,20070731,27.2
000043,20070831,30.46
000043,20070928,28.03
000043,20071030,24.17
000043,20071130,21.29
000043,20071228,21.3
000043,20080131,21.0
000043,20080229,20.37
000043,20080331,16.93
000043,20080430,14.03
000043,20080530,12.02
000043,20080630,9.2
000043,20080731,9.66
000043,20080829,7.72
000043,20080926,6.5
000043,20081031,4.02
000043,20081128,4.76
000043,20081231,4.89
000043,20090123,5.64
000043,20090227,7.6
000043,20090331,9.91
000043,20090430,9.9
000043,20090506,11.38
000043,20090630,15.45
000043,20090731,15.31
000043,20090831,15.39
000043,20090930,16.02
000043,20091030,15.7
000043,20091130,17.93
000043,20091231,15.13
000043,20100129,12.73
000043,20100226,13.7
000043,20100331,14.6
000043,20100430,12.24
000043,20100531,11.56
000043,20100629,9.65
000043,20100730,12.19
000043,20100831,11.64
000043,20100930,10.78
000043,20101029,11.86
000043,20101130,11.94
000043,20101231,12.34
000043,20110131,12.74
000043,20110228,14.28
000043,20110331,14.93
000043,20110429,12.9
000043,20110531,11.89
000043,20110630,8.25
000043,20110729,8.02
000043,20110831,8.19
000043,20110929,7.07
000043,20111031,7.26
000043,20111130,6.45
000043,20111230,6.3
000043,20120131,8.06
000043,20120229,9.59
000043,20120329,11.83
000043,20120427,11.24
000043,20120531,5.35
000043,20120629,4.61
000043,20120731,3.93
000043,20120831,3.8
000043,20120928,4.04
000043,20121031,5.34
000043,20121130,5.18
000043,20121231,7.36
000043,20130131,7.52
000043,20130228,7.36
000043,20130329,5.98
000043,20130426,5.96
000043,20130531,6.22
000043,20130628,5.0
000043,20130731,6.19
000043,20130830,6.48
000043,20130930,6.06
000043,20131031,5.7
000043,20131129,6.2
000043,20131231,6.07
000043,20140130,5.52
000043,20140228,5.4
000043,20140331,5.64
000043,20140430,5.29
000043,20140530,4.94
000043,20140630,4.82
000043,20140731,5.34
000043,20140829,5.45
000043,20140930,9.8
000043,20141031,8.6
000043,20141128,9.45
000043,20141231,8.94
000043,20150130,8.56
000043,20150227,8.65
000043,20150331,12.07
000043,20150430,12.26
000043,20150529,14.05
000043,20150630,15.3
000043,20150731,12.07
000043,20150831,9.82
000043,20150930,7.67
000043,20151030,9.3
000043,20151130,12.33
000043,20151231,12.03
000046,20070629,34.49
000046,20070731,52.5
000046,20070831,56.92
000046,20070928,66.89
000046,20071031,66.8
000046,20071130,46.86
000046,20071227,45.5
000046,20080131,44.0
000046,20080229,44.3
000046,20080331,37.65
000046,20080430,13.1
000046,20080530,10.68
000046,20080630,8.2
000046,20080731,9.55
000046,20080829,7.06
000046,20080926,6.04
000046,20081031,5.1
000046,20081128,7.65
000046,20081231,5.85
000046,20090123,6.68
000046,20090227,7.95
000046,20090331,10.59
000046,20090430,11.48
000046,20090527,14.08
000046,20090630,19.9
000046,20090731,17.94
000046,20090831,11.93
000046,20090930,12.99
000046,20091030,14.67
000046,20091130,16.19
000046,20091231,14.33
000046,20100129,12.29
000046,20100226,12.92
000046,20100331,13.12
000046,20100430,9.63
000046,20100531,8.83
000046,20100630,8.01
000046,20100730,9.88
000046,20100831,9.51
000046,20100930,8.81
000046,20101029,10.82
000046,20101130,9.03
000046,20101231,8.98
000046,20110131,8.1
000046,20110228,8.53
000046,20110331,8.75
000046,20110429,9.28
000046,20110531,9.05
000046,20110630,8.78
000046,20110729,4.38
000046,20110831,3.99
000046,20110930,3.51
000046,20111031,3.88
000046,20111130,3.71
000046,20111230,4.32
000046,20120131,4.02
000046,20120229,5.29
000046,20120330,4.4
000046,20120427,4.6
000046,20120531,4.67
000046,20120629,4.47
000046,20120731,3.89
000046,20120831,3.54
000046,20120928,3.62
000046,20121031,3.9
000046,20121130,3.78
000046,20121231,5.4
000046,20130131,5.0
000046,20130228,5.32
000046,20130329,4.49
000046,20130426,4.98
000046,20130531,5.87
000046,20130628,4.88
000046,20130731,4.83
000046,20130830,5.07
000046,20130930,4.77
000046,20131031,4.91
000046,20131129,4.86
000046,20131231,4.49
000046,20140130,4.29
000046,20140228,4.3
000046,20140331,5.48
000046,20140430,4.78
000046,20140530,4.64
000046,20140630,4.47
000046,20140731,5.18
000046,20140829,5.29
000046,20140930,5.79
000046,20141031,5.64
000046,20141128,8.2
000046,20141231,9.89
000046,20150121,11.49
000046,20150227,14.06
000046,20150331,13.8
000046,20150430,18.82
000046,20150529,17.88
000046,20150630,14.65
000046,20150731,11.95
000046,20150831,10.8
000046,20150930,9.75
000046,20151030,11.14
000046,20151130,10.95
000046,20151231,12.55
