fund_code
000390
000404
000742
000823
000845
001037
001060
001075
001170
001184
001194
001198
001267
001407
001411
001412
001437
001438
001480
001715
001753
001759
001856
001998
002051
002112
002125
002152
002163
002244
002376
002420
002450
002451
002910
003857
003858
003961
003962
004320
005119
005550
005551
005775
005776
005903
007305
007639
008185
008528
008555
008734
008988
008989
009049
009062
009063
009242
009243
009707
009808
009913
010115
010237
010238
010335
010390
010415
010416
010912
010913
011300
011301
011370
011399
011400
011412
011452
011488
011822
011823
011891
011892
012301
012456
012457
013107
013108
013238
013239
013312
013369
013370
013840
013949
014319
014320
014497
014611
014612
014975
015389
015576
015967
016262
016263
016371
016461
016501
016579
016772
017234
017612
017732
018291
018325
018326
018957
019571
019829
019830
021383
021510
021523
021593
023397
023398
024459
112002
160220
160226
168401
501026
501082
519172
519173
519770
519771
519773
720001
740001
959991
